measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[]",56.299,0,56.441,0.3,55.963,56.918,true,0.142,0.003,0.02
"true","[POSTCONVERTWEBP, SCALEISHEIGHTDP, UPSCALINGALGORITHM, ENABLEMOZJPEG, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, SCALE, CLEARDIRBEFORECONVERT]",4.396,0,4.354,0.026,4.313,4.395,false,0.042,0.01,0.002
"true","[ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE]",183.398,0,182.36,1.262,180.351,184.368,true,1.038,0.006,1.077
"true","[POSTCONVERTWEBP, ENABLEPNGCRUSH, DOWNSCALINGALGORITHM, VERBOSELOG, ENABLEANTIALIASING, HALTONERROR, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",74.517,0,74.483,0.54,73.624,75.343,true,0.034,0,0.001
"true","[POSTCONVERTWEBP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, HALTONERROR, CLEARDIRBEFORECONVERT]",3.851,0,3.869,0.01,3.853,3.885,false,0.018,0.005,0
"true","[PLATFORM, POSTCONVERTWEBP, SCALEISHEIGHTDP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, ENABLEMOZJPEG, DOWNSCALINGALGORITHM, HALTONERROR, IOSCREATEIMAGESETFOLDERS, GUIADVANCEDOPTIONS]",8.643,0,8.702,0.093,8.553,8.851,true,0.059,0.007,0.003
"true","[SKIPUPSCALING, ROUNDINGHANDLER]",3.335,0,3.342,0.019,3.312,3.372,true,0.007,0.002,0
"true","[SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE]",7.559,0,7.638,0.035,7.583,7.693,false,0.079,0.01,0.006
"true","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, ENABLEMOZJPEG, COMPRESSQUALITY, SCALEMODE, IOSCREATEIMAGESETFOLDERS]",2.309,0,2.301,0.008,2.289,2.313,true,0.008,0.003,0
"true","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, VERBOSELOG, SCALEMODE, SCALE, IOSCREATEIMAGESETFOLDERS]",14.668,0,14.758,0.534,13.909,15.607,true,0.09,0.006,0.008
