measured,configuration,performance,std
false,"[KEYS, BASE, ADDRESSBOOK]",6.198,0.0
false,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",36.162,0.0
false,"[KEYS, BASE]",4.136,0.0
false,"[DECRYPT, KEYS, ENCRYPT, BASE]",12.377,0.0
false,"[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE]",41.0,0.0
false,"[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",48.242,0.0
true,"[FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",25.49,0.0
true,"[FORWARD, AUTORESPONDER, BASE]",20.297,0.0
true,"[BASE]",0.014,0.0
false,"[KEYS, FORWARD, VERIFY, SIGN, BASE, ADDRESSBOOK]",19.606,0.0
false,"[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",19.725,0.0
false,"[KEYS, FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",29.612,0.0
false,"[KEYS, FORWARD, AUTORESPONDER, BASE]",24.419,0.0
false,"[KEYS, FORWARD, BASE, ADDRESSBOOK]",19.6,0.0
false,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE]",29.988,0.0
false,"[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE]",9.443,0.0
false,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",41.008,0.0
false,"[KEYS, FORWARD, BASE]",15.461,0.0
false,"[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",12.563,0.0
false,"[KEYS, AUTORESPONDER, BASE]",9.44,0.0
true,"[FORWARD, BASE, ADDRESSBOOK]",15.478,0.0
false,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",48.255,0.0
false,"[KEYS, VERIFY, SIGN, BASE, ADDRESSBOOK]",6.202,0.0
false,"[KEYS, VERIFY, SIGN, BASE]",4.14,0.0
false,"[KEYS, AUTORESPONDER, BASE, ADDRESSBOOK]",12.576,0.0
false,"[KEYS, FORWARD, VERIFY, SIGN, BASE]",15.457,0.0
false,"[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",24.917,0.0
true,"[BASE, ADDRESSBOOK]",2.076,0.0
false,"[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE]",29.965,0.0
false,"[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",16.495,0.0
true,"[AUTORESPONDER, BASE]",5.318,0.0
false,"[DECRYPT, KEYS, ENCRYPT, BASE, ADDRESSBOOK]",16.494,0.0
false,"[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE]",12.381,0.0
false,"[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE, ADDRESSBOOK]",36.161,0.0
false,"[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",29.599,0.0
false,"[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE]",24.426,0.0
true,"[AUTORESPONDER, BASE, ADDRESSBOOK]",8.454,0.0
true,"[FORWARD, BASE]",11.339,0.0
false,"[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE]",19.737,0.0
false,"[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",24.924,0.0
