IGNORECASE,INVERTMATCH,FIXEDSTRINGS,LINENUMBER,COUNT,MATCHINGFILES,WHOLELINE,time
0,0,1,0,0,0,1,2.924
0,1,0,0,0,0,0,2.894
0,0,0,0,0,1,1,3.108
0,0,0,1,0,0,1,2.915
0,0,1,0,0,1,0,3.126
0,0,0,1,0,0,0,2.909
1,1,0,0,0,0,0,2.906
0,0,0,0,0,1,0,3.768
0,1,0,0,0,1,0,2.322
0,0,1,0,0,0,0,2.919
0,0,0,1,0,1,0,3.897
1,0,0,1,0,0,0,2.903
1,0,1,0,0,0,0,2.97
0,0,1,0,1,0,0,3.064
0,0,0,0,1,0,0,3.789
1,0,0,0,1,0,0,24.122
0,0,0,0,1,1,0,3.78
1,0,0,0,0,0,0,2.898
0,1,0,0,1,0,0,3.904
0,0,0,0,0,0,1,2.912
0,1,1,0,0,0,0,2.905
0,1,0,1,0,0,0,2.918
0,0,0,0,1,0,1,3.17
0,0,1,1,0,0,0,2.881
0,0,0,0,0,0,0,2.844
0,0,0,1,1,0,0,3.831
0,1,0,0,0,0,1,2.967
1,0,0,0,0,0,1,2.924
1,0,0,0,0,1,0,2.43
