measured,configuration,performance,std
true,"[]",2.9,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES, IGNORECASE]",1.25,0.0
false,"[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES]",4.01,0.0
false,"[FIXEDSTRINGS, WHOLELINE, IGNORECASE]",2.9,0.0
false,"[COUNT, LINENUMBER, IGNORECASE]",24.12,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, IGNORECASE]",2.9,0.0
false,"[FIXEDSTRINGS, COUNT, LINENUMBER]",3.49,0.0
false,"[COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",23.65,0.0
true,"[FIXEDSTRINGS, LINENUMBER]",2.9,0.0
false,"[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES]",3.42,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",22.47,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",1.25,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER]",3.49,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER]",3.49,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",2.83,0.0
false,"[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES, IGNORECASE]",2.43,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",24.12,0.0
true,"[COUNT, MATCHINGFILES]",4.01,0.0
false,"[INVERTMATCH, WHOLELINE, LINENUMBER]",2.9,0.0
true,"[INVERTMATCH, MATCHINGFILES]",2.24,0.0
false,"[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",4.01,0.0
true,"[INVERTMATCH]",2.9,0.0
false,"[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",2.24,0.0
true,"[COUNT]",3.49,0.0
false,"[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",23.65,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",24.12,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",22.47,0.0
true,"[WHOLELINE]",2.9,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",4.01,0.0
false,"[FIXEDSTRINGS, COUNT, MATCHINGFILES, IGNORECASE]",23.65,0.0
true,"[WHOLELINE, MATCHINGFILES]",3.42,0.0
false,"[FIXEDSTRINGS, COUNT, IGNORECASE]",24.12,0.0
true,"[INVERTMATCH, LINENUMBER]",2.9,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",2.83,0.0
false,"[WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",24.12,0.0
false,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.43,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT]",3.49,0.0
false,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER, IGNORECASE]",2.9,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",2.9,0.0
false,"[INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",24.12,0.0
false,"[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",22.47,0.0
true,"[INVERTMATCH, WHOLELINE]",2.9,0.0
true,"[WHOLELINE, LINENUMBER]",2.9,0.0
false,"[LINENUMBER, MATCHINGFILES, IGNORECASE]",2.43,0.0
false,"[INVERTMATCH, LINENUMBER, MATCHINGFILES]",2.24,0.0
true,"[FIXEDSTRINGS]",2.9,0.0
true,"[LINENUMBER, IGNORECASE]",2.9,0.0
true,"[IGNORECASE]",2.9,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",3.49,0.0
false,"[WHOLELINE, LINENUMBER, MATCHINGFILES]",3.42,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT]",3.49,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",1.25,0.0
false,"[WHOLELINE, COUNT, IGNORECASE]",24.12,0.0
false,"[WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",23.65,0.0
false,"[INVERTMATCH, COUNT, IGNORECASE]",24.12,0.0
false,"[INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",22.47,0.0
true,"[FIXEDSTRINGS, MATCHINGFILES]",3.42,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",2.83,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, IGNORECASE]",2.9,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",24.12,0.0
false,"[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",1.25,0.0
