measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.379,0,5.404,0.078,5.279,5.528,true,0.025,0.005,0.001
"true","[]",5.348,0,5.462,0.161,5.205,5.718,true,0.114,0.021,0.013
"true","[FREQTHRESHOLD, TIMEOUT]",5.516,0,5.463,0.071,5.349,5.576,true,0.053,0.01,0.003
"true","[FREQTHRESHOLD]",5.476,0,5.4,0.052,5.318,5.482,true,0.076,0.014,0.006
"true","[TIMEOUT, LOGLEVEL, MINALPHA]",5.403,0,5.505,0.084,5.371,5.638,true,0.102,0.019,0.01
"true","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT]",5.398,0,5.482,0.188,5.183,5.781,true,0.084,0.015,0.007
"true","[DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.671,0,5.464,0.119,5.274,5.654,false,0.207,0.038,0.043
"true","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.536,0,5.403,0.031,5.354,5.452,false,0.133,0.025,0.018
"true","[DISTTHRESHOLD]",5.429,0,5.501,0.056,5.412,5.589,true,0.072,0.013,0.005
"true","[DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.388,0,5.462,0.177,5.18,5.743,true,0.074,0.014,0.005
"true","[DISTTHRESHOLD, TIMEOUT]",5.493,0,5.4,0.043,5.333,5.468,false,0.093,0.017,0.009
"true","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.427,0,5.491,0.158,5.24,5.743,true,0.064,0.012,0.004
"true","[DISTTHRESHOLD, MINALPHA]",5.333,0,5.468,0.148,5.231,5.704,true,0.135,0.025,0.018
"true","[FREQTHRESHOLD, MINALPHA]",5.5,0,5.485,0.063,5.384,5.585,true,0.015,0.003,0
"true","[TIMEOUT, LOGLEVEL]",5.328,0,5.441,0.04,5.378,5.505,false,0.113,0.021,0.013
"true","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL]",5.495,0,5.382,0.13,5.174,5.589,true,0.113,0.021,0.013
"true","[LOGLEVEL, MINALPHA]",5.371,0,5.408,0.134,5.194,5.621,true,0.037,0.007,0.001
"true","[LOGLEVEL]",5.378,0,5.442,0.127,5.24,5.645,true,0.064,0.012,0.004
"true","[TIMEOUT, MINALPHA]",5.406,0,5.412,0.13,5.206,5.618,true,0.006,0.001,0
"true","[DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",5.527,0,5.461,0.172,5.188,5.734,true,0.066,0.012,0.004
"true","[FREQTHRESHOLD, LOGLEVEL]",5.534,0,5.447,0.107,5.277,5.618,true,0.087,0.016,0.008
"true","[FREQTHRESHOLD, TIMEOUT, MINALPHA]",5.476,0,5.461,0.139,5.24,5.682,true,0.015,0.003,0
"true","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",5.492,0,5.415,0.109,5.241,5.589,true,0.077,0.014,0.006
"true","[DISTTHRESHOLD, LOGLEVEL]",5.524,0,5.452,0.171,5.18,5.724,true,0.072,0.013,0.005
"true","[DISTTHRESHOLD, TIMEOUT, MINALPHA]",5.601,0,5.403,0.114,5.221,5.585,false,0.198,0.037,0.039
"true","[FREQTHRESHOLD, DISTTHRESHOLD, MINALPHA]",5.527,0,5.528,0.136,5.311,5.745,true,0.001,0,0
"true","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, MINALPHA]",5.502,0,5.512,0.16,5.258,5.766,true,0.01,0.002,0
"true","[FREQTHRESHOLD, LOGLEVEL, MINALPHA]",5.464,0,5.587,0.023,5.551,5.624,false,0.123,0.022,0.015
"true","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL]",5.451,0,5.363,0.03,5.316,5.41,false,0.088,0.016,0.008
"true","[TIMEOUT]",5.347,0,5.442,0.035,5.386,5.498,false,0.095,0.017,0.009
"true","[FREQTHRESHOLD, DISTTHRESHOLD]",5.374,0,5.47,0.095,5.32,5.621,true,0.096,0.018,0.009
"true","[MINALPHA]",5.524,0,5.355,0.046,5.282,5.428,false,0.169,0.032,0.029

Total: 32
MSE: �
RMSE: �
MAPE: �
Measured within ci: 23
Measured outside ci: 9
Predicted within ci: 0
Predicted outside ci: 0
Valid configs: 0.0
