measured,configuration,performance,std
true,"[]",1.88,0.0
true,"[LOGLEVEL, COMPRESSIONLEVEL]",7.74,0.0
false,"[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",85.57,0.0
true,"[COMPRESSOR, LOGLEVEL]",82.59,0.0
true,"[ITERATIONS, REMOVEGAMMA]",1.88,0.0
true,"[COMPRESSOR, COMPRESSIONLEVEL]",84.1,0.0
false,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.74,0.0
true,"[ITERATIONS, LOGLEVEL]",1.88,0.0
true,"[ITERATIONS, COMPRESSIONLEVEL]",7.74,0.0
false,"[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",7.74,0.0
false,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",85.57,0.0
true,"[LOGLEVEL, REMOVEGAMMA]",1.88,0.0
true,"[COMPRESSIONLEVEL, REMOVEGAMMA]",7.74,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",222.09,0.0
true,"[COMPRESSOR, ITERATIONS]",220.58,0.0
true,"[LOGLEVEL]",1.88,0.0
false,"[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",222.05,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",223.56,0.0
true,"[COMPRESSIONLEVEL]",7.74,0.0
true,"[COMPRESSOR]",82.59,0.0
false,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",84.1,0.0
false,"[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",1.88,0.0
true,"[COMPRESSOR, REMOVEGAMMA]",84.06,0.0
false,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",222.09,0.0
true,"[ITERATIONS]",1.88,0.0
false,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",7.74,0.0
false,"[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",84.06,0.0
false,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",223.56,0.0
false,"[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.74,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL]",220.58,0.0
true,"[REMOVEGAMMA]",1.88,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",222.05,0.0
