measured,configuration,config_crusher,config_crusher_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",67.697,0.0,68.084,0.374,67.155,69.014,true,0.387,0.006,0.15
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR]",6.163,0.0,6.236,0.299,5.493,6.979,true,0.073,0.012,0.005
"true","[]",14.611,0.0,13.956,0.508,12.695,15.217,true,0.655,0.047,0.429
"false","[DEEPCOPY, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",35.541,0.0,35.874,0.384,34.92,36.828,true,0.333,0.009,0.111
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",9.837,0.0,9.281,0.111,9.006,9.557,false,0.556,0.06,0.309
"false","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",63.952,0.0,61.098,0.536,59.768,62.429,false,2.854,0.047,8.145
"false","[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",5.79,0.0,6.067,0.237,5.478,6.657,true,0.277,0.046,0.077
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",19.662,0.0,18.846,0.624,17.296,20.397,true,0.816,0.043,0.666
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER]",69.187,0.0,67.526,0.477,66.34,68.712,false,1.661,0.025,2.759
"false","[FILEAGETHRESHOLD, CLOCK]",15.031,0.0,13.672,0.493,12.447,14.897,false,1.359,0.099,1.847
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC]",10.152,0.0,8.64,0.139,8.294,8.986,false,1.512,0.175,2.286
"false","[MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",50.172,0.0,47.967,0.411,46.946,48.989,false,2.205,0.046,4.862
"false","[DEEPCOPY, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",35.711,0.0,35.909,0.462,34.763,37.056,true,0.198,0.006,0.039
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",67.527,0.0,67.796,0.119,67.502,68.091,true,0.269,0.004,0.072
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",69.253,0.0,67.162,0.701,65.421,68.903,false,2.091,0.031,4.372
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, CLOCK]",12.735,0.0,8.605,0.684,6.906,10.305,false,4.13,0.48,17.057
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",21.638,0.0,18.909,0.275,18.225,19.593,false,2.729,0.144,7.447
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER]",69.423,0.0,67.787,0.479,66.598,68.976,false,1.636,0.024,2.676
"false","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",69.017,0.0,68.124,0.717,66.342,69.906,true,0.893,0.013,0.797
"false","[MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",64.358,0.0,61.276,0.324,60.472,62.08,false,3.082,0.05,9.499
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, CLOCK]",5.948,0.0,6.13,0.349,5.264,6.997,true,0.182,0.03,0.033
"false","[MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",64.122,0.0,61.578,0.707,59.821,63.335,false,2.544,0.041,6.472
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",10.087,0.0,9.539,0.734,7.716,11.362,true,0.548,0.057,0.3
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD]",9.669,0.0,9.331,0.368,8.417,10.246,true,0.338,0.036,0.114
"false","[MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",50.387,0.0,47.387,0.628,45.827,48.947,false,3,0.063,9
"false","[FILEAGETHRESHOLD]",15.246,0.0,13.573,0.454,12.444,14.701,false,1.673,0.123,2.799
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",67.461,0.0,67.124,0.182,66.672,67.575,true,0.337,0.005,0.114
"false","[DEEPCOPY, FILEAGETHRESHOLD, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",35.711,0.0,35.665,0.855,33.539,37.79,true,0.046,0.001,0.002
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",21.388,0.0,19.237,0.348,18.373,20.1,false,2.151,0.112,4.627
"false","[DEEPCOPY, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",37.267,0.0,34.998,0.246,34.388,35.609,false,2.269,0.065,5.148
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",10.073,0.0,9.384,0.283,8.681,10.087,true,0.689,0.073,0.475
"false","[DEEPCOPY, TRANSIENTMODE, FILESIZETHRESHOLD, CLOCK]",12.756,0.0,9.085,0.013,9.054,9.116,false,3.671,0.404,13.476
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",21.587,0.0,18.894,0.625,17.342,20.446,false,2.693,0.143,7.252
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER]",5.997,0.0,6.046,0.171,5.621,6.471,true,0.049,0.008,0.002
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, CLOCK]",12.747,0.0,8.519,0.286,7.809,9.229,false,4.228,0.496,17.876
"false","[CLOCK]",14.396,0.0,13.956,0.47,12.789,15.124,true,0.44,0.032,0.194
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",64.326,0.0,61.862,0.593,60.39,63.334,false,2.464,0.04,6.071
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",48.866,0.0,47.638,0.586,46.181,49.095,true,1.228,0.026,1.508
"false","[TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD]",9.919,0.0,9.31,0.108,9.041,9.579,false,0.609,0.065,0.371
"false","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",20.35,0.0,18.399,0.185,17.938,18.86,false,1.951,0.106,3.806
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",22.346,0.0,18.066,0.866,15.916,20.217,false,4.28,0.237,18.318
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",64.26,0.0,61.438,0.047,61.323,61.554,false,2.822,0.046,7.964
"false","[TRANSIENTMODE, SNAPSHOTSERIALIZER]",5.985,0.0,6.395,0.434,5.317,7.474,true,0.41,0.064,0.168
"false","[TRANSIENTMODE, SNAPSHOTSERIALIZER, CLOCK]",5.77,0.0,6.058,0.398,5.068,7.047,true,0.288,0.048,0.083
