measured,configuration,performance,std,minci,maxci
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, FILESIZETHRESHOLD]",6.038,0,0,0
true,"[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",24.825,0,0,0
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.523,0,0,0
true,"[DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",53.101,0,0,0
true,"[DISKSYNC, JOURNALSERIALIZER]",54.613,0,0,0
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.021,0,0,0
true,"[DEEPCOPY, MONITOR, DISKSYNC]",55.36,0,0,0
true,"[FILEAGETHRESHOLD, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",13.743,0,0,0
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.404,0,0,0
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD]",9.225,0,0,0
true,"[DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",8.204,0,0,0
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",9.432,0,0,0
true,"[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",25.242,0,0,0
true,"[FILEAGETHRESHOLD, TRANSIENTMODE]",6.169,0,0,0
