measured,configuration,performance,std
true,"[]",1.008,0.0
false,"[A]",3.114,0.0
false,"[B]",1.21,0.0
false,"[C]",1.311,0.0
false,"[D]",1.412,0.0
false,"[E]",1.511,0.0
false,"[F]",1.611,0.0
false,"[G]",1.712,0.0
false,"[H]",1.813,0.0
false,"[I]",1.912,0.0
false,"[J]",1.008,0.0
false,"[A, B]",6.322,0.0
false,"[A, C]",7.419,0.0
false,"[B, C]",1.513,0.0
false,"[A, D]",3.518,0.0
false,"[B, D]",1.614,0.0
false,"[A, E]",3.617,0.0
false,"[C, D]",1.715,0.0
false,"[B, E]",1.713,0.0
false,"[A, F]",3.717,0.0
false,"[C, E]",1.814,0.0
false,"[B, F]",1.813,0.0
false,"[A, G]",3.818,0.0
true,"[D, E]",1.915,0.0
false,"[C, F]",1.914,0.0
false,"[B, G]",1.914,0.0
false,"[A, H]",3.919,0.0
true,"[D, F]",2.015,0.0
false,"[C, G]",2.015,0.0
false,"[B, H]",2.015,0.0
false,"[A, I]",4.018,0.0
true,"[E, F]",2.114,0.0
false,"[D, G]",2.116,0.0
false,"[C, H]",2.116,0.0
false,"[B, I]",2.114,0.0
false,"[A, J]",3.114,0.0
false,"[E, G]",2.215,0.0
false,"[D, H]",2.217,0.0
false,"[C, I]",2.215,0.0
false,"[B, J]",1.21,0.0
false,"[F, G]",2.315,0.0
false,"[E, H]",2.316,0.0
false,"[D, I]",2.316,0.0
false,"[C, J]",1.311,0.0
false,"[F, H]",2.416,0.0
false,"[E, I]",2.415,0.0
false,"[D, J]",1.412,0.0
false,"[G, H]",2.517,0.0
false,"[F, I]",2.515,0.0
false,"[E, J]",1.511,0.0
false,"[G, I]",2.616,0.0
false,"[F, J]",1.611,0.0
false,"[H, I]",2.717,0.0
false,"[G, J]",1.712,0.0
false,"[H, J]",1.813,0.0
false,"[I, J]",1.912,0.0
false,"[A, B, C]",10.627,0.0
false,"[A, B, D]",6.726,0.0
false,"[A, C, D]",7.823,0.0
false,"[A, B, E]",6.825,0.0
false,"[B, C, D]",1.917,0.0
false,"[A, C, E]",7.922,0.0
false,"[A, B, F]",6.925,0.0
false,"[B, C, E]",2.016,0.0
false,"[A, D, E]",4.021,0.0
false,"[A, C, F]",8.022,0.0
false,"[A, B, G]",7.026,0.0
false,"[B, D, E]",2.117,0.0
false,"[B, C, F]",2.116,0.0
false,"[A, D, F]",4.121,0.0
false,"[A, C, G]",8.123,0.0
false,"[A, B, H]",7.127,0.0
false,"[C, D, E]",2.218,0.0
false,"[B, D, F]",2.217,0.0
false,"[A, E, F]",4.22,0.0
false,"[B, C, G]",2.217,0.0
true,"[A, D, G]",4.222,0.0
false,"[A, C, H]",8.224,0.0
false,"[A, B, I]",7.226,0.0
false,"[C, D, F]",2.318,0.0
false,"[B, E, F]",2.316,0.0
false,"[B, D, G]",2.318,0.0
false,"[A, E, G]",4.321,0.0
false,"[B, C, H]",2.318,0.0
false,"[A, D, H]",4.323,0.0
false,"[A, C, I]",8.323,0.0
false,"[A, B, J]",6.322,0.0
false,"[A, D, I]",4.422,0.0
false,"[C, E, F]",2.417,0.0
false,"[C, D, G]",2.419,0.0
false,"[B, E, G]",2.417,0.0
false,"[A, F, G]",4.421,0.0
false,"[B, D, H]",2.419,0.0
false,"[A, E, H]",4.422,0.0
false,"[B, C, I]",2.417,0.0
false,"[A, C, J]",7.419,0.0
false,"[C, E, G]",2.518,0.0
true,"[D, E, F]",7.522,0.0
false,"[B, F, G]",2.517,0.0
false,"[C, D, H]",2.52,0.0
false,"[B, E, H]",2.518,0.0
false,"[A, F, H]",4.522,0.0
false,"[A, D, J]",3.518,0.0
false,"[B, D, I]",2.518,0.0
false,"[A, E, I]",4.521,0.0
false,"[B, C, J]",1.513,0.0
false,"[C, E, H]",2.619,0.0
false,"[D, E, G]",2.619,0.0
false,"[C, F, G]",2.618,0.0
false,"[B, F, H]",2.618,0.0
false,"[A, E, J]",3.617,0.0
false,"[A, G, H]",4.623,0.0
false,"[C, D, I]",2.619,0.0
false,"[B, E, I]",2.617,0.0
false,"[A, F, I]",4.621,0.0
false,"[B, D, J]",1.614,0.0
false,"[B, F, I]",2.717,0.0
false,"[D, F, G]",2.719,0.0
false,"[D, E, H]",2.72,0.0
false,"[C, F, H]",2.719,0.0
false,"[B, G, H]",2.719,0.0
false,"[C, E, I]",2.718,0.0
false,"[A, G, I]",4.722,0.0
false,"[C, D, J]",1.715,0.0
false,"[A, F, J]",3.717,0.0
false,"[B, E, J]",1.713,0.0
false,"[C, G, H]",2.82,0.0
false,"[E, F, G]",2.818,0.0
false,"[D, F, H]",2.82,0.0
false,"[D, E, I]",2.819,0.0
false,"[C, F, I]",2.818,0.0
false,"[B, G, I]",2.818,0.0
false,"[A, G, J]",3.818,0.0
false,"[A, H, I]",4.823,0.0
false,"[C, E, J]",1.814,0.0
false,"[B, F, J]",1.813,0.0
false,"[C, F, J]",1.914,0.0
false,"[E, F, H]",2.919,0.0
false,"[D, G, H]",2.921,0.0
false,"[D, F, I]",2.919,0.0
false,"[C, G, I]",2.919,0.0
false,"[B, H, I]",2.919,0.0
false,"[D, E, J]",1.915,0.0
false,"[B, G, J]",1.914,0.0
false,"[A, H, J]",3.919,0.0
false,"[E, G, H]",3.02,0.0
