CHECK,MERGE,UNIQUE,IGNORELEADINGBLANKS,DICTIONARYORDER,IGNORECASE,NUMBERICSORT,GENERALNUMRICSORT,HUMANNUMERICSORT,MONTHSORT,VERSIONSORT,REVERSE,time
0,1,0,0,0,0,0,0,0,0,0,0,139.541
0,0,0,0,0,0,0,0,0,0,0,1,56.123
0,0,0,0,0,0,1,0,0,0,0,0,3.601
0,0,0,0,0,0,0,1,0,0,0,0,102.409
0,0,0,0,0,0,0,0,0,0,1,0,85.208
0,0,0,0,0,1,0,0,0,0,0,0,64.376
0,0,0,0,1,0,0,0,0,0,0,0,85.112
0,0,0,0,0,0,0,0,0,1,0,0,72.067
1,0,0,0,0,0,0,0,0,0,0,0,1.561
0,0,1,0,0,0,0,0,0,0,0,0,82.121
0,0,0,0,0,0,0,0,1,0,0,0,53.372
0,0,0,1,0,0,0,0,0,0,0,0,40.27
