CHECK,MERGE,UNIQUE,IGNORELEADINGBLANKS,DICTIONARYORDER,IGNORECASE,NUMBERICSORT,GENERALNUMRICSORT,HUMANNUMERICSORT,MONTHSORT,VERSIONSORT,REVERSE,time
0,0,1,0,0,0,0,0,1,0,0,0,112.777
0,0,0,0,0,0,1,0,0,1,0,0,3.639
0,0,0,1,0,0,0,0,0,0,0,1,41.541
0,0,0,1,0,0,0,0,1,0,0,0,40.749
1,0,0,0,0,0,0,0,0,0,0,0,1.561
0,0,0,0,0,0,0,1,0,0,0,0,102.409
0,0,0,0,0,1,0,0,0,0,0,0,64.376
0,0,0,1,1,0,0,0,0,0,0,0,40.749
1,0,0,0,0,0,0,0,1,0,0,0,1.562
0,1,0,0,0,0,0,0,0,0,0,1,30.56
0,0,0,1,0,0,0,0,0,0,0,0,40.27
0,0,0,0,0,0,1,0,0,0,0,0,3.601
0,0,0,0,1,1,0,0,0,0,0,0,56.962
0,1,0,1,0,0,0,0,0,0,0,0,116.881
0,1,0,0,0,0,1,0,0,0,0,0,13.634
0,0,0,1,0,0,1,0,0,0,0,0,3.504
0,0,0,0,0,0,1,0,0,0,0,1,4.82
0,0,0,0,0,0,0,0,1,0,1,0,85.807
0,0,0,0,0,0,0,0,0,1,0,1,68.702
0,0,0,0,1,0,0,0,0,0,0,1,68.876
1,0,0,0,1,0,0,0,0,0,0,0,1.572
0,0,0,0,1,0,1,0,0,0,0,0,3.531
0,0,1,0,0,1,0,0,0,0,0,0,64.48
0,0,0,0,0,0,0,0,0,0,0,0,65.361
1,0,0,0,0,0,0,0,0,0,1,0,1.569
0,0,1,0,0,0,0,0,0,0,0,1,83.109
0,0,0,0,0,0,0,1,1,0,0,0,104.915
0,0,0,0,0,1,0,0,0,0,1,0,63.794
0,0,0,0,0,1,0,1,0,0,0,0,102.884
1,0,0,0,0,0,0,0,0,1,0,0,1.575
0,0,0,0,0,0,1,1,0,0,0,0,3.471
0,1,0,0,1,0,0,0,0,0,0,0,140.335
0,0,0,0,0,0,0,0,1,1,0,0,84.456
0,1,0,0,0,0,0,1,0,0,0,0,286.417
0,0,0,0,1,0,0,0,0,0,1,0,84.297
0,1,0,0,0,1,0,0,0,0,0,0,151.915
1,1,0,0,0,0,0,0,0,0,0,0,138.325
0,0,0,0,0,1,0,0,0,0,0,1,83.933
0,0,0,0,0,0,0,0,0,0,1,1,84.252
0,0,0,0,0,0,0,0,0,1,0,0,72.067
0,0,0,0,0,1,0,0,0,1,0,0,57.291
0,0,0,0,1,0,0,0,1,0,0,0,83.266
1,0,1,0,0,0,0,0,0,0,0,0,1.557
0,0,1,0,0,0,0,0,0,0,0,0,82.121
0,1,0,0,0,0,0,0,1,0,0,0,140.791
1,0,0,1,0,0,0,0,0,0,0,0,1.567
0,0,0,1,0,0,0,1,0,0,0,0,101.745
0,0,1,0,0,0,0,0,0,1,0,0,112.18
0,1,1,0,0,0,0,0,0,0,0,0,139.087
0,0,0,0,0,0,0,0,1,0,0,1,84.391
0,0,0,0,0,0,0,0,0,0,1,0,85.208
0,0,0,1,0,1,0,0,0,0,0,0,41.577
0,0,0,0,1,0,0,1,0,0,0,0,100.584
0,0,0,0,0,0,0,1,0,0,1,0,101.986
1,0,0,0,0,0,0,1,0,0,0,0,1.523
0,0,0,0,0,1,0,0,1,0,0,0,52.946
0,0,1,1,0,0,0,0,0,0,0,0,52.557
0,0,0,1,0,0,0,0,0,1,0,0,42.24
0,0,0,0,0,0,0,0,0,1,1,0,67.838
0,0,0,0,1,0,0,0,0,0,0,0,85.112
0,0,0,0,0,0,0,0,1,0,0,0,53.372
0,0,0,0,0,0,0,1,0,1,0,0,102.398
0,0,0,0,1,0,0,0,0,1,0,0,66.261
0,0,0,0,0,0,1,0,0,0,1,0,3.415
0,0,0,0,0,0,1,0,1,0,0,0,3.442
0,1,0,0,0,0,0,0,0,1,0,0,139.483
0,0,0,0,0,0,0,0,0,0,0,1,56.123
0,1,0,0,0,0,0,0,0,0,1,0,152.647
0,0,0,1,0,0,0,0,0,0,1,0,40.208
0,0,1,0,0,0,0,1,0,0,0,0,126.628
0,0,1,0,0,0,1,0,0,0,0,0,29.845
0,1,0,0,0,0,0,0,0,0,0,0,139.541
0,0,0,0,0,0,0,1,0,0,0,1,103.564
0,0,1,0,0,0,0,0,0,0,1,0,77.69
1,0,0,0,0,1,0,0,0,0,0,0,1.574
0,0,1,0,1,0,0,0,0,0,0,0,95.392
1,0,0,0,0,0,0,0,0,0,0,1,1.566
0,0,0,0,0,1,1,0,0,0,0,0,3.533
1,0,0,0,0,0,1,0,0,0,0,0,1.543
