RAM_BUFFER_SIZE_MB,MERGE_POLICY,MERGE_SCHEDULER,COMMIT_ON_CLOSE,CHECK_PENDING_FLUSH_UPDATE,READER_POOLING,MAX_BUFFERED_DOCS,CODEC,USE_COMPOUND_FILE,INDEX_DELETION_POLICY,MAX_TOKEN_LENGTH,MAX_CFS_SEGMENT_SIZE_MB,NO_CFS_RATIO,INDEX_COMMIT,MERGED_SEGMENT_WARMER,RAM_PER_THREAD_HARD_LIMIT,SIMILARITY,time
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.819
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.69
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.954
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.744
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.663
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.027
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.63
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.744
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.748
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.934
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.575
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.608
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.713
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.593
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.433
