RAM_BUFFER_SIZE_MB,MERGE_POLICY,MERGE_SCHEDULER,COMMIT_ON_CLOSE,CHECK_PENDING_FLUSH_UPDATE,READER_POOLING,MAX_BUFFERED_DOCS,CODEC,USE_COMPOUND_FILE,INDEX_DELETION_POLICY,MAX_TOKEN_LENGTH,MAX_CFS_SEGMENT_SIZE_MB,NO_CFS_RATIO,INDEX_COMMIT,MERGED_SEGMENT_WARMER,RAM_PER_THREAD_HARD_LIMIT,SIMILARITY,time
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.213
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,33.942
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.72
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,31.03
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,30.552
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30.744
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,33.939
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,34.041
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,30.672
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24.208
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.317
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,30.949
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.397
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,30.632
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,31.032
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.146
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,31.359
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,30.488
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30.661
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.136
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.627
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.755
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.459
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,30.762
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.182
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30.892
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24.129
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.676
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.99
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,30.896
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30.593
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,30.832
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,34.055
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,30.434
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,33.868
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.665
