DUPLICATES,SEQUENTIAL,MAX_MEMORY,ENV_SHARED_CACHE,REPLICATED,ENV_IS_LOCKING,CACHE_MODE,TEMPORARY,JE_FILE_LEVEL,ENV_BACKGROUND_READ_LIMIT,LOCK_DEADLOCK_DETECT,TXN_SERIALIZABLE_ISOLATION,JE_DURABILITY,ADLER32_CHUNK_SIZE,CHECKPOINTER_BYTES_INTERVAL,LOCK_DEADLOCK_DETECT_DELAY,time
0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,23.306
0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,10.441
1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,6.91
0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,9.935
1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,23.267
1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,7.017
1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,4.912
0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,7.396
1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,6.593
0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,10.402
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,10.917
0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,11.796
1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,4.916
0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,11.673
0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,10.507
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6.853
1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,14.999
0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,10.503
0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,26.85
1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,6.527
1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,6.74
1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,7.866
1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,14.862
0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,11.099
0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,10.525
1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,6.535
0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,9.969
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,10.254
0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,9.99
1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,6.721
1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,7.665
0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,11.618
0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,7.516
0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,12.005
0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,18.753
1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,8.094
0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,23.435
0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,23.428
0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,11.246
0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,18.74
0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,11.087
1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,6.766
0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,27.173
1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,4.382
1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,6.474
0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,11.058
1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,21.307
0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,11.802
0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,7.432
1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,7.69
1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,4.388
0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,11.317
1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,21.308
1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,6.79
1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,15.049
0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,11.123
1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,7.749
1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,21.371
0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,23.339
1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,21.094
1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,4.862
1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,6.666
1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,23.152
1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,6.469
1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,6.602
0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,5.231
0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,23.417
1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,5.373
0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,10.738
1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,23.309
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,18.509
0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,9.951
0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,4.746
1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,7.789
1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,7.625
0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,10.423
1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,7.129
0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,11.874
0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,7.507
