measured,configuration,performance,std,minci,maxci
true,"[DATA, DUPLICATES]",7.972,0.229,7.608,8.336
true,"[RECORDS, SEQUENTIAL, KEYSIZE]",2.213,0.016,2.187,2.239
true,"[RECORDS, DATA, DUPLICATES, SEQUENTIAL]",2.112,0.045,2.041,2.184
true,"[RECORDS, DATA, DUPLICATES, KEYSIZE]",2.143,0.056,2.054,2.231
true,"[DATA]",6.758,0.266,6.336,7.181
true,"[RECORDS, DUPLICATES]",2.1,0.054,2.013,2.187
true,"[RECORDS, DATA, KEYSIZE]",2.141,0.006,2.131,2.151
true,"[RECORDS, DUPLICATES, SEQUENTIAL, KEYSIZE]",2.098,0.025,2.059,2.138
true,"[DUPLICATES, SEQUENTIAL, KEYSIZE]",7.677,0.181,7.39,7.965
true,"[DUPLICATES]",6.709,0.346,6.158,7.259
true,"[DATA, DUPLICATES, KEYSIZE]",9.747,0.129,9.542,9.952
true,"[SEQUENTIAL, KEYSIZE]",9.09,0.135,8.876,9.304
true,"[SEQUENTIAL]",8.234,0.212,7.897,8.572
true,"[]",9.643,0.268,9.217,10.07
true,"[RECORDS]",2.208,0.047,2.134,2.282
true,"[DATA, DUPLICATES, SEQUENTIAL]",7.041,0.531,6.196,7.886
true,"[DATA, DUPLICATES, SEQUENTIAL, KEYSIZE]",7.448,0.074,7.33,7.567
true,"[RECORDS, DATA, DUPLICATES, SEQUENTIAL, KEYSIZE]",2.152,0.053,2.067,2.236
true,"[DUPLICATES, KEYSIZE]",9.899,0.129,9.694,10.104
true,"[RECORDS, SEQUENTIAL]",2.143,0.062,2.045,2.241
true,"[RECORDS, DATA, DUPLICATES]",2.101,0.031,2.052,2.151
true,"[DATA, SEQUENTIAL, KEYSIZE]",6.521,0.23,6.155,6.888
true,"[RECORDS, DUPLICATES, SEQUENTIAL]",2.125,0.02,2.093,2.157
true,"[RECORDS, DUPLICATES, KEYSIZE]",2.171,0.065,2.068,2.274
true,"[RECORDS, DATA]",2.121,0.093,1.972,2.269
true,"[DATA, SEQUENTIAL]",5.929,0.3,5.452,6.406
true,"[DUPLICATES, SEQUENTIAL]",6.423,0.42,5.755,7.091
true,"[RECORDS, DATA, SEQUENTIAL]",2.172,0.026,2.13,2.213
true,"[RECORDS, DATA, SEQUENTIAL, KEYSIZE]",2.126,0.062,2.027,2.225
true,"[DATA, KEYSIZE]",7.779,0.305,7.294,8.264
true,"[KEYSIZE]",10.903,0.422,10.231,11.574
true,"[RECORDS, KEYSIZE]",2.241,0.053,2.158,2.325
