measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[]",57.86,0.0,58.128,0.536,57.275,58.982,false,1.232,0.021,1.518
"false","[ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE]",182.89,0.0,183.538,0.923,182.07,185.006,true,0.852,0.005,0.726
"false","[ENABLEMOZJPEG, SCALE, IOSCREATEIMAGESETFOLDERS]",7.99,0.0,8.869,0.056,8.781,8.958,false,0.621,0.07,0.386
"false","[PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, SCALEMODE, ROUNDINGHANDLER, SCALE, CLEARDIRBEFORECONVERT]",0.0,0.0,7.274,0.035,7.219,7.329,false,5.774,0.794,33.339
"false","[ENABLEPNGCRUSH, SKIPUPSCALING, CREATEMIPMAPINSTEADOFDRAWABLEDIR, VERBOSELOG]",3.86,0.0,4.828,0.023,4.792,4.864,false,0.532,0.11,0.283
"false","[SKIPUPSCALING, ROUNDINGHANDLER]",5.88,0.0,4.827,0.016,4.801,4.853,false,2.553,0.529,6.518
"false","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, SKIPUPSCALING, DOWNSCALINGALGORITHM, COMPRESSQUALITY, HALTONERROR]",0.0,0.0,4.691,0.022,4.656,4.726,false,3.191,0.68,10.182
"false","[POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, HALTONERROR, CLEARDIRBEFORECONVERT]",170.87,0.0,196.162,0.746,194.975,197.349,false,23.792,0.121,566.059
"false","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, CREATEMIPMAPINSTEADOFDRAWABLEDIR]",57.29,0.0,57.458,0.584,56.528,58.387,false,1.332,0.023,1.774
"false","[PLATFORM, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, SCALEMODE]",4.69,0.0,5.322,0.016,5.296,5.349,false,0.868,0.163,0.753
"false","[VERBOSELOG, ROUNDINGHANDLER]",58.51,0.0,58.141,0.713,57.007,59.275,false,1.869,0.032,3.493
"true","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR]",57.86,0.0,57.527,0.587,56.593,58.461,false,1.833,0.032,3.36
"false","[SCALEMODE, SCALE]",0.0,0.0,5.521,0.085,5.386,5.656,false,4.021,0.728,16.168
"false","[ENABLEPNGCRUSH, ENABLEMOZJPEG]",57.36,0.0,57.877,0.704,56.758,58.997,true,0.983,0.017,0.966
"false","[HALTONERROR, CLEARDIRBEFORECONVERT]",55.83,0.0,57.396,0.137,57.177,57.614,true,0.066,0.001,0.004
"false","[UPSCALINGALGORITHM, SKIPUPSCALING]",0.0,0.0,4.819,0.021,4.785,4.853,false,3.319,0.689,11.016
"false","[PLATFORM, UPSCALINGALGORITHM, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM]",227.81,0.0,389.577,2.021,386.36,392.793,false,160.267,0.411,25685.511
"false","[IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",56.64,0.0,57.71,0.544,56.845,58.575,true,0.43,0.007,0.185
"false","[POSTCONVERTWEBP, SCALEMODE]",3.81,0.0,3.787,0.012,3.768,3.806,false,1.523,0.402,2.32
"false","[PLATFORM, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, CREATEMIPMAPINSTEADOFDRAWABLEDIR, ENABLEANTIALIASING, SCALE]",76.78,0.0,19.506,0.148,19.271,19.741,false,58.774,3.013,3454.383
"false","[PLATFORM, POSTCONVERTWEBP, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE, SCALE]",77.57,0.0,9.496,0.021,9.463,9.529,false,69.574,7.327,4840.541
"false","[ENABLEANTIALIASING, GUIADVANCEDOPTIONS]",74.8,0.0,75.447,0.29,74.985,75.909,false,0.853,0.011,0.728
"true","[CREATEMIPMAPINSTEADOFDRAWABLEDIR]",57.29,0.0,57.985,0.756,56.783,59.188,true,0.805,0.014,0.648
"false","[INCLUDEANDROIDLDPITVDPI, ENABLEMOZJPEG]",63.29,0.0,62.967,0.417,62.303,63.63,false,1.823,0.029,3.323
"false","[POSTCONVERTWEBP, SCALEISHEIGHTDP, UPSCALINGALGORITHM, ENABLEMOZJPEG, GUIADVANCEDOPTIONS]",46.74,0.0,47.888,0.223,47.533,48.243,true,0.352,0.007,0.124
"false","[PLATFORM, OUTPUTCOMPRESSIONGMODE, CLEARDIRBEFORECONVERT]",236.52,0.0,364.356,2.382,360.566,368.145,false,126.336,0.347,15960.785
"false","[UPSCALINGALGORITHM, VERBOSELOG]",47.97,0.0,47.769,0.303,47.287,48.251,false,1.701,0.036,2.893
"false","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, COMPRESSQUALITY, VERBOSELOG, ROUNDINGHANDLER, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",53.38,0.0,54.807,0.408,54.157,55.457,true,0.073,0.001,0.005
"false","[COMPRESSQUALITY, SCALE]",5.21,0.0,8.578,0.055,8.49,8.665,false,1.868,0.218,3.489
"false","[SCALEISHEIGHTDP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",142.46,0.0,3.81,0.01,3.794,3.825,false,140.15,36.785,19642.023
"false","[ENABLEPNGCRUSH, ENABLEANTIALIASING]",75.43,0.0,75.881,0.514,75.063,76.699,false,1.049,0.014,1.1
"false","[PLATFORM, POSTCONVERTWEBP, UPSCALINGALGORITHM, SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY]",170.56,0.0,25.405,0.261,24.989,25.821,false,146.655,5.773,21507.689
"false","[ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, ENABLEANTIALIASING, SCALEMODE, GUIADVANCEDOPTIONS]",19.68,0.0,4.568,0.007,4.557,4.579,false,16.612,3.637,275.959
"false","[PLATFORM, POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, ENABLEMOZJPEG, COMPRESSQUALITY]",98.56,0.0,85.175,0.687,84.082,86.268,false,14.885,0.175,221.563
