measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"true","[]",57.67,0.0,58.128,0.536,57.275,58.982,false,1.042,0.018,1.086
"true","[ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE]",183.68,0.0,183.538,0.923,182.07,185.006,false,1.642,0.009,2.696
"false","[ENABLEMOZJPEG, SCALE, IOSCREATEIMAGESETFOLDERS]",8.8,0.0,8.869,0.056,8.781,8.958,false,1.431,0.161,2.048
"false","[PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, SCALEMODE, ROUNDINGHANDLER, SCALE, CLEARDIRBEFORECONVERT]",0.0,0.0,7.274,0.035,7.219,7.329,false,5.774,0.794,33.339
"false","[ENABLEPNGCRUSH, SKIPUPSCALING, CREATEMIPMAPINSTEADOFDRAWABLEDIR, VERBOSELOG]",4.93,0.0,4.828,0.023,4.792,4.864,false,1.602,0.332,2.566
"true","[SKIPUPSCALING, ROUNDINGHANDLER]",4.81,0.0,4.827,0.016,4.801,4.853,false,1.483,0.307,2.199
"false","[POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, HALTONERROR, CLEARDIRBEFORECONVERT]",198.79,0.0,196.162,0.746,194.975,197.349,false,4.128,0.021,17.04
"false","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, SKIPUPSCALING, DOWNSCALINGALGORITHM, COMPRESSQUALITY, HALTONERROR]",7.75,0.0,4.691,0.022,4.656,4.726,false,4.559,0.972,20.784
"true","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, CREATEMIPMAPINSTEADOFDRAWABLEDIR]",56.71,0.0,57.458,0.584,56.528,58.387,true,0.752,0.013,0.566
"false","[PLATFORM, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, SCALEMODE]",0.0,0.0,5.322,0.016,5.296,5.349,false,3.822,0.718,14.608
