measured,configuration,family,family_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[OVERLOADED, WEIGHT, BASE]",23.3,0.0,23.701,0.037,23.608,23.794,false,0.401,0.017,0.161
"false","[WEIGHT, EMPTY, BASE]",31.537,0.0,31.608,0.651,29.99,33.226,true,0.071,0.002,0.005
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",39.35,0.0,39.671,1.63,35.623,43.72,true,0.321,0.008,0.103
"true","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",50.087,0.0,52.423,0.361,51.526,53.32,false,2.336,0.045,5.457
"false","[WEIGHT, BASE]",20.8,0.0,21.178,0.034,21.094,21.262,false,0.378,0.018,0.143
"false","[WEIGHT, TWOTHIRDSFULL, BASE]",20.81,0.0,20.834,0.298,20.094,21.574,true,0.024,0.001,0.001
"false","[BASE]",0.08,0.0,0.012,0,0.011,0.013,false,0.068,5.667,0.005
"false","[WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",31.547,0.0,32.208,0.056,32.07,32.346,false,0.661,0.021,0.437
"false","[EMPTY, BASE]",10.818,0.0,11.137,0.048,11.017,11.258,false,0.319,0.029,0.102
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",50.078,0.0,50.432,1.951,45.585,55.278,true,0.354,0.007,0.125
"false","[OVERLOADED, WEIGHT, TWOTHIRDSFULL, BASE]",23.31,0.0,23.539,0.304,22.783,24.294,true,0.229,0.01,0.052
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, BASE]",39.34,0.0,41.027,0.297,40.29,41.764,false,1.687,0.041,2.846
"false","[EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",36.85,0.0,38.704,0.37,37.784,39.623,false,1.854,0.048,3.437
"false","[EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",47.578,0.0,49.878,0.258,49.237,50.518,false,2.3,0.046,5.29
"false","[EXECUTIVEFLOOR, BASE]",16.12,0.0,17.418,0.307,16.655,18.181,false,1.298,0.075,1.685
"false","[OVERLOADED, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",34.047,0.0,34.797,0.056,34.657,34.937,false,0.75,0.022,0.562
"false","[EXECUTIVEFLOOR, EMPTY, BASE]",26.857,0.0,27.947,1.545,24.11,31.785,true,1.09,0.039,1.188
"false","[OVERLOADED, WEIGHT, EMPTY, BASE]",34.037,0.0,34.472,0.72,32.684,36.259,true,0.435,0.013,0.189
"false","[EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",47.587,0.0,49.872,0.313,49.094,50.65,false,2.285,0.046,5.221
"false","[EXECUTIVEFLOOR, WEIGHT, BASE]",36.84,0.0,38.701,0.442,37.602,39.8,false,1.861,0.048,3.463

Total: 20
MSE: 1.39
RMSE: 1.179
MAPE: 2.716
Measured within ci: 0
Measured outside ci: 1
Predicted within ci: 7
Predicted outside ci: 12
Valid configs: 18.0
