measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[WEIGHT, EMPTY, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.003,false,16.687,5562.333,278.456
"false","[OVERLOADED, EMPTY, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.003,false,16.687,5562.333,278.456
"false","[WEIGHT, EMPTY, BASE]",16.69,0.0,31.804,0.66,30.753,32.854,false,15.114,0.475,228.433
"false","[OVERLOADED, EXECUTIVEFLOOR, EMPTY, BASE]",16.69,0.0,0.003,0,0.003,0.003,false,16.687,5562.333,278.456
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",16.69,0.0,40.1,1.584,37.581,42.62,false,23.41,0.584,548.028
"false","[OVERLOADED, EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, TWOTHIRDSFULL, BASE]",16.69,0.0,0.004,0,0.003,0.004,false,16.686,4171.5,278.423
"true","[EXECUTIVEFLOOR]",16.69,0.0,0.003,0,0.003,0.003,false,16.687,5562.333,278.456
"false","[EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[WEIGHT, TWOTHIRDSFULL, BASE]",16.69,0.0,20.925,0.304,20.442,21.409,false,4.235,0.202,17.935
"false","[EXECUTIVEFLOOR, WEIGHT]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",16.69,0.0,50.974,1.928,47.907,54.042,false,34.284,0.673,1175.393
"false","[OVERLOADED, EXECUTIVEFLOOR]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, EMPTY, BASE]",16.69,0.0,0.003,0,0.003,0.003,false,16.687,5562.333,278.456
"false","[EXECUTIVEFLOOR, EMPTY, BASE]",16.69,0.0,28.214,1.37,26.035,30.394,false,11.524,0.408,132.803
"true","[WEIGHT]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT]",16.69,0.0,0.004,0,0.003,0.004,false,16.686,4171.5,278.423
"false","[OVERLOADED, EMPTY]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, WEIGHT, EMPTY, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.003,false,16.687,5562.333,278.456
"false","[EMPTY, TWOTHIRDSFULL, BASE]",16.69,0.0,0.004,0,0.003,0.004,false,16.686,4171.5,278.423
"false","[OVERLOADED, EMPTY, TWOTHIRDSFULL, BASE]",16.69,0.0,0.003,0,0.003,0.003,false,16.687,5562.333,278.456
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, BASE]",16.69,0.0,41.1,0.283,40.65,41.551,false,24.41,0.594,595.848
"false","[EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",16.69,0.0,38.771,0.331,38.244,39.298,false,22.081,0.57,487.571
"false","[EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",16.69,0.0,49.894,0.213,49.555,50.234,false,33.204,0.665,1102.506
"false","[OVERLOADED, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[EXECUTIVEFLOOR, BASE]",16.69,0.0,17.474,0.274,17.037,17.91,false,0.784,0.045,0.615
"false","[EMPTY, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.003,false,16.687,5562.333,278.456
"false","[WEIGHT, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.003,false,16.687,5562.333,278.456
"false","[OVERLOADED, EXECUTIVEFLOOR, BASE]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",16.69,0.0,52.462,0.305,51.977,52.946,false,35.772,0.682,1279.636
"false","[WEIGHT, BASE]",16.69,0.0,21.189,0.035,21.133,21.245,false,4.499,0.212,20.241
"false","[EXECUTIVEFLOOR, WEIGHT, EMPTY]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, EXECUTIVEFLOOR, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[EXECUTIVEFLOOR, EMPTY]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"true","[BASE]",16.69,0.0,0.012,0,0.011,0.013,false,16.678,1389.833,278.156
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.003,false,16.687,5562.333,278.456
"false","[EXECUTIVEFLOOR, TWOTHIRDSFULL, BASE]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL, BASE]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",16.69,0.0,34.809,0.051,34.727,34.89,false,18.119,0.521,328.298
"false","[EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",16.69,0.0,49.905,0.264,49.485,50.326,false,33.215,0.666,1103.236
"true","[EMPTY]",16.69,0.0,0.004,0.001,0.003,0.004,false,16.686,4171.5,278.423
"true","[TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[EXECUTIVEFLOOR, WEIGHT, BASE]",16.69,0.0,38.752,0.375,38.155,39.349,false,22.062,0.569,486.732
"false","[OVERLOADED, WEIGHT, BASE]",16.69,0.0,23.717,0.045,23.646,23.789,false,7.027,0.296,49.379
"false","[TWOTHIRDSFULL, BASE]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL]",16.69,0.0,0.004,0,0.003,0.004,false,16.686,4171.5,278.423
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY]",16.69,0.0,0.003,0.001,0.002,0.004,false,16.687,5562.333,278.456
"false","[EXECUTIVEFLOOR, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.003,false,16.687,5562.333,278.456
"false","[OVERLOADED, WEIGHT, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"true","[OVERLOADED]",16.69,0.0,0.004,0,0.003,0.004,false,16.686,4171.5,278.423
"false","[OVERLOADED, WEIGHT, EMPTY]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",16.69,0.0,32.244,0.085,32.109,32.379,false,15.554,0.482,241.927
"false","[EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL, BASE]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[EMPTY, BASE]",16.69,0.0,11.145,0.042,11.078,11.212,false,5.545,0.498,30.747
"false","[WEIGHT, EMPTY]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, EXECUTIVEFLOOR, TWOTHIRDSFULL, BASE]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, WEIGHT]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, BASE]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL]",16.69,0.0,0.003,0,0.003,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, WEIGHT, TWOTHIRDSFULL, BASE]",16.69,0.0,23.559,0.252,23.159,23.96,false,6.869,0.292,47.183
"false","[OVERLOADED, EXECUTIVEFLOOR, EMPTY]",16.69,0.0,0.003,0.001,0.002,0.004,false,16.687,5562.333,278.456
"false","[OVERLOADED, WEIGHT, EMPTY, BASE]",16.69,0.0,34.56,0.614,33.584,35.537,false,17.87,0.517,319.337

Total: 64
MSE: 431.36
RMSE: 20.769
MAPE: 47.109
Measured within ci: 0
Measured outside ci: 6
Predicted within ci: 0
Predicted outside ci: 58
