measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"true","[OVERLOADED, WEIGHT, BASE]",23.78,0.0,23.701,0.037,23.608,23.794,true,0.079,0.003,0.006
"true","[WEIGHT, EMPTY, BASE]",32.4,0.0,31.608,0.651,29.99,33.226,true,0.792,0.025,0.627
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",41.44,0.0,39.671,1.63,35.623,43.72,true,1.769,0.045,3.129
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",52.8,0.0,52.423,0.361,51.526,53.32,true,0.377,0.007,0.142
"true","[WEIGHT, BASE]",21.23,0.0,21.178,0.034,21.094,21.262,true,0.052,0.002,0.003
"true","[WEIGHT, TWOTHIRDSFULL, BASE]",21.23,0.0,20.834,0.298,20.094,21.574,true,0.396,0.019,0.157
"true","[BASE]",0.0,0.0,0.012,0,0.011,0.013,false,0.012,1,0
"false","[WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",32.4,0.0,32.208,0.056,32.07,32.346,false,0.192,0.006,0.037
"true","[EMPTY, BASE]",11.17,0.0,11.137,0.048,11.017,11.258,true,0.033,0.003,0.001
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",52.8,0.0,50.432,1.951,45.585,55.278,true,2.368,0.047,5.607
"false","[OVERLOADED, WEIGHT, TWOTHIRDSFULL, BASE]",23.78,0.0,23.539,0.304,22.783,24.294,true,0.241,0.01,0.058
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, BASE]",41.44,0.0,41.027,0.297,40.29,41.764,true,0.413,0.01,0.171
"false","[EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",38.89,0.0,38.704,0.37,37.784,39.623,true,0.186,0.005,0.035
"false","[EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",50.25,0.0,49.878,0.258,49.237,50.518,true,0.372,0.007,0.138
"true","[EXECUTIVEFLOOR, BASE]",17.66,0.0,17.418,0.307,16.655,18.181,true,0.242,0.014,0.059
"false","[OVERLOADED, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",34.95,0.0,34.797,0.056,34.657,34.937,false,0.153,0.004,0.023
"true","[EXECUTIVEFLOOR, EMPTY, BASE]",29.02,0.0,27.947,1.545,24.11,31.785,true,1.073,0.038,1.151
"false","[OVERLOADED, WEIGHT, EMPTY, BASE]",34.95,0.0,34.472,0.72,32.684,36.259,true,0.478,0.014,0.228
"false","[EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",50.25,0.0,49.872,0.313,49.094,50.65,true,0.378,0.008,0.143
"true","[EXECUTIVEFLOOR, WEIGHT, BASE]",38.89,0.0,38.701,0.442,37.602,39.8,true,0.189,0.005,0.036

Total: 20
MSE: 0.883
RMSE: 0.94
MAPE: 1.483
Measured within ci: 8
Measured outside ci: 1
Predicted within ci: 9
Predicted outside ci: 2
Valid configs: 11.0
