measured,configuration,splat,splat_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"true","[]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"false","[WEIGHT, EMPTY, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.003,true,0,0,0
"false","[OVERLOADED, EMPTY, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.003,true,0,0,0
"true","[WEIGHT, EMPTY, BASE]",32.207,0,31.804,0.66,30.753,32.854,true,0.403,0.013,0.162
"false","[OVERLOADED, EXECUTIVEFLOOR, EMPTY, BASE]",0.003,0,0.003,0,0.003,0.003,true,0,0,0
"true","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",41.403,0,40.1,1.584,37.581,42.62,true,1.303,0.032,1.698
"false","[OVERLOADED, EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"false","[OVERLOADED, TWOTHIRDSFULL, BASE]",0.003,0,0.004,0,0.003,0.004,true,0.001,0.25,0
"false","[EXECUTIVEFLOOR]",0.003,0,0.003,0,0.003,0.003,true,0,0,0
"false","[EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"true","[WEIGHT, TWOTHIRDSFULL, BASE]",21.16,0,20.925,0.304,20.442,21.409,true,0.235,0.011,0.055
"false","[EXECUTIVEFLOOR, WEIGHT]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"true","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",52.575,0,50.974,1.928,47.907,54.042,true,1.601,0.031,2.563
"false","[OVERLOADED, EXECUTIVEFLOOR]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"false","[OVERLOADED, EMPTY, BASE]",0.003,0,0.003,0,0.003,0.003,true,0,0,0
"false","[WEIGHT]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"true","[EXECUTIVEFLOOR, EMPTY, BASE]",28.971,0,28.214,1.37,26.035,30.394,true,0.757,0.027,0.573
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT]",0.003,0,0.004,0,0.003,0.004,true,0.001,0.25,0
"false","[OVERLOADED, EMPTY]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"false","[OVERLOADED, WEIGHT, EMPTY, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.003,true,0,0,0
"false","[EMPTY, TWOTHIRDSFULL, BASE]",0.003,0,0.004,0,0.003,0.004,true,0.001,0.25,0
"false","[OVERLOADED, EMPTY, TWOTHIRDSFULL, BASE]",0.003,0,0.003,0,0.003,0.003,true,0,0,0
"true","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, BASE]",41.287,0,41.1,0.283,40.65,41.551,true,0.187,0.005,0.035
"true","[EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",49.954,0,49.894,0.213,49.555,50.234,true,0.06,0.001,0.004
"true","[EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",39.022,0,38.771,0.331,38.244,39.298,true,0.251,0.006,0.063
"false","[OVERLOADED, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"true","[EXECUTIVEFLOOR, BASE]",17.754,0,17.474,0.274,17.037,17.91,true,0.28,0.016,0.078
"false","[EMPTY, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.003,true,0,0,0
"false","[WEIGHT, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.003,true,0,0,0
"false","[OVERLOADED, EXECUTIVEFLOOR, BASE]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"true","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",52.545,0,52.462,0.305,51.977,52.946,true,0.083,0.002,0.007
"false","[EXECUTIVEFLOOR, WEIGHT, EMPTY]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"true","[WEIGHT, BASE]",21.189,0,21.189,0.035,21.133,21.245,true,0,0,0
"false","[OVERLOADED, EXECUTIVEFLOOR, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"false","[EXECUTIVEFLOOR, EMPTY]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"false","[EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"true","[BASE]",0.012,0,0.012,0,0.011,0.013,true,0,0,0
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.003,true,0,0,0
"false","[EXECUTIVEFLOOR, TWOTHIRDSFULL, BASE]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"false","[OVERLOADED, EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL, BASE]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"true","[OVERLOADED, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",34.914,0,34.809,0.051,34.727,34.89,false,0.105,0.003,0.011
"false","[EMPTY]",0.003,0,0.004,0.001,0.003,0.004,true,0.001,0.25,0
"true","[EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",50.049,0,49.905,0.264,49.485,50.326,true,0.144,0.003,0.021
"false","[TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"true","[EXECUTIVEFLOOR, WEIGHT, BASE]",38.94,0,38.752,0.375,38.155,39.349,true,0.188,0.005,0.035
"true","[TWOTHIRDSFULL, BASE]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"true","[OVERLOADED, WEIGHT, BASE]",23.719,0,23.717,0.045,23.646,23.789,true,0.002,0,0
"false","[EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL]",0.003,0,0.004,0,0.003,0.004,true,0.001,0.25,0
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY]",0.003,0,0.003,0.001,0.002,0.004,true,0,0,0
"false","[EXECUTIVEFLOOR, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.003,true,0,0,0
