measured,configuration,performance,std,minci,maxci
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, BASE]",0.003,0,0.003,0.004
true,"[EMPTY, BASE]",20.981,0.218,20.634,21.328
true,"[EMPTY, TWOTHIRDSFULL]",0.004,0.001,0.003,0.005
true,"[OVERLOADED, WEIGHT, EMPTY]",0.003,0,0.003,0.003
true,"[EXECUTIVEFLOOR, EMPTY, BASE]",21.004,0.222,20.652,21.357
true,"[OVERLOADED, EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL]",0.003,0,0.003,0.003
true,"[OVERLOADED, BASE]",16.941,0.836,15.61,18.271
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL]",0.003,0,0.003,0.004
true,"[EXECUTIVEFLOOR, WEIGHT]",0.003,0,0.003,0.004
true,"[EXECUTIVEFLOOR, TWOTHIRDSFULL, BASE]",0.003,0,0.003,0.004
true,"[OVERLOADED, WEIGHT, TWOTHIRDSFULL, BASE]",0.003,0,0.003,0.004
true,"[OVERLOADED, EMPTY, TWOTHIRDSFULL, BASE]",49.707,0.053,49.622,49.792
true,"[EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL, BASE]",31.978,0.482,31.21,32.745
true,"[EXECUTIVEFLOOR, WEIGHT, BASE]",0.003,0,0.003,0.004
true,"[OVERLOADED, WEIGHT]",0.003,0,0.003,0.003
true,"[TWOTHIRDSFULL]",0.003,0,0.003,0.004
true,"[EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",0.004,0.001,0.003,0.005
true,"[OVERLOADED, EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL, BASE]",49.632,0.059,49.538,49.726
true,"[EXECUTIVEFLOOR, EMPTY]",0.003,0,0.003,0.004
true,"[OVERLOADED, EXECUTIVEFLOOR, TWOTHIRDSFULL, BASE]",0.003,0,0.003,0.003
true,"[BASE]",0.013,0.002,0.01,0.015
true,"[OVERLOADED, EMPTY, BASE]",37.961,1.081,36.241,39.681
true,"[WEIGHT, EMPTY, BASE]",23.489,0.27,23.06,23.919
true,"[EMPTY, TWOTHIRDSFULL, BASE]",32.176,0.06,32.08,32.272
true,"[WEIGHT, EMPTY, TWOTHIRDSFULL]",0.003,0,0.003,0.003
true,"[]",0.003,0,0.003,0.003
true,"[OVERLOADED, EXECUTIVEFLOOR, EMPTY, BASE]",37.987,1.114,36.215,39.759
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",40.496,1.143,38.677,42.314
true,"[EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL]",0.004,0,0.003,0.004
true,"[WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",34.47,0.535,33.619,35.321
true,"[WEIGHT, EMPTY]",0.004,0.001,0.003,0.005
true,"[OVERLOADED, EXECUTIVEFLOOR, EMPTY]",0.003,0,0.003,0.004
true,"[WEIGHT]",0.003,0,0.003,0.004
true,"[OVERLOADED, EMPTY, TWOTHIRDSFULL]",0.003,0,0.003,0.003
true,"[EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL]",0.003,0,0.003,0.004
true,"[OVERLOADED, WEIGHT, EMPTY, TWOTHIRDSFULL]",0.003,0,0.003,0.004
true,"[OVERLOADED, EXECUTIVEFLOOR, TWOTHIRDSFULL]",0.003,0,0.003,0.004
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY]",0.003,0,0.003,0.004
true,"[OVERLOADED, WEIGHT, EMPTY, BASE]",40.523,1.136,38.714,42.331
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",52.304,0.092,52.158,52.45
true,"[OVERLOADED, WEIGHT, BASE]",0.003,0,0.003,0.004
true,"[WEIGHT, TWOTHIRDSFULL]",0.003,0,0.003,0.003
true,"[EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",23.625,0.045,23.554,23.696
true,"[TWOTHIRDSFULL, BASE]",10.998,0.256,10.59,11.406
