measured,configuration,performance,std
false,"[]",0.08,0.0
false,"[WEIGHT, EMPTY, TWOTHIRDSFULL]",0.08,0.0
false,"[OVERLOADED, EMPTY, TWOTHIRDSFULL]",0.08,0.0
false,"[WEIGHT, EMPTY, BASE]",31.537,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, EMPTY, BASE]",0.08,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",39.35,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL]",0.08,0.0
false,"[OVERLOADED, TWOTHIRDSFULL, BASE]",0.08,0.0
false,"[EXECUTIVEFLOOR]",0.08,0.0
false,"[WEIGHT, TWOTHIRDSFULL, BASE]",20.81,0.0
false,"[EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL]",0.08,0.0
false,"[EXECUTIVEFLOOR, WEIGHT]",0.08,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",50.078,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR]",0.08,0.0
false,"[OVERLOADED, EMPTY, BASE]",0.08,0.0
false,"[WEIGHT]",0.08,0.0
false,"[EXECUTIVEFLOOR, EMPTY, BASE]",26.857,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT]",0.08,0.0
false,"[OVERLOADED, EMPTY]",0.08,0.0
false,"[OVERLOADED, WEIGHT, EMPTY, TWOTHIRDSFULL]",0.08,0.0
false,"[EMPTY, TWOTHIRDSFULL, BASE]",0.08,0.0
false,"[OVERLOADED, EMPTY, TWOTHIRDSFULL, BASE]",0.08,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, BASE]",39.34,0.0
false,"[EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",47.578,0.0
false,"[EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",36.85,0.0
false,"[OVERLOADED, TWOTHIRDSFULL]",0.08,0.0
false,"[EXECUTIVEFLOOR, BASE]",16.12,0.0
false,"[EMPTY, TWOTHIRDSFULL]",0.08,0.0
false,"[WEIGHT, TWOTHIRDSFULL]",0.08,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, BASE]",0.08,0.0
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",50.087,0.0
false,"[WEIGHT, BASE]",20.8,0.0
false,"[EXECUTIVEFLOOR, WEIGHT, EMPTY]",0.08,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, TWOTHIRDSFULL]",0.08,0.0
false,"[EXECUTIVEFLOOR, EMPTY]",0.08,0.0
false,"[EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL]",0.08,0.0
false,"[BASE]",0.08,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL]",0.08,0.0
false,"[EXECUTIVEFLOOR, TWOTHIRDSFULL, BASE]",0.08,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL, BASE]",0.08,0.0
false,"[OVERLOADED, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",34.047,0.0
false,"[EMPTY]",0.08,0.0
false,"[EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",47.587,0.0
false,"[TWOTHIRDSFULL]",0.08,0.0
false,"[EXECUTIVEFLOOR, WEIGHT, BASE]",36.84,0.0
false,"[TWOTHIRDSFULL, BASE]",0.08,0.0
false,"[OVERLOADED, WEIGHT, BASE]",23.3,0.0
false,"[EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL]",0.08,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY]",0.08,0.0
false,"[EXECUTIVEFLOOR, TWOTHIRDSFULL]",0.08,0.0
false,"[OVERLOADED, WEIGHT, TWOTHIRDSFULL]",0.08,0.0
false,"[OVERLOADED]",0.08,0.0
false,"[OVERLOADED, WEIGHT, EMPTY]",0.08,0.0
false,"[WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",31.547,0.0
false,"[WEIGHT, EMPTY]",0.08,0.0
false,"[EMPTY, BASE]",10.818,0.0
false,"[EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL, BASE]",0.08,0.0
false,"[OVERLOADED, WEIGHT]",0.08,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, TWOTHIRDSFULL, BASE]",0.08,0.0
false,"[OVERLOADED, BASE]",0.08,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL]",0.08,0.0
false,"[OVERLOADED, EXECUTIVEFLOOR, EMPTY]",0.08,0.0
false,"[OVERLOADED, WEIGHT, TWOTHIRDSFULL, BASE]",23.31,0.0
false,"[OVERLOADED, WEIGHT, EMPTY, BASE]",34.037,0.0
