measured,configuration,performance,std
true,"[]",0.003,0
false,"[WEIGHT, TWOTHIRDSFULL]",0.003,0
false,"[WEIGHT, EMPTY, TWOTHIRDSFULL]",0.003,0
false,"[OVERLOADED, EMPTY, TWOTHIRDSFULL]",0.003,0
false,"[OVERLOADED, EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL]",0.003,0
false,"[EXECUTIVEFLOOR, WEIGHT, EMPTY]",0.003,0
false,"[EXECUTIVEFLOOR]",0.003,0
false,"[OVERLOADED, EXECUTIVEFLOOR, TWOTHIRDSFULL]",0.003,0
false,"[EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL]",0.003,0
false,"[EXECUTIVEFLOOR, EMPTY]",0.003,0
false,"[EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL]",0.003,0
false,"[EXECUTIVEFLOOR, WEIGHT]",0.003,0
false,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL]",0.003,0
false,"[OVERLOADED, EXECUTIVEFLOOR]",0.003,0
false,"[WEIGHT]",0.003,0
false,"[EMPTY]",0.003,0
false,"[TWOTHIRDSFULL]",0.003,0
false,"[EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL]",0.003,0
false,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY]",0.003,0
false,"[EXECUTIVEFLOOR, TWOTHIRDSFULL]",0.003,0
false,"[OVERLOADED, WEIGHT, TWOTHIRDSFULL]",0.003,0
false,"[OVERLOADED]",0.003,0
false,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT]",0.003,0
false,"[OVERLOADED, EMPTY]",0.003,0
false,"[OVERLOADED, WEIGHT, EMPTY]",0.003,0
false,"[OVERLOADED, WEIGHT, EMPTY, TWOTHIRDSFULL]",0.003,0
false,"[WEIGHT, EMPTY]",0.003,0
false,"[OVERLOADED, WEIGHT]",0.003,0
false,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL]",0.003,0
false,"[OVERLOADED, EXECUTIVEFLOOR, EMPTY]",0.003,0
false,"[OVERLOADED, TWOTHIRDSFULL]",0.003,0
false,"[EMPTY, TWOTHIRDSFULL]",0.003,0
true,"[TWOTHIRDSFULL, BASE]",0.003,0
false,"[EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL, BASE]",0.003,0
false,"[EXECUTIVEFLOOR, TWOTHIRDSFULL, BASE]",0.003,0
false,"[EMPTY, TWOTHIRDSFULL, BASE]",0.003,0
true,"[OVERLOADED, WEIGHT, BASE]",23.719,0
true,"[WEIGHT, EMPTY, BASE]",32.207,0
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",41.403,0
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",52.545,0
true,"[WEIGHT, BASE]",21.189,0
true,"[WEIGHT, TWOTHIRDSFULL, BASE]",21.16,0
true,"[BASE]",0.012,0
true,"[WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",32.359,0
true,"[EMPTY, BASE]",11.141,0
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",52.575,0
true,"[OVERLOADED, BASE]",0.003,0
false,"[OVERLOADED, EXECUTIVEFLOOR, TWOTHIRDSFULL, BASE]",0.003,0
false,"[OVERLOADED, EXECUTIVEFLOOR, BASE]",0.003,0
false,"[OVERLOADED, EXECUTIVEFLOOR, EMPTY, BASE]",0.003,0
false,"[OVERLOADED, EMPTY, TWOTHIRDSFULL, BASE]",0.003,0
false,"[OVERLOADED, EMPTY, BASE]",0.003,0
false,"[OVERLOADED, TWOTHIRDSFULL, BASE]",0.003,0
false,"[OVERLOADED, EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL, BASE]",0.003,0
true,"[OVERLOADED, WEIGHT, TWOTHIRDSFULL, BASE]",23.791,0
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, BASE]",41.287,0
true,"[EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",49.954,0
true,"[EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",39.022,0
true,"[EXECUTIVEFLOOR, BASE]",17.754,0
true,"[OVERLOADED, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",34.914,0
true,"[EXECUTIVEFLOOR, EMPTY, BASE]",28.971,0
true,"[OVERLOADED, WEIGHT, EMPTY, BASE]",35.006,0
true,"[EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",50.049,0
true,"[EXECUTIVEFLOOR, WEIGHT, BASE]",38.94,0
