measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[KEYS, BASE, ADDRESSBOOK]",6.347,0.0,6.34,0.016,6.314,6.365,true,0.007,0.001,0
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",37.074,0.0,50.429,0.087,50.291,50.566,false,13.355,0.265,178.356
"false","[KEYS, BASE]",4.24,0.0,4.209,0.056,4.12,4.298,true,0.031,0.007,0.001
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE]",42.254,0.0,48.317,0.061,48.219,48.414,false,6.063,0.125,36.76
"false","[DECRYPT, KEYS, ENCRYPT, BASE]",12.686,0.0,15.985,0.032,15.934,16.036,false,3.299,0.206,10.883
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",49.656,0.0,56.396,0.862,55.025,57.767,false,6.74,0.12,45.428
"true","[FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",26.242,0.0,26.075,0.419,25.407,26.742,true,0.167,0.006,0.028
"true","[FORWARD, AUTORESPONDER, BASE]",20.957,0.0,20.925,0.035,20.869,20.981,true,0.032,0.002,0.001
"true","[BASE]",0.016,0.0,0.008,0.002,0.005,0.01,false,0.008,1,0
"false","[KEYS, FORWARD, VERIFY, SIGN, BASE, ADDRESSBOOK]",19.987,0.0,27.279,0.06,27.184,27.374,false,7.292,0.267,53.173
"false","[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",20.348,0.0,31.683,0.529,30.841,32.525,false,11.335,0.358,128.482
"false","[KEYS, FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",30.466,0.0,30.469,0.062,30.37,30.568,true,0.003,0,0
"false","[KEYS, FORWARD, AUTORESPONDER, BASE]",25.181,0.0,24.933,0.326,24.414,25.452,true,0.248,0.01,0.062
"false","[KEYS, FORWARD, BASE, ADDRESSBOOK]",20.094,0.0,19.923,0.204,19.599,20.247,true,0.171,0.009,0.029
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE]",30.766,0.0,41.85,0.096,41.698,42.002,false,11.084,0.265,122.855
"false","[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE]",9.78,0.0,16.982,0.028,16.937,17.027,false,7.202,0.424,51.869
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",42.223,0.0,56.1,0.044,56.029,56.17,false,13.877,0.247,192.571
"false","[KEYS, FORWARD, BASE]",15.814,0.0,15.834,0.041,15.768,15.899,true,0.02,0.001,0
"false","[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",13.031,0.0,21.337,0.038,21.276,21.398,false,8.306,0.389,68.99
"false","[KEYS, AUTORESPONDER, BASE]",9.703,0.0,9.768,0.026,9.727,9.809,false,0.065,0.007,0.004
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",49.572,0.0,65.384,0.63,64.382,66.386,false,15.812,0.242,250.019
"true","[FORWARD, BASE, ADDRESSBOOK]",15.87,0.0,15.817,0.063,15.717,15.917,true,0.053,0.003,0.003
"false","[KEYS, VERIFY, SIGN, BASE, ADDRESSBOOK]",6.352,0.0,13.022,0.012,13.002,13.041,false,6.67,0.512,44.489
"false","[KEYS, VERIFY, SIGN, BASE]",4.245,0.0,9.769,0.042,9.703,9.835,false,5.524,0.565,30.515
"false","[KEYS, AUTORESPONDER, BASE, ADDRESSBOOK]",12.967,0.0,12.971,0.044,12.901,13.041,true,0.004,0,0
"false","[KEYS, FORWARD, VERIFY, SIGN, BASE]",15.898,0.0,21.792,0.3,21.314,22.27,false,5.894,0.27,34.739
"false","[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",25.679,0.0,39.506,0.048,39.43,39.582,false,13.827,0.35,191.186
"true","[BASE, ADDRESSBOOK]",2.123,0.0,2.109,0.008,2.097,2.121,false,0.014,0.007,0
