measured,configuration,family,family_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",49.358,0.0,50.712,0.043,50.643,50.781,false,1.354,0.027,1.833
"false","[KEYS, BASE, ADDRESSBOOK]",6.317,0.0,6.384,0.039,6.321,6.447,false,0.067,0.01,0.004
"false","[KEYS, BASE]",4.228,0.0,4.239,0.065,4.135,4.342,true,0.011,0.003,0
"false","[DECRYPT, KEYS, ENCRYPT, BASE]",15.74,0.0,16.105,0.038,16.045,16.165,false,0.365,0.023,0.133
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE]",47.265,0.0,48.652,0.038,48.592,48.712,false,1.387,0.029,1.924
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",55.65,0.0,56.698,1.02,55.074,58.321,true,1.048,0.018,1.098
"false","[FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",25.76,0.0,26.228,0.492,25.445,27.011,true,0.468,0.018,0.219
"false","[BASE]",0.08,0.0,0.008,0,0.008,0.009,false,0.072,9,0.005
"false","[FORWARD, AUTORESPONDER, BASE]",20.523,0.0,21.067,0.08,20.939,21.195,false,0.544,0.026,0.296
"false","[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",31.215,0.0,31.92,0.684,30.832,33.008,true,0.705,0.022,0.497
"false","[KEYS, FORWARD, VERIFY, SIGN, BASE, ADDRESSBOOK]",26.755,0.0,27.466,0.068,27.359,27.574,false,0.711,0.026,0.506
"false","[KEYS, FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",29.908,0.0,30.715,0.066,30.61,30.819,false,0.807,0.026,0.651
"false","[KEYS, FORWARD, BASE, ADDRESSBOOK]",19.785,0.0,20.032,0.277,19.591,20.473,true,0.247,0.012,0.061
"false","[KEYS, FORWARD, AUTORESPONDER, BASE]",24.67,0.0,25.101,0.436,24.408,25.795,true,0.431,0.017,0.186
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE]",40.978,0.0,42.163,0.118,41.976,42.351,false,1.185,0.028,1.404
"false","[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE]",16.562,0.0,17.18,0.046,17.106,17.254,false,0.618,0.036,0.382
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",54.768,0.0,56.443,0.12,56.251,56.635,false,1.675,0.03,2.806
"false","[KEYS, FORWARD, BASE]",15.625,0.0,15.929,0.046,15.856,16.002,false,0.304,0.019,0.092
"false","[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",20.802,0.0,21.478,0.027,21.434,21.521,false,0.676,0.031,0.457
"false","[KEYS, AUTORESPONDER, BASE]",9.593,0.0,9.862,0.019,9.831,9.893,false,0.269,0.027,0.072
"true","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",64.225,0.0,65.7,1.059,64.015,67.384,true,1.475,0.022,2.176
"false","[FORWARD, BASE, ADDRESSBOOK]",15.638,0.0,15.937,0.041,15.871,16.003,false,0.299,0.019,0.089
"false","[KEYS, VERIFY, SIGN, BASE, ADDRESSBOOK]",12.755,0.0,13.131,0.058,13.039,13.223,false,0.376,0.029,0.141
"false","[KEYS, VERIFY, SIGN, BASE]",9.592,0.0,9.858,0.032,9.806,9.909,false,0.266,0.027,0.071
"false","[KEYS, AUTORESPONDER, BASE, ADDRESSBOOK]",12.76,0.0,13.128,0.027,13.085,13.171,false,0.368,0.028,0.135
"false","[KEYS, FORWARD, VERIFY, SIGN, BASE]",21.523,0.0,21.895,0.386,21.28,22.51,true,0.372,0.017,0.138
"false","[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",38.603,0.0,39.844,0.1,39.684,40.003,false,1.241,0.031,1.54
"false","[BASE, ADDRESSBOOK]",2.17,0.0,2.138,0.01,2.122,2.153,false,0.032,0.015,0.001
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE]",35.08,0.0,35.922,0.053,35.838,36.006,false,0.842,0.023,0.709
"false","[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",27.415,0.0,27.914,0.535,27.063,28.765,true,0.499,0.018,0.249
"false","[AUTORESPONDER, BASE]",5.445,0.0,5.609,0.023,5.573,5.646,false,0.164,0.029,0.027
"false","[DECRYPT, KEYS, ENCRYPT, BASE, ADDRESSBOOK]",20.978,0.0,21.452,0.046,21.38,21.525,false,0.474,0.022,0.225
"false","[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE]",21.105,0.0,21.721,0.048,21.644,21.797,false,0.616,0.028,0.379
"false","[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",38.483,0.0,39.654,0.098,39.499,39.81,false,1.171,0.03,1.371
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE, ADDRESSBOOK]",42.388,0.0,43.493,0.101,43.332,43.653,false,1.105,0.025,1.221
"false","[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE]",32.172,0.0,33.233,0.104,33.067,33.398,false,1.061,0.032,1.126
"false","[FORWARD, BASE]",11.478,0.0,11.675,0.03,11.628,11.722,false,0.197,0.017,0.039
"false","[AUTORESPONDER, BASE, ADDRESSBOOK]",8.613,0.0,8.792,0.207,8.463,9.12,true,0.179,0.02,0.032
"false","[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE]",24.245,0.0,24.996,0.083,24.863,25.128,false,0.751,0.03,0.564
"false","[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",30.56,0.0,31.147,0.569,30.242,32.052,true,0.587,0.019,0.345

Total: 40
MSE: 0.553
RMSE: 0.744
MAPE: 2.337
Measured within ci: 1
Measured outside ci: 0
Predicted within ci: 10
Predicted outside ci: 29
Valid configs: 38.0
