measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",20.04,0.0,50.712,0.043,50.643,50.781,false,30.672,0.605,940.772
"true","[KEYS, BASE, ADDRESSBOOK]",6.36,0.0,6.384,0.039,6.321,6.447,true,0.024,0.004,0.001
"true","[KEYS, BASE]",4.23,0.0,4.239,0.065,4.135,4.342,true,0.009,0.002,0
"false","[DECRYPT, KEYS, ENCRYPT, BASE]",4.23,0.0,16.105,0.038,16.045,16.165,false,11.875,0.737,141.016
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE]",25.2,0.0,48.652,0.038,48.592,48.712,false,23.452,0.482,549.996
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",30.45,0.0,56.698,1.02,55.074,58.321,false,26.248,0.463,688.958
"false","[FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",26.31,0.0,26.228,0.492,25.445,27.011,true,0.082,0.003,0.007
"true","[BASE]",0.01,0.0,0.008,0,0.008,0.009,false,0.002,0.25,0
"true","[FORWARD, AUTORESPONDER, BASE]",21.06,0.0,21.067,0.08,20.939,21.195,true,0.007,0,0
"false","[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",9.83,0.0,31.92,0.684,30.832,33.008,false,22.09,0.692,487.968
"false","[KEYS, FORWARD, VERIFY, SIGN, BASE, ADDRESSBOOK]",20.04,0.0,27.466,0.068,27.359,27.574,false,7.426,0.27,55.145
"false","[KEYS, FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",30.45,0.0,30.715,0.066,30.61,30.819,false,0.265,0.009,0.07
"false","[KEYS, FORWARD, BASE, ADDRESSBOOK]",20.04,0.0,20.032,0.277,19.591,20.473,true,0.008,0,0
"false","[KEYS, FORWARD, AUTORESPONDER, BASE]",25.2,0.0,25.101,0.436,24.408,25.795,true,0.099,0.004,0.01
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE]",15.88,0.0,42.163,0.118,41.976,42.351,false,26.283,0.623,690.796
"false","[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE]",9.83,0.0,17.18,0.046,17.106,17.254,false,7.35,0.428,54.022
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",25.2,0.0,56.443,0.12,56.251,56.635,false,31.243,0.554,976.125
"true","[KEYS, FORWARD, BASE]",15.88,0.0,15.929,0.046,15.856,16.002,true,0.049,0.003,0.002
"false","[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",13.05,0.0,21.478,0.027,21.434,21.521,false,8.428,0.392,71.031
"true","[KEYS, AUTORESPONDER, BASE]",9.83,0.0,9.862,0.019,9.831,9.893,false,0.032,0.003,0.001
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",30.45,0.0,65.7,1.059,64.015,67.384,false,35.25,0.537,1242.562
