measured,configuration,pair_wise,pair_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[KEYS, BASE, ADDRESSBOOK]",6.33,0.0,6.34,0.016,6.314,6.365,true,0.01,0.002,0
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",20.03,0.0,50.429,0.087,50.291,50.566,false,30.399,0.603,924.099
"true","[KEYS, BASE]",4.22,0.0,4.209,0.056,4.12,4.298,true,0.011,0.003,0
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE]",25.2,0.0,48.317,0.061,48.219,48.414,false,23.117,0.478,534.396
"false","[DECRYPT, KEYS, ENCRYPT, BASE]",4.22,0.0,15.985,0.032,15.934,16.036,false,11.765,0.736,138.415
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",30.57,0.0,56.396,0.862,55.025,57.767,false,25.826,0.458,666.982
"false","[FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",26.35,0.0,26.075,0.419,25.407,26.742,true,0.275,0.011,0.076
"true","[FORWARD, AUTORESPONDER, BASE]",20.98,0.0,20.925,0.035,20.869,20.981,true,0.055,0.003,0.003
"true","[BASE]",0.0,0.0,0.008,0.002,0.005,0.01,false,0.008,1,0
"false","[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",9.75,0.0,31.683,0.529,30.841,32.525,false,21.933,0.692,481.056
"false","[KEYS, FORWARD, VERIFY, SIGN, BASE, ADDRESSBOOK]",20.03,0.0,27.279,0.06,27.184,27.374,false,7.249,0.266,52.548
"false","[KEYS, FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",30.57,0.0,30.469,0.062,30.37,30.568,false,0.101,0.003,0.01
"false","[KEYS, FORWARD, BASE, ADDRESSBOOK]",20.03,0.0,19.923,0.204,19.599,20.247,true,0.107,0.005,0.011
"false","[KEYS, FORWARD, AUTORESPONDER, BASE]",25.2,0.0,24.933,0.326,24.414,25.452,true,0.267,0.011,0.071
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE]",15.83,0.0,41.85,0.096,41.698,42.002,false,26.02,0.622,677.04
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",25.2,0.0,56.1,0.044,56.029,56.17,false,30.9,0.551,954.81
"false","[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE]",9.75,0.0,16.982,0.028,16.937,17.027,false,7.232,0.426,52.302
"true","[KEYS, FORWARD, BASE]",15.83,0.0,15.834,0.041,15.768,15.899,true,0.004,0,0
"false","[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",13.03,0.0,21.337,0.038,21.276,21.398,false,8.307,0.389,69.006
"true","[KEYS, AUTORESPONDER, BASE]",9.75,0.0,9.768,0.026,9.727,9.809,true,0.018,0.002,0
"true","[FORWARD, BASE, ADDRESSBOOK]",15.81,0.0,15.817,0.063,15.717,15.917,true,0.007,0,0
