measured,configuration,performance,std,minci,maxci
true,"[KEYS, BASE]",4.212,0,0,0
true,"[FORWARD, BASE]",11.596,0,0,0
true,"[KEYS, AUTORESPONDER, BASE, ADDRESSBOOK]",13.06,0,0,0
true,"[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE]",48.239,0,0,0
true,"[AUTORESPONDER, BASE]",5.524,0,0,0
true,"[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",39.416,0,0,0
true,"[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",27.961,0,0,0
true,"[KEYS, AUTORESPONDER, BASE]",9.757,0,0,0
true,"[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",39.455,0,0,0
true,"[KEYS, VERIFY, SIGN, BASE]",9.778,0,0,0
true,"[KEYS, FORWARD, BASE, ADDRESSBOOK]",20.073,0,0,0
true,"[FORWARD, AUTORESPONDER, BASE]",20.982,0,0,0
true,"[FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",26.19,0,0,0
true,"[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",56.883,0,0,0
true,"[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE]",16.969,0,0,0
true,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",55.993,0,0,0
true,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",65.552,0,0,0
true,"[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE, ADDRESSBOOK]",43.209,0,0,0
true,"[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE]",32.94,0,0,0
true,"[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE]",24.821,0,0,0
true,"[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE]",35.806,0,0,0
true,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",50.381,0,0,0
true,"[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE]",21.591,0,0,0
true,"[AUTORESPONDER, BASE, ADDRESSBOOK]",8.812,0,0,0
true,"[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",32.024,0,0,0
true,"[BASE]",0.008,0,0,0
true,"[FORWARD, BASE, ADDRESSBOOK]",15.815,0,0,0
true,"[KEYS, FORWARD, AUTORESPONDER, BASE]",25.116,0,0,0
true,"[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",21.346,0,0,0
true,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE]",41.876,0,0,0
true,"[KEYS, FORWARD, VERIFY, SIGN, BASE]",21.923,0,0,0
true,"[KEYS, FORWARD, BASE]",15.838,0,0,0
true,"[KEYS, FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",30.479,0,0,0
true,"[KEYS, VERIFY, SIGN, BASE, ADDRESSBOOK]",13.003,0,0,0
true,"[BASE, ADDRESSBOOK]",2.126,0,0,0
true,"[KEYS, BASE, ADDRESSBOOK]",6.323,0,0,0
true,"[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",31.138,0,0,0
true,"[DECRYPT, KEYS, ENCRYPT, BASE]",16.066,0,0,0
true,"[KEYS, FORWARD, VERIFY, SIGN, BASE, ADDRESSBOOK]",27.222,0,0,0
true,"[DECRYPT, KEYS, ENCRYPT, BASE, ADDRESSBOOK]",21.299,0,0,0
