measured,configuration,performance,std
false,"[KEYS, BASE, ADDRESSBOOK]",6.347,0.0
false,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",37.074,0.0
false,"[KEYS, BASE]",4.24,0.0
false,"[DECRYPT, KEYS, ENCRYPT, BASE]",12.686,0.0
false,"[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE]",42.254,0.0
false,"[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",49.656,0.0
true,"[FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",26.242,0.0
true,"[FORWARD, AUTORESPONDER, BASE]",20.957,0.0
true,"[BASE]",0.016,0.0
false,"[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",20.348,0.0
false,"[KEYS, FORWARD, VERIFY, SIGN, BASE, ADDRESSBOOK]",19.987,0.0
false,"[KEYS, FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",30.466,0.0
false,"[KEYS, FORWARD, BASE, ADDRESSBOOK]",20.094,0.0
false,"[KEYS, FORWARD, AUTORESPONDER, BASE]",25.181,0.0
false,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE]",30.766,0.0
false,"[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE]",9.78,0.0
false,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",42.223,0.0
false,"[KEYS, FORWARD, BASE]",15.814,0.0
false,"[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",13.031,0.0
false,"[KEYS, AUTORESPONDER, BASE]",9.703,0.0
false,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",49.572,0.0
true,"[FORWARD, BASE, ADDRESSBOOK]",15.87,0.0
false,"[KEYS, VERIFY, SIGN, BASE, ADDRESSBOOK]",6.352,0.0
false,"[KEYS, VERIFY, SIGN, BASE]",4.245,0.0
false,"[KEYS, AUTORESPONDER, BASE, ADDRESSBOOK]",12.967,0.0
false,"[KEYS, FORWARD, VERIFY, SIGN, BASE]",15.898,0.0
false,"[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",25.679,0.0
true,"[BASE, ADDRESSBOOK]",2.123,0.0
false,"[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE]",30.827,0.0
false,"[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",16.884,0.0
true,"[AUTORESPONDER, BASE]",5.479,0.0
false,"[DECRYPT, KEYS, ENCRYPT, BASE, ADDRESSBOOK]",16.923,0.0
false,"[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE]",12.504,0.0
false,"[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE, ADDRESSBOOK]",37.08,0.0
false,"[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",30.502,0.0
false,"[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE]",25.115,0.0
true,"[FORWARD, BASE]",11.59,0.0
true,"[AUTORESPONDER, BASE, ADDRESSBOOK]",8.743,0.0
false,"[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE]",20.307,0.0
false,"[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",25.12,0.0
