measured,configuration,performance,std
false,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",20.03,0.0
true,"[KEYS, BASE, ADDRESSBOOK]",6.33,0.0
true,"[KEYS, BASE]",4.22,0.0
false,"[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE]",25.2,0.0
false,"[DECRYPT, KEYS, ENCRYPT, BASE]",4.22,0.0
false,"[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",30.57,0.0
false,"[FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",26.35,0.0
true,"[FORWARD, AUTORESPONDER, BASE]",20.98,0.0
true,"[BASE]",0.0,0.0
false,"[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",9.75,0.0
false,"[KEYS, FORWARD, VERIFY, SIGN, BASE, ADDRESSBOOK]",20.03,0.0
false,"[KEYS, FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",30.57,0.0
false,"[KEYS, FORWARD, BASE, ADDRESSBOOK]",20.03,0.0
false,"[KEYS, FORWARD, AUTORESPONDER, BASE]",25.2,0.0
false,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE]",15.83,0.0
false,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",25.2,0.0
false,"[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE]",9.75,0.0
true,"[KEYS, FORWARD, BASE]",15.83,0.0
false,"[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",13.03,0.0
true,"[KEYS, AUTORESPONDER, BASE]",9.75,0.0
true,"[FORWARD, BASE, ADDRESSBOOK]",15.81,0.0
false,"[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",30.57,0.0
false,"[KEYS, VERIFY, SIGN, BASE, ADDRESSBOOK]",6.33,0.0
false,"[KEYS, VERIFY, SIGN, BASE]",4.22,0.0
false,"[KEYS, AUTORESPONDER, BASE, ADDRESSBOOK]",13.03,0.0
false,"[KEYS, FORWARD, VERIFY, SIGN, BASE]",15.83,0.0
true,"[BASE, ADDRESSBOOK]",2.11,0.0
false,"[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",13.03,0.0
false,"[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",6.33,0.0
false,"[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE]",15.83,0.0
true,"[AUTORESPONDER, BASE]",5.53,0.0
false,"[DECRYPT, KEYS, ENCRYPT, BASE, ADDRESSBOOK]",6.33,0.0
false,"[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE]",4.22,0.0
false,"[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE, ADDRESSBOOK]",20.03,0.0
false,"[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",30.57,0.0
false,"[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE]",25.2,0.0
true,"[FORWARD, BASE]",11.61,0.0
true,"[AUTORESPONDER, BASE, ADDRESSBOOK]",8.81,0.0
false,"[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE]",9.75,0.0
false,"[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",13.03,0.0
