measured,configuration,config_crusher,config_crusher_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[]",2.911,0.0,2.94,0.041,2.874,3.005,true,0.029,0.01,0.001
"true","[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES, IGNORECASE]",2.226,0.0,2.353,0.008,2.339,2.366,false,0.127,0.054,0.016
"false","[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES]",3.002,0.0,3.122,0.037,3.064,3.181,false,0.12,0.038,0.014
"true","[FIXEDSTRINGS, WHOLELINE, IGNORECASE]",2.824,0.0,2.924,0.009,2.91,2.938,false,0.1,0.034,0.01
"false","[COUNT, LINENUMBER, IGNORECASE]",21.852,0.0,23.548,0.481,22.782,24.314,false,1.696,0.072,2.876
"true","[FIXEDSTRINGS, INVERTMATCH, IGNORECASE]",2.854,0.0,2.925,0.027,2.882,2.969,false,0.071,0.024,0.005
"false","[FIXEDSTRINGS, COUNT, LINENUMBER]",3.008,0.0,3.11,0.036,3.053,3.166,false,0.102,0.033,0.01
"false","[COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",20.054,0.0,23.304,0.302,22.822,23.785,false,3.25,0.139,10.562
"false","[FIXEDSTRINGS, LINENUMBER]",2.855,0.0,2.989,0.015,2.966,3.012,false,0.134,0.045,0.018
"false","[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES]",3.011,0.0,3.077,0.046,3.003,3.15,true,0.066,0.021,0.004
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",2.967,0.0,3.092,0.056,3.003,3.182,false,0.125,0.04,0.016
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.227,0.0,2.34,0.011,2.323,2.357,false,0.113,0.048,0.013
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER]",2.977,0.0,3.093,0.029,3.047,3.139,false,0.116,0.038,0.013
