measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES, IGNORECASE]",3.72,0.0,2.362,0.014,1.358,0.575,1.844
"false","[]",2.96,0.0,2.993,0.05,0.033,0.011,0.001
"false","[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES]",4.63,0.0,3.105,0.034,1.525,0.491,2.326
"false","[FIXEDSTRINGS, WHOLELINE, IGNORECASE]",2.98,0.0,2.917,0.02,0.063,0.022,0.004
"false","[COUNT, LINENUMBER, IGNORECASE]",3.82,0.0,23.248,0.376,19.428,0.836,377.447
"false","[FIXEDSTRINGS, INVERTMATCH, IGNORECASE]",2.91,0.0,2.928,0.022,0.018,0.006,0
"false","[FIXEDSTRINGS, COUNT, LINENUMBER]",3.82,0.0,3.162,0.037,0.658,0.208,0.433
"false","[FIXEDSTRINGS, LINENUMBER]",3.82,0.0,3.01,0.045,0.81,0.269,0.656
"false","[COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.63,0.0,23.373,0.234,18.743,0.802,351.3
"false","[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES]",4.63,0.0,3.048,0.037,1.582,0.519,2.503
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",3.74,0.0,3.05,0.049,0.69,0.226,0.476
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.6,0.0,2.341,0.008,2.259,0.965,5.103
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER]",3.77,0.0,3.065,0.023,0.705,0.23,0.497
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER]",3.84,0.0,3.06,0.031,0.78,0.255,0.608
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",4.58,0.0,3.067,0.023,1.513,0.493,2.289
"false","[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES, IGNORECASE]",3.79,0.0,3.035,0.024,0.755,0.249,0.57
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",2.93,0.0,3.036,0.017,0.106,0.035,0.011
"false","[COUNT, MATCHINGFILES]",3.77,0.0,3.813,0.046,0.043,0.011,0.002
"false","[INVERTMATCH, WHOLELINE, LINENUMBER]",3.79,0.0,2.905,0.016,0.885,0.305,0.783
"false","[INVERTMATCH, MATCHINGFILES]",3.72,0.0,2.349,0.014,1.371,0.584,1.88
"false","[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",4.65,0.0,3.153,0.038,1.497,0.475,2.241
"true","[INVERTMATCH]",2.91,0.0,2.91,0.023,0,0,0
"false","[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",4.6,0.0,2.341,0.004,2.259,0.965,5.103
"true","[COUNT]",2.96,0.0,3.82,0.085,0.86,0.225,0.74
"false","[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.65,0.0,12.379,0.504,7.729,0.624,59.737
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",3.79,0.0,3.038,0.022,0.752,0.248,0.566
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.6,0.0,3.049,0.044,1.551,0.509,2.406
"true","[WHOLELINE]",2.98,0.0,2.956,0.024,0.024,0.008,0.001
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",4.65,0.0,3.128,0.04,1.522,0.487,2.316
"false","[WHOLELINE, MATCHINGFILES]",3.79,0.0,3.202,0.04,0.588,0.184,0.346
"false","[FIXEDSTRINGS, COUNT, MATCHINGFILES, IGNORECASE]",3.77,0.0,3.976,0.156,0.206,0.052,0.042
"false","[FIXEDSTRINGS, COUNT, IGNORECASE]",2.96,0.0,3.884,0.173,0.924,0.238,0.854
"false","[INVERTMATCH, LINENUMBER]",3.77,0.0,2.961,0.025,0.809,0.273,0.654
"false","[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",3.74,0.0,3.216,0.221,0.524,0.163,0.275
"false","[WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",3.84,0.0,11.793,0.745,7.953,0.674,63.25
"false","[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.65,0.0,3.051,0.028,1.599,0.524,2.557
"false","[INVERTMATCH, WHOLELINE, COUNT]",2.93,0.0,3.221,0.043,0.291,0.09,0.085
"false","[FIXEDSTRINGS, WHOLELINE, LINENUMBER, IGNORECASE]",3.84,0.0,2.923,0.015,0.917,0.314,0.841
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",3.79,0.0,2.993,0.03,0.797,0.266,0.635
"false","[INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",3.77,0.0,23.672,1.277,19.902,0.841,396.09
"false","[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.58,0.0,22.872,0.444,18.292,0.8,334.597
"false","[INVERTMATCH, WHOLELINE]",2.93,0.0,2.997,0.026,0.067,0.022,0.004
"false","[WHOLELINE, LINENUMBER]",3.84,0.0,2.919,0.005,0.921,0.316,0.848
"true","[FIXEDSTRINGS]",2.96,0.0,2.957,0.025,0.003,0.001,0
"false","[INVERTMATCH, LINENUMBER, MATCHINGFILES]",4.58,0.0,2.353,0.018,2.227,0.946,4.96
"false","[LINENUMBER, MATCHINGFILES, IGNORECASE]",4.63,0.0,2.53,0.018,2.1,0.83,4.41
"false","[LINENUMBER, IGNORECASE]",3.82,0.0,3.014,0.044,0.806,0.267,0.65
"true","[IGNORECASE]",2.96,0.0,2.98,0.028,0.02,0.007,0
"false","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",3.79,0.0,3.149,0.012,0.641,0.204,0.411
"false","[WHOLELINE, LINENUMBER, MATCHINGFILES]",4.65,0.0,3.233,0.055,1.417,0.438,2.008
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT]",2.91,0.0,3.073,0.041,0.163,0.053,0.027
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",3.74,0.0,2.347,0.014,1.393,0.594,1.94
"false","[WHOLELINE, COUNT, IGNORECASE]",2.98,0.0,10.86,0.715,7.88,0.726,62.094
"false","[INVERTMATCH, COUNT, IGNORECASE]",2.91,0.0,22.739,0.467,19.829,0.872,393.189
"false","[WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",3.79,0.0,12.212,0.433,8.422,0.69,70.93
"false","[INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",3.72,0.0,22.633,0.309,18.913,0.836,357.702
"false","[FIXEDSTRINGS, MATCHINGFILES]",3.77,0.0,3.093,0.034,0.677,0.219,0.458
"false","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",4.6,0.0,3.181,0.02,1.419,0.446,2.014
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, IGNORECASE]",2.93,0.0,2.9,0.014,0.03,0.01,0.001
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",3.77,0.0,3.889,0.175,0.119,0.031,0.014
"false","[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.6,0.0,2.346,0.018,2.254,0.961,5.081
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES]",3.72,0.0,3.059,0.025,0.661,0.216,0.437
"false","[MATCHINGFILES, IGNORECASE]",3.77,0.0,2.495,0.042,1.275,0.511,1.626
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",4.6,0.0,2.345,0.012,2.255,0.962,5.085
"false","[FIXEDSTRINGS, WHOLELINE, COUNT]",2.98,0.0,3.041,0.03,0.061,0.02,0.004
"false","[FIXEDSTRINGS, LINENUMBER, IGNORECASE]",3.82,0.0,2.903,0.014,0.917,0.316,0.841
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES]",3.79,0.0,3.052,0.028,0.738,0.242,0.545
"false","[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.63,0.0,3.963,0.157,0.667,0.168,0.445
"false","[COUNT, LINENUMBER]",3.82,0.0,3.861,0.057,0.041,0.011,0.002
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.58,0.0,3.976,0.08,0.604,0.152,0.365
"false","[INVERTMATCH, WHOLELINE, MATCHINGFILES]",3.74,0.0,2.348,0.016,1.392,0.593,1.938
"false","[INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",3.79,0.0,2.922,0.012,0.868,0.297,0.753
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",3.84,0.0,3.047,0.031,0.793,0.26,0.629
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.65,0.0,3.053,0.009,1.597,0.523,2.55
"false","[COUNT, MATCHINGFILES, IGNORECASE]",3.77,0.0,23.511,0.151,19.741,0.84,389.707
"false","[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES]",3.79,0.0,3.078,0.023,0.712,0.231,0.507
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, IGNORECASE]",3.77,0.0,2.919,0.031,0.851,0.292,0.724
"false","[INVERTMATCH, MATCHINGFILES, IGNORECASE]",3.72,0.0,2.362,0.018,1.358,0.575,1.844
"false","[FIXEDSTRINGS, WHOLELINE]",2.98,0.0,2.922,0.009,0.058,0.02,0.003
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.58,0.0,2.347,0.013,2.233,0.951,4.986
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT]",2.93,0.0,3.075,0.023,0.145,0.047,0.021
"false","[FIXEDSTRINGS, COUNT, LINENUMBER, IGNORECASE]",3.82,0.0,3.859,0.064,0.039,0.01,0.002
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER]",3.79,0.0,2.915,0.015,0.875,0.3,0.766
"false","[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.63,0.0,4.067,0.194,0.563,0.138,0.317
"false","[WHOLELINE, MATCHINGFILES, IGNORECASE]",3.79,0.0,12.14,0.613,8.35,0.688,69.723
"false","[COUNT, IGNORECASE]",2.96,0.0,20.183,1.348,17.223,0.853,296.632
"false","[INVERTMATCH, IGNORECASE]",2.91,0.0,2.899,0.017,0.011,0.004,0
"false","[INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",2.93,0.0,12.374,0.817,9.444,0.763,89.189
"false","[FIXEDSTRINGS, INVERTMATCH]",2.91,0.0,2.905,0.017,0.005,0.002,0
"false","[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES]",3.72,0.0,2.346,0.012,1.374,0.586,1.888
"false","[WHOLELINE, IGNORECASE]",2.98,0.0,2.919,0.021,0.061,0.021,0.004
"false","[FIXEDSTRINGS, COUNT, MATCHINGFILES]",3.77,0.0,3.092,0.041,0.678,0.219,0.46
"false","[FIXEDSTRINGS, COUNT]",2.96,0.0,3.104,0.027,0.144,0.046,0.021
"false","[FIXEDSTRINGS, WHOLELINE, LINENUMBER]",3.84,0.0,2.949,0.018,0.891,0.302,0.794
"false","[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",3.74,0.0,10.832,0.133,7.092,0.655,50.296
"false","[INVERTMATCH, LINENUMBER, IGNORECASE]",3.77,0.0,2.974,0.024,0.796,0.268,0.634
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES]",4.58,0.0,2.346,0.013,2.234,0.952,4.991
"false","[INVERTMATCH, COUNT, LINENUMBER]",3.77,0.0,3.802,0.034,0.032,0.008,0.001
"false","[WHOLELINE, COUNT, LINENUMBER]",3.84,0.0,3.158,0.033,0.682,0.216,0.465
"false","[FIXEDSTRINGS, IGNORECASE]",2.96,0.0,2.948,0.03,0.012,0.004,0
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES]",3.74,0.0,2.353,0.017,1.387,0.589,1.924
"false","[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES]",4.65,0.0,3.045,0.036,1.605,0.527,2.576
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE]",2.93,0.0,2.958,0.018,0.028,0.009,0.001
"false","[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",4.58,0.0,3.85,0.073,0.73,0.19,0.533
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER]",3.77,0.0,2.957,0.029,0.813,0.275,0.661
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",3.74,0.0,3.081,0.018,0.659,0.214,0.434
"false","[WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.65,0.0,13.612,1.149,8.962,0.658,80.317
"false","[LINENUMBER, MATCHINGFILES]",4.63,0.0,3.864,0.04,0.766,0.198,0.587
"false","[INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.58,0.0,2.354,0.014,2.226,0.946,4.955
"true","[LINENUMBER]",3.82,0.0,2.955,0.033,0.865,0.293,0.748
"false","[WHOLELINE, LINENUMBER, IGNORECASE]",3.84,0.0,2.883,0.022,0.957,0.332,0.916
"false","[WHOLELINE, COUNT]",2.98,0.0,3.15,0.024,0.17,0.054,0.029
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",4.6,0.0,3.157,0.028,1.443,0.457,2.082
"false","[COUNT, LINENUMBER, MATCHINGFILES]",4.63,0.0,3.814,0.018,0.816,0.214,0.666
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",3.72,0.0,3.929,0.047,0.209,0.053,0.044
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, IGNORECASE]",2.91,0.0,3.971,0.125,1.061,0.267,1.126
"false","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.6,0.0,10.626,0.856,6.026,0.567,36.313
"false","[WHOLELINE, COUNT, MATCHINGFILES]",3.79,0.0,3.141,0.032,0.649,0.207,0.421
"false","[FIXEDSTRINGS, MATCHINGFILES, IGNORECASE]",3.77,0.0,3.854,0.178,0.084,0.022,0.007
"false","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",3.79,0.0,12.449,0.757,8.659,0.696,74.978
"false","[INVERTMATCH, COUNT, MATCHINGFILES]",3.72,0.0,3.839,0.052,0.119,0.031,0.014
"false","[INVERTMATCH, COUNT]",2.91,0.0,3.819,0.033,0.909,0.238,0.826
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",3.79,0.0,3.083,0.017,0.707,0.229,0.5
