measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES, IGNORECASE]",0.0,0.0,0.064,0.005,0.064,1,0.004
"true","[]",0.72,0.0,0.556,0.013,0.164,0.295,0.027
"false","[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES]",1.88,0.0,0.716,0.026,1.164,1.626,1.355
"false","[FIXEDSTRINGS, WHOLELINE, IGNORECASE]",0.47,0.0,0.577,0.02,0.107,0.185,0.011
"false","[COUNT, LINENUMBER, IGNORECASE]",1.1,0.0,20.565,0.301,19.465,0.947,378.886
"false","[FIXEDSTRINGS, INVERTMATCH, IGNORECASE]",0.47,0.0,0.571,0.015,0.101,0.177,0.01
"false","[FIXEDSTRINGS, COUNT, LINENUMBER]",1.35,0.0,0.708,0.018,0.642,0.907,0.412
"true","[FIXEDSTRINGS, LINENUMBER]",1.35,0.0,0.551,0.028,0.799,1.45,0.638
"false","[COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",1.63,0.0,20.688,0.322,19.058,0.921,363.207
"false","[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES]",1.88,0.0,0.703,0.008,1.177,1.674,1.385
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",0.0,0.0,0.681,0.033,0.681,1,0.464
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",18.96,0.0,0.049,0.002,18.911,385.939,357.626
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER]",1.35,0.0,0.708,0.036,0.642,0.907,0.412
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER]",20.88,0.0,0.679,0.023,20.201,29.751,408.08
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",0.67,0.0,0.688,0.024,0.018,0.026,0
"false","[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES, IGNORECASE]",0.01,0.0,0.701,0.016,0.691,0.986,0.477
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",0.47,0.0,0.679,0.012,0.209,0.308,0.044
"true","[COUNT, MATCHINGFILES]",1.25,0.0,1.862,0.157,0.612,0.329,0.375
"false","[INVERTMATCH, WHOLELINE, LINENUMBER]",20.88,0.0,0.543,0.031,20.337,37.453,413.594
"true","[INVERTMATCH, MATCHINGFILES]",0.04,0.0,0.047,0.001,0.007,0.149,0
