measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[]",2.844,0,2.94,0.041,2.874,3.005,false,0.096,0.033,0.009
"true","[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES, IGNORECASE]",2.322,0,2.353,0.008,2.339,2.366,false,0.031,0.013,0.001
"true","[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES]",3.077,0,3.122,0.037,3.064,3.181,true,0.045,0.014,0.002
"true","[FIXEDSTRINGS, WHOLELINE, IGNORECASE]",2.878,0,2.924,0.009,2.91,2.938,false,0.046,0.016,0.002
"true","[COUNT, LINENUMBER, IGNORECASE]",23.433,0,23.548,0.481,22.782,24.314,true,0.115,0.005,0.013
"true","[FIXEDSTRINGS, INVERTMATCH, IGNORECASE]",2.912,0,2.925,0.027,2.882,2.969,true,0.013,0.004,0
"true","[FIXEDSTRINGS, COUNT, LINENUMBER]",3.049,0,3.11,0.036,3.053,3.166,false,0.061,0.02,0.004
"true","[COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",23.305,0,23.304,0.302,22.822,23.785,true,0.001,0,0
"true","[FIXEDSTRINGS, LINENUMBER]",2.881,0,2.989,0.015,2.966,3.012,false,0.108,0.036,0.012
"true","[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES]",3.057,0,3.077,0.046,3.003,3.15,true,0.02,0.006,0
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",3.036,0,3.092,0.056,3.003,3.182,true,0.056,0.018,0.003
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.34,0,2.34,0.011,2.323,2.357,true,0,0,0
"true","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER]",3.101,0,3.093,0.029,3.047,3.139,true,0.008,0.003,0
"true","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER]",3.044,0,3.079,0.036,3.022,3.137,true,0.035,0.011,0.001
"true","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",3.114,0,3.106,0.03,3.059,3.154,true,0.008,0.003,0
"true","[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES, IGNORECASE]",3.004,0,3.054,0.018,3.026,3.083,false,0.05,0.016,0.002
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",3.066,0,3.064,0.021,3.03,3.098,true,0.002,0.001,0
"true","[COUNT, MATCHINGFILES]",3.78,0,3.861,0.043,3.793,3.929,false,0.081,0.021,0.007
"true","[INVERTMATCH, WHOLELINE, LINENUMBER]",2.901,0,2.917,0.02,2.886,2.948,true,0.016,0.005,0
"true","[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.115,0,3.162,0.042,3.095,3.229,true,0.047,0.015,0.002
"true","[INVERTMATCH, MATCHINGFILES]",2.322,0,2.347,0.012,2.328,2.365,false,0.025,0.011,0.001
"true","[INVERTMATCH]",2.894,0,2.932,0.023,2.895,2.969,false,0.038,0.013,0.001
"true","[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",2.334,0,2.341,0.004,2.334,2.347,true,0.007,0.003,0
"true","[COUNT]",3.789,0,3.874,0.1,3.715,4.033,true,0.085,0.022,0.007
"true","[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",11,0,12.192,0.209,11.859,12.525,false,1.192,0.098,1.421
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",3.045,0,3.069,0.025,3.029,3.109,true,0.024,0.008,0.001
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.17,0,3.079,0.032,3.028,3.13,false,0.091,0.03,0.008
"true","[WHOLELINE]",2.912,0,2.956,0.022,2.921,2.99,false,0.044,0.015,0.002
"true","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.025,0,3.114,0.024,3.076,3.152,false,0.089,0.029,0.008
"true","[FIXEDSTRINGS, COUNT, MATCHINGFILES, IGNORECASE]",3.953,0,3.849,0.193,3.541,4.157,true,0.104,0.027,0.011
"true","[WHOLELINE, MATCHINGFILES]",3.108,0,3.175,0.039,3.114,3.236,false,0.067,0.021,0.004
"true","[FIXEDSTRINGS, COUNT, IGNORECASE]",4.021,0,3.794,0.19,3.492,4.096,true,0.227,0.06,0.052
"true","[INVERTMATCH, LINENUMBER]",2.918,0,2.936,0.031,2.887,2.985,true,0.018,0.006,0
"true","[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",3.135,0,3.347,0.263,2.929,3.765,true,0.212,0.063,0.045
"true","[WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",12.358,0,12.005,0.945,10.502,13.509,true,0.353,0.029,0.125
"true","[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.029,0,3.046,0.035,2.991,3.101,true,0.017,0.006,0
"true","[INVERTMATCH, WHOLELINE, COUNT]",3.225,0,3.169,0.047,3.094,3.244,true,0.056,0.018,0.003
"true","[FIXEDSTRINGS, WHOLELINE, LINENUMBER, IGNORECASE]",2.931,0,2.906,0.015,2.882,2.93,false,0.025,0.009,0.001
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",2.904,0,2.944,0.033,2.891,2.996,true,0.04,0.014,0.002
"true","[INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",20.213,0,23.333,0.348,22.78,23.886,false,3.12,0.134,9.734
"true","[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",23.168,0,23.335,0.566,22.434,24.236,true,0.167,0.007,0.028
"true","[INVERTMATCH, WHOLELINE]",2.967,0,2.953,0.033,2.9,3.006,true,0.014,0.005,0
"true","[WHOLELINE, LINENUMBER]",2.915,0,2.916,0.006,2.906,2.927,true,0.001,0,0
"true","[INVERTMATCH, LINENUMBER, MATCHINGFILES]",2.325,0,2.351,0.019,2.322,2.381,true,0.026,0.011,0.001
"true","[FIXEDSTRINGS]",2.919,0,2.917,0.032,2.865,2.968,true,0.002,0.001,0
"true","[LINENUMBER, MATCHINGFILES, IGNORECASE]",2.475,0,2.502,0.019,2.472,2.532,true,0.027,0.011,0.001
"true","[LINENUMBER, IGNORECASE]",2.903,0,2.95,0.051,2.868,3.032,true,0.047,0.016,0.002
"true","[IGNORECASE]",2.898,0,2.939,0.029,2.893,2.986,true,0.041,0.014,0.002
"true","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",3.148,0,3.134,0.013,3.113,3.155,true,0.014,0.004,0
"true","[WHOLELINE, LINENUMBER, MATCHINGFILES]",3.194,0,3.138,0.065,3.035,3.241,true,0.056,0.018,0.003
"true","[FIXEDSTRINGS, INVERTMATCH, COUNT]",3.062,0,3.104,0.048,3.028,3.181,true,0.042,0.014,0.002
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",2.323,0,2.345,0.014,2.324,2.367,false,0.022,0.009,0
"true","[WHOLELINE, COUNT, IGNORECASE]",12.427,0,12.127,0.909,10.68,13.574,true,0.3,0.025,0.09
"true","[WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",12.68,0,12.325,0.528,11.485,13.166,true,0.355,0.029,0.126
"true","[INVERTMATCH, COUNT, IGNORECASE]",23.689,0,23.217,0.551,22.34,24.093,true,0.472,0.02,0.223
"true","[INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",23.1,0,22.873,0.382,22.266,23.48,true,0.227,0.01,0.052
"true","[FIXEDSTRINGS, MATCHINGFILES]",3.126,0,3.08,0.037,3.021,3.138,true,0.046,0.015,0.002
"true","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.135,0,3.151,0.025,3.111,3.191,true,0.016,0.005,0
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, IGNORECASE]",2.905,0,2.916,0.017,2.889,2.943,true,0.011,0.004,0
