measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[]",2.993,0.05,2.993,0.05,0,0,0
"true","[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES, IGNORECASE]",2.362,0.014,2.362,0.014,0,0,0
"false","[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES]",3.104,0.027,3.105,0.034,0.001,0,0
"true","[FIXEDSTRINGS, WHOLELINE, IGNORECASE]",2.917,0.02,2.917,0.02,0,0,0
"false","[COUNT, LINENUMBER, IGNORECASE]",20.183,1.348,23.248,0.376,3.065,0.132,9.394
"true","[FIXEDSTRINGS, INVERTMATCH, IGNORECASE]",2.928,0.022,2.928,0.022,0,0,0
"false","[FIXEDSTRINGS, COUNT, LINENUMBER]",3.104,0.027,3.162,0.037,0.058,0.018,0.003
"false","[FIXEDSTRINGS, LINENUMBER]",2.957,0.025,3.01,0.045,0.053,0.018,0.003
"false","[COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",20.183,1.348,23.373,0.234,3.19,0.136,10.176
"false","[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES]",3.093,0.034,3.048,0.037,0.045,0.015,0.002
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",3.036,0.017,3.05,0.049,0.014,0.005,0
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.347,0.014,2.341,0.008,0.006,0.003,0
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER]",3.041,0.03,3.06,0.031,0.019,0.006,0
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER]",3.073,0.041,3.065,0.023,0.008,0.003,0
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",3.073,0.041,3.067,0.023,0.006,0.002,0
"true","[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES, IGNORECASE]",3.035,0.024,3.035,0.024,0,0,0
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",3.036,0.017,3.036,0.017,0,0,0
"false","[COUNT, MATCHINGFILES]",3.82,0.085,3.813,0.046,0.007,0.002,0
"false","[INVERTMATCH, WHOLELINE, LINENUMBER]",2.997,0.026,2.905,0.016,0.092,0.032,0.008
"false","[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.15,0.024,3.153,0.038,0.003,0.001,0
"true","[INVERTMATCH, MATCHINGFILES]",2.349,0.014,2.349,0.014,0,0,0
"true","[INVERTMATCH]",2.91,0.023,2.91,0.023,0,0,0
"false","[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",2.348,0.016,2.341,0.004,0.007,0.003,0
"true","[COUNT]",3.82,0.085,3.82,0.085,0,0,0
"false","[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",10.86,0.715,12.379,0.504,1.519,0.123,2.307
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",3.036,0.017,3.038,0.022,0.002,0.001,0
