IGNORECASE,INVERTMATCH,FIXEDSTRINGS,LINENUMBER,COUNT,MATCHINGFILES,WHOLELINE,time
1,0,0,1,0,0,0,3.014
1,0,0,0,1,0,0,20.183
0,0,1,0,0,0,0,2.957
1,1,0,0,0,0,0,2.899
1,0,0,0,0,1,0,2.495
1,0,0,0,0,0,1,2.919
0,0,1,0,0,0,1,2.922
0,0,0,1,1,0,0,3.861
0,0,0,1,0,0,0,2.955
0,0,0,1,0,0,1,2.919
0,0,0,0,1,0,0,3.82
0,0,1,0,1,0,0,3.104
0,1,1,0,0,0,0,2.905
0,1,0,0,0,1,0,2.349
0,0,0,0,0,0,1,2.956
0,0,0,0,1,0,1,3.15
0,1,0,0,1,0,0,3.819
0,0,0,0,0,1,0,3.764
0,1,0,0,0,0,0,2.91
0,0,1,1,0,0,0,3.01
1,0,0,0,0,0,0,2.98
0,0,0,0,0,0,0,2.993
0,0,0,0,0,1,1,3.202
0,0,0,0,1,1,0,3.813
0,1,0,1,0,0,0,2.961
0,1,0,0,0,0,1,2.997
1,0,1,0,0,0,0,2.948
0,0,1,0,0,1,0,3.093
0,0,0,1,0,1,0,3.864
