measured,configuration,performance,std
true,"[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.346,0.018
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",3.081,0.018
true,"[INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",23.672,1.277
true,"[MATCHINGFILES, IGNORECASE]",2.495,0.042
true,"[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.963,0.157
true,"[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES]",2.346,0.013
true,"[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",2.341,0.004
true,"[INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.354,0.014
true,"[LINENUMBER]",2.955,0.033
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE]",2.958,0.018
true,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER]",3.06,0.031
true,"[COUNT]",3.82,0.085
true,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",12.449,0.757
true,"[INVERTMATCH, WHOLELINE, LINENUMBER]",2.905,0.016
true,"[FIXEDSTRINGS, INVERTMATCH, IGNORECASE]",2.928,0.022
true,"[COUNT, LINENUMBER, IGNORECASE]",23.248,0.376
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",3.067,0.023
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",2.347,0.014
true,"[INVERTMATCH, COUNT, IGNORECASE]",22.739,0.467
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, IGNORECASE]",2.9,0.014
true,"[FIXEDSTRINGS, INVERTMATCH]",2.905,0.017
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER]",3.065,0.023
true,"[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES]",3.105,0.034
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",3.083,0.017
true,"[WHOLELINE]",2.956,0.024
true,"[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES]",3.078,0.023
true,"[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES]",3.052,0.028
true,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER, IGNORECASE]",2.923,0.015
true,"[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",4.067,0.194
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.157,0.028
true,"[MATCHINGFILES]",3.764,0.074
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES]",3.059,0.025
true,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.181,0.02
true,"[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES]",3.048,0.037
true,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",3.149,0.012
true,"[FIXEDSTRINGS, COUNT, IGNORECASE]",3.884,0.173
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",3.889,0.175
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT, IGNORECASE]",3.971,0.125
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER]",2.915,0.015
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",3.036,0.017
true,"[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES, IGNORECASE]",2.362,0.014
true,"[INVERTMATCH, LINENUMBER, MATCHINGFILES]",2.353,0.018
true,"[FIXEDSTRINGS, WHOLELINE, IGNORECASE]",2.917,0.02
true,"[FIXEDSTRINGS]",2.957,0.025
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT]",3.075,0.023
true,"[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",12.379,0.504
true,"[COUNT, LINENUMBER]",3.861,0.057
true,"[INVERTMATCH, WHOLELINE, MATCHINGFILES]",2.348,0.016
true,"[WHOLELINE, LINENUMBER]",2.919,0.005
true,"[WHOLELINE, LINENUMBER, MATCHINGFILES]",3.233,0.055
true,"[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",3.216,0.221
true,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.128,0.04
true,"[FIXEDSTRINGS, COUNT, LINENUMBER]",3.162,0.037
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.341,0.008
true,"[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, IGNORECASE]",2.919,0.031
true,"[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",3.85,0.073
true,"[INVERTMATCH, WHOLELINE, IGNORECASE]",2.921,0.025
true,"[FIXEDSTRINGS, LINENUMBER, IGNORECASE]",2.903,0.014
true,"[INVERTMATCH]",2.91,0.023
true,"[WHOLELINE, MATCHINGFILES, IGNORECASE]",12.14,0.613
true,"[FIXEDSTRINGS, WHOLELINE, COUNT, IGNORECASE]",3.051,0.028
true,"[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",22.872,0.444
true,"[COUNT, MATCHINGFILES]",3.813,0.046
true,"[COUNT, MATCHINGFILES, IGNORECASE]",23.511,0.151
true,"[FIXEDSTRINGS, MATCHINGFILES, IGNORECASE]",3.854,0.178
true,"[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",10.832,0.133
true,"[WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",13.612,1.149
true,"[INVERTMATCH, COUNT, MATCHINGFILES]",3.839,0.052
true,"[INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",12.374,0.817
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",2.993,0.03
true,"[LINENUMBER, IGNORECASE]",3.014,0.044
true,"[FIXEDSTRINGS, WHOLELINE]",2.922,0.009
true,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES]",3.045,0.036
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",2.345,0.012
true,"[FIXEDSTRINGS, COUNT, LINENUMBER, IGNORECASE]",3.859,0.064
true,"[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES]",2.346,0.012
true,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",10.626,0.856
true,"[FIXEDSTRINGS, COUNT]",3.104,0.027
true,"[WHOLELINE, COUNT, LINENUMBER]",3.158,0.033
true,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER]",2.949,0.018
true,"[INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",2.922,0.012
true,"[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.153,0.038
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",3.05,0.049
true,"[INVERTMATCH, COUNT]",3.819,0.033
true,"[FIXEDSTRINGS, LINENUMBER]",3.01,0.045
true,"[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.347,0.013
true,"[WHOLELINE, COUNT, IGNORECASE]",10.86,0.715
true,"[WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",12.212,0.433
true,"[COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",23.373,0.234
true,"[INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",22.633,0.309
