measured,configuration,performance,std
false,"[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES, IGNORECASE]",1.51,0.0
false,"[]",0.56,0.0
false,"[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES]",2.53,0.0
false,"[FIXEDSTRINGS, WHOLELINE, IGNORECASE]",0.56,0.0
false,"[COUNT, LINENUMBER, IGNORECASE]",1.58,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, IGNORECASE]",0.56,0.0
false,"[FIXEDSTRINGS, COUNT, LINENUMBER]",1.58,0.0
false,"[FIXEDSTRINGS, LINENUMBER]",1.58,0.0
false,"[COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.53,0.0
false,"[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES]",2.53,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",1.51,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.53,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER]",1.58,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER]",1.58,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",2.53,0.0
false,"[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES, IGNORECASE]",1.51,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",0.56,0.0
false,"[COUNT, MATCHINGFILES]",1.51,0.0
false,"[INVERTMATCH, WHOLELINE, LINENUMBER]",1.58,0.0
false,"[INVERTMATCH, MATCHINGFILES]",1.51,0.0
false,"[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",2.53,0.0
true,"[INVERTMATCH]",0.56,0.0
false,"[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",2.53,0.0
true,"[COUNT]",0.56,0.0
false,"[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.53,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",1.58,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.53,0.0
true,"[WHOLELINE]",0.56,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",2.53,0.0
false,"[WHOLELINE, MATCHINGFILES]",1.51,0.0
false,"[FIXEDSTRINGS, COUNT, MATCHINGFILES, IGNORECASE]",1.51,0.0
false,"[FIXEDSTRINGS, COUNT, IGNORECASE]",0.56,0.0
false,"[INVERTMATCH, LINENUMBER]",1.58,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",1.51,0.0
false,"[WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",1.58,0.0
false,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.53,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT]",0.56,0.0
false,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER, IGNORECASE]",1.58,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",1.58,0.0
false,"[INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",1.58,0.0
false,"[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.53,0.0
false,"[INVERTMATCH, WHOLELINE]",0.56,0.0
false,"[WHOLELINE, LINENUMBER]",1.58,0.0
true,"[FIXEDSTRINGS]",0.56,0.0
false,"[INVERTMATCH, LINENUMBER, MATCHINGFILES]",2.53,0.0
false,"[LINENUMBER, MATCHINGFILES, IGNORECASE]",2.53,0.0
false,"[LINENUMBER, IGNORECASE]",1.58,0.0
true,"[IGNORECASE]",0.56,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",1.58,0.0
false,"[WHOLELINE, LINENUMBER, MATCHINGFILES]",2.53,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT]",0.56,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",1.51,0.0
false,"[WHOLELINE, COUNT, IGNORECASE]",0.56,0.0
false,"[INVERTMATCH, COUNT, IGNORECASE]",0.56,0.0
false,"[WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",1.51,0.0
false,"[INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",1.51,0.0
false,"[FIXEDSTRINGS, MATCHINGFILES]",1.51,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",2.53,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, IGNORECASE]",0.56,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",1.58,0.0
false,"[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.53,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES]",1.51,0.0
false,"[MATCHINGFILES, IGNORECASE]",1.51,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",2.53,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT]",0.56,0.0
false,"[FIXEDSTRINGS, LINENUMBER, IGNORECASE]",1.58,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES]",1.51,0.0
