measured,configuration,performance,std,minci,maxci
true,"[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES]",3.077,0.046,3.003,3.15
true,"[WHOLELINE]",2.956,0.022,2.921,2.99
true,"[INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",2.921,0.015,2.897,2.944
true,"[INVERTMATCH, COUNT, MATCHINGFILES]",3.891,0.05,3.811,3.97
true,"[WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",12.325,0.528,11.485,13.166
true,"[INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",23.333,0.348,22.78,23.886
true,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",3.081,0.039,3.019,3.143
true,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.151,0.025,3.111,3.191
true,"[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",12.192,0.209,11.859,12.525
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.97,0.089,3.828,4.111
true,"[FIXEDSTRINGS, COUNT, LINENUMBER, IGNORECASE]",3.891,0.067,3.785,3.996
true,"[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.687,0.192,3.382,3.992
true,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",11.555,0.954,10.037,13.073
true,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",3.134,0.013,3.113,3.155
true,"[COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",23.304,0.302,22.822,23.785
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",2.339,0.01,2.322,2.355
true,"[INVERTMATCH, LINENUMBER, MATCHINGFILES]",2.351,0.019,2.322,2.381
true,"[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES]",3.045,0.028,3,3.09
true,"[WHOLELINE, COUNT, LINENUMBER]",3.143,0.028,3.099,3.188
true,"[WHOLELINE, MATCHINGFILES, IGNORECASE]",11.906,0.577,10.988,12.825
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT]",3.084,0.025,3.043,3.124
true,"[INVERTMATCH, WHOLELINE, IGNORECASE]",2.93,0.024,2.893,2.968
true,"[FIXEDSTRINGS, COUNT, MATCHINGFILES, IGNORECASE]",3.849,0.193,3.541,4.157
true,"[WHOLELINE, LINENUMBER, MATCHINGFILES]",3.138,0.065,3.035,3.241
true,"[FIXEDSTRINGS, MATCHINGFILES]",3.08,0.037,3.021,3.138
true,"[FIXEDSTRINGS, INVERTMATCH, LINENUMBER]",2.925,0.031,2.876,2.974
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE]",2.93,0.02,2.898,2.962
true,"[COUNT, LINENUMBER, IGNORECASE]",23.548,0.481,22.782,24.314
true,"[LINENUMBER, MATCHINGFILES]",3.822,0.033,3.769,3.875
true,"[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.162,0.042,3.095,3.229
true,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER, IGNORECASE]",2.906,0.015,2.882,2.93
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER]",3.093,0.029,3.047,3.139
true,"[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, IGNORECASE]",2.937,0.035,2.881,2.994
true,"[INVERTMATCH, MATCHINGFILES]",2.347,0.012,2.328,2.365
true,"[INVERTMATCH]",2.932,0.023,2.895,2.969
