measured,configuration,performance,std
false,"[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES, IGNORECASE]",1.96,0.0
true,"[]",3.15,0.0
false,"[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES]",3.79,0.0
false,"[FIXEDSTRINGS, WHOLELINE, IGNORECASE]",2.71,0.0
false,"[COUNT, LINENUMBER, IGNORECASE]",3.38,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, IGNORECASE]",2.71,0.0
false,"[FIXEDSTRINGS, COUNT, LINENUMBER]",3.4,0.0
true,"[FIXEDSTRINGS, LINENUMBER]",3.4,0.0
false,"[COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.77,0.0
false,"[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES]",3.79,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",1.01,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",18.14,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER]",3.4,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER]",20.07,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",2.65,0.0
false,"[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES, IGNORECASE]",2.15,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",2.71,0.0
true,"[COUNT, MATCHINGFILES]",3.54,0.0
false,"[INVERTMATCH, WHOLELINE, LINENUMBER]",20.28,0.0
true,"[INVERTMATCH, MATCHINGFILES]",2.4,0.0
false,"[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",19.72,0.0
true,"[INVERTMATCH]",3.15,0.0
false,"[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",18.58,0.0
true,"[COUNT]",3.15,0.0
false,"[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",19.49,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",19.84,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",18.14,0.0
true,"[WHOLELINE]",3.15,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",19.51,0.0
true,"[WHOLELINE, MATCHINGFILES]",2.59,0.0
false,"[FIXEDSTRINGS, COUNT, MATCHINGFILES, IGNORECASE]",3.1,0.0
false,"[FIXEDSTRINGS, COUNT, IGNORECASE]",2.71,0.0
true,"[INVERTMATCH, LINENUMBER]",3.61,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",1.45,0.0
false,"[WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",20.05,0.0
false,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",19.28,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT]",3.15,0.0
false,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER, IGNORECASE]",19.84,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",19.84,0.0
false,"[INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",3.38,0.0
false,"[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.63,0.0
true,"[INVERTMATCH, WHOLELINE]",3.15,0.0
true,"[WHOLELINE, LINENUMBER]",20.28,0.0
true,"[FIXEDSTRINGS]",2.94,0.0
false,"[INVERTMATCH, LINENUMBER, MATCHINGFILES]",2.86,0.0
false,"[LINENUMBER, MATCHINGFILES, IGNORECASE]",3.77,0.0
true,"[LINENUMBER, IGNORECASE]",3.38,0.0
true,"[IGNORECASE]",2.92,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",20.28,0.0
false,"[WHOLELINE, LINENUMBER, MATCHINGFILES]",19.72,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT]",2.94,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",1.01,0.0
false,"[WHOLELINE, COUNT, IGNORECASE]",2.92,0.0
false,"[INVERTMATCH, COUNT, IGNORECASE]",2.92,0.0
false,"[WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",2.36,0.0
false,"[INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",2.17,0.0
true,"[FIXEDSTRINGS, MATCHINGFILES]",3.33,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",18.58,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, IGNORECASE]",2.71,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",3.17,0.0
false,"[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",18.35,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES]",2.19,0.0
true,"[MATCHINGFILES, IGNORECASE]",3.31,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",18.37,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT]",2.94,0.0
false,"[FIXEDSTRINGS, LINENUMBER, IGNORECASE]",3.17,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES]",2.38,0.0
false,"[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.56,0.0
true,"[COUNT, LINENUMBER]",3.61,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.42,0.0
false,"[INVERTMATCH, WHOLELINE, MATCHINGFILES]",1.45,0.0
false,"[INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",20.05,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",19.84,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",19.28,0.0
false,"[COUNT, MATCHINGFILES, IGNORECASE]",3.31,0.0
false,"[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES]",2.38,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, IGNORECASE]",3.17,0.0
false,"[INVERTMATCH, MATCHINGFILES, IGNORECASE]",2.17,0.0
true,"[FIXEDSTRINGS, WHOLELINE]",2.94,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.42,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT]",2.94,0.0
false,"[FIXEDSTRINGS, COUNT, LINENUMBER, IGNORECASE]",3.17,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER]",20.07,0.0
false,"[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.56,0.0
false,"[WHOLELINE, MATCHINGFILES, IGNORECASE]",2.36,0.0
true,"[COUNT, IGNORECASE]",2.92,0.0
true,"[INVERTMATCH, IGNORECASE]",2.92,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",2.92,0.0
true,"[FIXEDSTRINGS, INVERTMATCH]",2.94,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES]",2.19,0.0
true,"[WHOLELINE, IGNORECASE]",2.92,0.0
false,"[FIXEDSTRINGS, COUNT, MATCHINGFILES]",3.33,0.0
true,"[FIXEDSTRINGS, COUNT]",2.94,0.0
false,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER]",20.07,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",1.22,0.0
false,"[INVERTMATCH, LINENUMBER, IGNORECASE]",3.38,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES]",2.65,0.0
false,"[INVERTMATCH, COUNT, LINENUMBER]",3.61,0.0
false,"[WHOLELINE, COUNT, LINENUMBER]",20.28,0.0
true,"[FIXEDSTRINGS, IGNORECASE]",2.71,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES]",1.24,0.0
false,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES]",19.51,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE]",2.94,0.0
false,"[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",2.86,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, LINENUMBER]",3.4,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",1.24,0.0
false,"[WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",19.49,0.0
true,"[LINENUMBER, MATCHINGFILES]",4.0,0.0
false,"[INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.63,0.0
true,"[LINENUMBER]",3.61,0.0
false,"[WHOLELINE, LINENUMBER, IGNORECASE]",20.05,0.0
true,"[WHOLELINE, COUNT]",3.15,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",18.37,0.0
false,"[COUNT, LINENUMBER, MATCHINGFILES]",4.0,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",1.96,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, COUNT, IGNORECASE]",2.71,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",18.35,0.0
false,"[WHOLELINE, COUNT, MATCHINGFILES]",2.59,0.0
false,"[FIXEDSTRINGS, MATCHINGFILES, IGNORECASE]",3.1,0.0
false,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",20.05,0.0
false,"[INVERTMATCH, COUNT, MATCHINGFILES]",2.4,0.0
true,"[INVERTMATCH, COUNT]",3.15,0.0
false,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",20.07,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT, IGNORECASE]",2.71,0.0
false,"[INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",1.22,0.0
false,"[INVERTMATCH, WHOLELINE, IGNORECASE]",2.92,0.0
true,"[MATCHINGFILES]",3.54,0.0
false,"[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",2.15,0.0
