measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE, LEVEL]",60.091,0.0,57.665,0.485,2.426,0.042,5.885
"true","[]",2.743,0.0,0.229,0.004,2.514,10.978,6.32
"false","[CHECKSUM]",2.972,0.0,0.29,0.005,2.682,9.248,7.193
"false","[FORCE, TRANSFORM, VERBOSE, LEVEL]",60.218,0.0,57.804,0.356,2.414,0.042,5.827
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",59.343,0.0,57.567,0.821,1.776,0.031,3.154
"false","[BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",59.852,0.0,58.192,0.124,1.66,0.029,2.756
"true","[FORCE, BLOCKSIZE, LEVEL, ENTROPY]",59.257,0.0,58.37,0.332,0.887,0.015,0.787
"true","[CHECKSUM, TRANSFORM, LEVEL, ENTROPY]",58.342,0.0,58.929,0.593,0.587,0.01,0.345
"false","[CHECKSUM, FORCE, VERBOSE, LEVEL, ENTROPY]",60.513,0.0,58.335,0.808,2.178,0.037,4.744
"false","[VERBOSE, ENTROPY]",2.818,0.0,0.247,0.006,2.571,10.409,6.61
"false","[FORCE, VERBOSE, LEVEL, ENTROPY]",59.466,0.0,59.167,0.358,0.299,0.005,0.089
"true","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, ENTROPY]",60.072,0.0,57.922,0.28,2.15,0.037,4.623
"true","[TRANSFORM, LEVEL, ENTROPY]",59.449,0.0,57.499,0.443,1.95,0.034,3.802
"false","[CHECKSUM, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",59.607,0.0,60.384,0.833,0.777,0.013,0.604
"true","[CHECKSUM, FORCE, BLOCKSIZE, ENTROPY]",2.18,0.0,0.787,0.032,1.393,1.77,1.94
"false","[BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",59.322,0.0,59.132,0.176,0.19,0.003,0.036
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",2.108,0.0,0.84,0.035,1.268,1.51,1.608
"true","[FORCE, BLOCKSIZE, ENTROPY]",1.962,0.0,0.741,0.055,1.221,1.648,1.491
"false","[CHECKSUM, VERBOSE, ENTROPY]",2.811,0.0,0.319,0.005,2.492,7.812,6.21
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",2.067,0.0,0.841,0.025,1.226,1.458,1.503
"false","[TRANSFORM, VERBOSE]",2.82,0.0,0.256,0.005,2.564,10.016,6.574
"false","[CHECKSUM, TRANSFORM, VERBOSE]",2.758,0.0,0.324,0.004,2.434,7.512,5.924
"true","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",59.444,0.0,58.837,0.706,0.607,0.01,0.368
"true","[CHECKSUM, BLOCKSIZE, LEVEL]",59.867,0.0,58.114,0.483,1.753,0.03,3.073
"true","[BLOCKSIZE, LEVEL]",59.938,0.0,58.083,0.825,1.855,0.032,3.441
"true","[FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",59.655,0.0,58.497,0.545,1.158,0.02,1.341
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE]",1.991,0.0,0.84,0.038,1.151,1.37,1.325
"false","[CHECKSUM, FORCE, VERBOSE, ENTROPY]",2.836,0.0,0.32,0.004,2.516,7.862,6.33
"false","[BLOCKSIZE, TRANSFORM, VERBOSE]",2.048,0.0,0.77,0.036,1.278,1.66,1.633
"true","[LEVEL]",60.931,0.0,58.142,0.091,2.789,0.048,7.779
"true","[BLOCKSIZE, ENTROPY]",2.004,0.0,0.717,0.014,1.287,1.795,1.656
"true","[FORCE]",2.725,0.0,0.247,0.014,2.478,10.032,6.14
"true","[CHECKSUM, LEVEL]",59.791,0.0,57.8,0.415,1.991,0.034,3.964
"false","[CHECKSUM, VERBOSE, LEVEL]",59.802,0.0,58.34,0.236,1.462,0.025,2.137
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM]",1.979,0.0,0.788,0.033,1.191,1.511,1.418
"true","[CHECKSUM, BLOCKSIZE, LEVEL, ENTROPY]",59.596,0.0,58.044,0.42,1.552,0.027,2.409
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",59.444,0.0,58.377,0.708,1.067,0.018,1.138
"false","[BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",1.997,0.0,0.787,0.01,1.21,1.537,1.464
"true","[CHECKSUM, FORCE, TRANSFORM]",2.777,0.0,0.3,0.007,2.477,8.257,6.136
