measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[CHECKSUM, FORCE, TRANSFORM, LEVEL, VERBOSE]",58.186,0.0,57.665,0.485,0.521,0.009,0.271
"false","[]",0.238,0.0,0.229,0.004,0.009,0.039,0
"true","[CHECKSUM]",0.29,0.0,0.29,0.005,0,0,0
"false","[FORCE, TRANSFORM, LEVEL, VERBOSE]",58.134,0.0,57.804,0.356,0.33,0.006,0.109
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",58.688,0.0,57.567,0.821,1.121,0.019,1.257
"false","[BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",58.636,0.0,58.192,0.124,0.444,0.008,0.197
"false","[FORCE, BLOCKSIZE, LEVEL, ENTROPY]",58.662,0.0,58.37,0.332,0.292,0.005,0.085
"false","[CHECKSUM, TRANSFORM, LEVEL, ENTROPY]",58.172,0.0,58.929,0.593,0.757,0.013,0.573
"false","[CHECKSUM, FORCE, LEVEL, VERBOSE, ENTROPY]",58.208,0.0,58.335,0.808,0.127,0.002,0.016
"false","[VERBOSE, ENTROPY]",0.243,0.0,0.247,0.006,0.004,0.016,0
"false","[FORCE, LEVEL, VERBOSE, ENTROPY]",58.156,0.0,59.167,0.358,1.011,0.017,1.022
"false","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, ENTROPY]",58.714,0.0,57.922,0.28,0.792,0.014,0.627
"false","[TRANSFORM, LEVEL, ENTROPY]",58.12,0.0,57.499,0.443,0.621,0.011,0.386
"false","[CHECKSUM, BLOCKSIZE, LEVEL, VERBOSE, ENTROPY]",58.71,0.0,60.384,0.833,1.674,0.028,2.802
"false","[CHECKSUM, FORCE, BLOCKSIZE, ENTROPY]",0.81,0.0,0.787,0.032,0.023,0.029,0.001
"false","[BLOCKSIZE, LEVEL, VERBOSE, ENTROPY]",58.658,0.0,59.132,0.176,0.474,0.008,0.225
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",0.741,0.0,0.84,0.035,0.099,0.118,0.01
"false","[FORCE, BLOCKSIZE, ENTROPY]",0.758,0.0,0.741,0.055,0.017,0.023,0
"false","[CHECKSUM, VERBOSE, ENTROPY]",0.295,0.0,0.319,0.005,0.024,0.075,0.001
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",0.793,0.0,0.841,0.025,0.048,0.057,0.002
"false","[TRANSFORM, VERBOSE]",0.221,0.0,0.256,0.005,0.035,0.137,0.001
"false","[CHECKSUM, TRANSFORM, VERBOSE]",0.273,0.0,0.324,0.004,0.051,0.157,0.003
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",58.692,0.0,58.837,0.706,0.145,0.002,0.021
"false","[CHECKSUM, BLOCKSIZE, LEVEL]",58.705,0.0,58.114,0.483,0.591,0.01,0.349
"false","[BLOCKSIZE, LEVEL]",58.653,0.0,58.083,0.825,0.57,0.01,0.325
