measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE, LEVEL]",61.24,0.0,62.317,1.487,59.951,64.684,true,1.077,0.017,1.16
"true","[]",4.49,0.0,4.464,0.123,4.267,4.66,true,0.026,0.006,0.001
"true","[CHECKSUM]",4.49,0.0,4.553,0.029,4.507,4.598,false,0.063,0.014,0.004
"false","[FORCE, TRANSFORM, VERBOSE, LEVEL]",61.24,0.0,62.044,0.941,60.546,63.541,true,0.804,0.013,0.646
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.6,0.0,61.685,0.959,60.16,63.21,true,0.085,0.001,0.007
"false","[BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.6,0.0,61.795,0.656,60.752,62.838,true,0.195,0.003,0.038
"false","[FORCE, BLOCKSIZE, LEVEL, ENTROPY]",62.24,0.0,62.376,0.623,61.385,63.368,true,0.136,0.002,0.018
"false","[CHECKSUM, TRANSFORM, LEVEL, ENTROPY]",62.08,0.0,61.659,0.348,61.105,62.213,true,0.421,0.007,0.177
"false","[CHECKSUM, FORCE, VERBOSE, LEVEL, ENTROPY]",61.74,0.0,61.479,0.502,60.681,62.278,true,0.261,0.004,0.068
"true","[VERBOSE, ENTROPY]",4.66,0.0,4.686,0.058,4.594,4.778,true,0.026,0.006,0.001
"false","[FORCE, VERBOSE, LEVEL, ENTROPY]",61.74,0.0,61.71,1.107,59.948,63.472,true,0.03,0,0.001
"false","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, ENTROPY]",62.24,0.0,61.835,0.658,60.789,62.882,true,0.405,0.007,0.164
"false","[TRANSFORM, LEVEL, ENTROPY]",62.08,0.0,61.676,0.581,60.751,62.6,true,0.404,0.007,0.163
"false","[CHECKSUM, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",62.1,0.0,61.914,0.652,60.876,62.952,true,0.186,0.003,0.035
"false","[CHECKSUM, FORCE, BLOCKSIZE, ENTROPY]",4.49,0.0,4.449,0.043,4.381,4.517,true,0.041,0.009,0.002
"false","[BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",62.1,0.0,61.879,0.424,61.204,62.553,true,0.221,0.004,0.049
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.35,0.0,4.476,0.064,4.374,4.578,false,0.126,0.028,0.016
"false","[FORCE, BLOCKSIZE, ENTROPY]",4.49,0.0,4.392,0.039,4.33,4.455,false,0.098,0.022,0.01
"false","[CHECKSUM, VERBOSE, ENTROPY]",4.66,0.0,4.775,0.094,4.626,4.924,true,0.115,0.024,0.013
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.35,0.0,4.495,0.047,4.421,4.57,false,0.145,0.032,0.021
"true","[TRANSFORM, VERBOSE]",4.66,0.0,4.631,0.057,4.541,4.721,true,0.029,0.006,0.001
"false","[CHECKSUM, TRANSFORM, VERBOSE]",4.66,0.0,4.722,0.057,4.631,4.812,true,0.062,0.013,0.004
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",61.74,0.0,61.942,0.587,61.009,62.876,true,0.202,0.003,0.041
