measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[]",4.484,0.0,4.464,0.107,0.02,0.004,0
"false","[CHECKSUM, FORCE, TRANSFORM, LEVEL, VERBOSE]",61.849,0.0,62.317,1.288,0.468,0.008,0.219
"true","[CHECKSUM]",4.432,0.0,4.553,0.025,0.121,0.027,0.015
"false","[FORCE, TRANSFORM, LEVEL, VERBOSE]",61.824,0.0,62.044,0.815,0.22,0.004,0.048
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",61.77,0.0,61.685,0.83,0.085,0.001,0.007
"true","[BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",62.545,0.0,61.795,0.568,0.75,0.012,0.562
"false","[FORCE, BLOCKSIZE, LEVEL, ENTROPY]",61.738,0.0,62.376,0.54,0.638,0.01,0.407
"true","[CHECKSUM, TRANSFORM, LEVEL, ENTROPY]",60.812,0.0,61.659,0.302,0.847,0.014,0.717
"false","[CHECKSUM, FORCE, LEVEL, VERBOSE, ENTROPY]",63.59,0.0,61.479,0.435,2.111,0.034,4.456
"true","[VERBOSE, ENTROPY]",4.569,0.0,4.686,0.05,0.117,0.025,0.014
"false","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, ENTROPY]",61.712,0.0,61.835,0.57,0.123,0.002,0.015
"false","[FORCE, LEVEL, VERBOSE, ENTROPY]",61.297,0.0,61.71,0.959,0.413,0.007,0.171
"true","[TRANSFORM, LEVEL, ENTROPY]",61.605,0.0,61.676,0.503,0.071,0.001,0.005
"true","[CHECKSUM, BLOCKSIZE, LEVEL, VERBOSE, ENTROPY]",63.321,0.0,61.914,0.565,1.407,0.023,1.98
"true","[BLOCKSIZE, LEVEL, VERBOSE, ENTROPY]",62.657,0.0,61.879,0.367,0.778,0.013,0.605
"false","[CHECKSUM, FORCE, BLOCKSIZE, ENTROPY]",4.577,0.0,4.449,0.037,0.128,0.029,0.016
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.556,0.0,4.476,0.056,0.08,0.018,0.006
"true","[CHECKSUM, VERBOSE, ENTROPY]",4.887,0.0,4.775,0.081,0.112,0.023,0.013
"false","[FORCE, BLOCKSIZE, ENTROPY]",4.481,0.0,4.392,0.034,0.089,0.02,0.008
