measured,configuration,performance,std,minci,maxci
true,"[VERBOSE, LEVEL]",60.666,0,0,0
true,"[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.423,0,0,0
true,"[LEVEL, ENTROPY]",61.562,0,0,0
true,"[CHECKSUM, VERBOSE]",4.642,0,0,0
true,"[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",63.132,0,0,0
true,"[]",4.484,0,0,0
true,"[BLOCKSIZE, VERBOSE, ENTROPY]",4.482,0,0,0
true,"[BLOCKSIZE, LEVEL]",61.222,0,0,0
true,"[CHECKSUM, FORCE, ENTROPY]",4.651,0,0,0
true,"[FORCE]",4.448,0,0,0
true,"[CHECKSUM, TRANSFORM, LEVEL]",61.233,0,0,0
true,"[CHECKSUM, FORCE, TRANSFORM, VERBOSE, ENTROPY]",4.688,0,0,0
true,"[CHECKSUM, TRANSFORM, ENTROPY]",4.527,0,0,0
true,"[FORCE, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",62.155,0,0,0
true,"[CHECKSUM, BLOCKSIZE, LEVEL, ENTROPY]",61.712,0,0,0
true,"[CHECKSUM, FORCE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.098,0,0,0
true,"[FORCE, VERBOSE, LEVEL, ENTROPY]",61.508,0,0,0
true,"[CHECKSUM, FORCE, TRANSFORM, LEVEL]",61.282,0,0,0
true,"[CHECKSUM, VERBOSE, ENTROPY]",4.887,0,0,0
true,"[CHECKSUM, TRANSFORM, VERBOSE, LEVEL]",61.849,0,0,0
true,"[TRANSFORM]",4.568,0,0,0
true,"[FORCE, BLOCKSIZE, VERBOSE]",4.385,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE]",4.434,0,0,0
true,"[BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.155,0,0,0
true,"[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.77,0,0,0
true,"[FORCE, TRANSFORM, LEVEL, ENTROPY]",60.853,0,0,0
true,"[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE]",4.584,0,0,0
true,"[FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",60.769,0,0,0
true,"[FORCE, BLOCKSIZE, ENTROPY]",4.337,0,0,0
true,"[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.454,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",4.539,0,0,0
true,"[CHECKSUM, FORCE, LEVEL]",61.321,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, LEVEL]",61.891,0,0,0
true,"[TRANSFORM, ENTROPY]",4.509,0,0,0
true,"[BLOCKSIZE, TRANSFORM]",4.385,0,0,0
true,"[BLOCKSIZE, ENTROPY]",4.481,0,0,0
true,"[CHECKSUM, FORCE, TRANSFORM]",4.532,0,0,0
true,"[FORCE, BLOCKSIZE, LEVEL]",62.096,0,0,0
true,"[CHECKSUM, BLOCKSIZE, LEVEL]",62.473,0,0,0
true,"[CHECKSUM, FORCE, TRANSFORM, ENTROPY]",4.484,0,0,0
true,"[FORCE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",60.891,0,0,0
true,"[BLOCKSIZE, TRANSFORM, VERBOSE]",4.527,0,0,0
true,"[CHECKSUM, BLOCKSIZE, VERBOSE, LEVEL]",62.073,0,0,0
true,"[TRANSFORM, LEVEL, ENTROPY]",61.605,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",62.875,0,0,0
true,"[FORCE, TRANSFORM, VERBOSE, ENTROPY]",4.598,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",4.585,0,0,0
true,"[BLOCKSIZE, VERBOSE, LEVEL]",62.492,0,0,0
true,"[LEVEL]",60.644,0,0,0
true,"[FORCE, BLOCKSIZE, VERBOSE, LEVEL]",61.608,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.922,0,0,0
true,"[BLOCKSIZE, LEVEL, ENTROPY]",61.738,0,0,0
true,"[BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",62.493,0,0,0
true,"[CHECKSUM, ENTROPY]",4.636,0,0,0
true,"[CHECKSUM, BLOCKSIZE, VERBOSE, ENTROPY]",4.47,0,0,0
true,"[FORCE, TRANSFORM]",4.352,0,0,0
true,"[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",4.572,0,0,0
true,"[CHECKSUM, FORCE, VERBOSE, LEVEL, ENTROPY]",61.373,0,0,0
true,"[CHECKSUM, FORCE, TRANSFORM, VERBOSE]",4.754,0,0,0
true,"[FORCE, VERBOSE]",4.735,0,0,0
true,"[BLOCKSIZE, VERBOSE]",4.333,0,0,0
true,"[CHECKSUM, FORCE, VERBOSE, LEVEL]",61.779,0,0,0
true,"[BLOCKSIZE]",4.575,0,0,0
true,"[CHECKSUM, LEVEL]",60.604,0,0,0
true,"[FORCE, VERBOSE, LEVEL]",61.65,0,0,0
true,"[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.735,0,0,0
true,"[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.576,0,0,0
true,"[CHECKSUM, FORCE, VERBOSE, ENTROPY]",4.842,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, ENTROPY]",4.522,0,0,0
true,"[VERBOSE, ENTROPY]",4.569,0,0,0
true,"[TRANSFORM, VERBOSE]",4.72,0,0,0
true,"[FORCE, BLOCKSIZE, TRANSFORM]",4.409,0,0,0
true,"[CHECKSUM, VERBOSE, LEVEL]",61.73,0,0,0
true,"[CHECKSUM, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",63.321,0,0,0
true,"[CHECKSUM, TRANSFORM, VERBOSE]",4.677,0,0,0
true,"[CHECKSUM, TRANSFORM, VERBOSE, ENTROPY]",4.708,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM]",4.429,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.599,0,0,0
true,"[CHECKSUM, BLOCKSIZE, VERBOSE]",4.473,0,0,0
true,"[CHECKSUM, TRANSFORM, LEVEL, ENTROPY]",60.812,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",4.508,0,0,0
true,"[CHECKSUM, BLOCKSIZE, TRANSFORM]",4.378,0,0,0
true,"[FORCE, TRANSFORM, VERBOSE]",4.691,0,0,0
true,"[FORCE, TRANSFORM, ENTROPY]",4.339,0,0,0
true,"[FORCE, BLOCKSIZE]",4.573,0,0,0
true,"[CHECKSUM, FORCE]",4.432,0,0,0
true,"[FORCE, TRANSFORM, LEVEL]",61.192,0,0,0
true,"[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL]",61.797,0,0,0
true,"[BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",62.657,0,0,0
true,"[TRANSFORM, VERBOSE, LEVEL, ENTROPY]",61.321,0,0,0
true,"[ENTROPY]",4.364,0,0,0
true,"[CHECKSUM, FORCE, LEVEL, ENTROPY]",61.77,0,0,0
true,"[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",63.399,0,0,0
true,"[CHECKSUM, BLOCKSIZE, TRANSFORM, ENTROPY]",4.504,0,0,0
true,"[TRANSFORM, LEVEL]",61.061,0,0,0
true,"[CHECKSUM, TRANSFORM]",4.556,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, ENTROPY]",61.121,0,0,0
true,"[FORCE, ENTROPY]",4.537,0,0,0
true,"[FORCE, LEVEL]",60.468,0,0,0
true,"[TRANSFORM, VERBOSE, ENTROPY]",4.634,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",62.593,0,0,0
true,"[CHECKSUM, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",61.57,0,0,0
true,"[FORCE, BLOCKSIZE, LEVEL, ENTROPY]",62.585,0,0,0
true,"[FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",4.408,0,0,0
true,"[CHECKSUM, FORCE, VERBOSE]",4.869,0,0,0
true,"[BLOCKSIZE, TRANSFORM, LEVEL]",61.812,0,0,0
true,"[CHECKSUM, LEVEL, ENTROPY]",60.794,0,0,0
true,"[CHECKSUM, FORCE, TRANSFORM, VERBOSE, LEVEL]",61.728,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",63.119,0,0,0
true,"[FORCE, LEVEL, ENTROPY]",61.444,0,0,0
true,"[VERBOSE, LEVEL, ENTROPY]",61.297,0,0,0
true,"[FORCE, VERBOSE, ENTROPY]",4.701,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.105,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, LEVEL]",61.572,0,0,0
true,"[CHECKSUM, FORCE, TRANSFORM, LEVEL, ENTROPY]",60.872,0,0,0
true,"[BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.556,0,0,0
true,"[FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",62.068,0,0,0
true,"[CHECKSUM]",4.432,0,0,0
true,"[VERBOSE]",4.653,0,0,0
true,"[BLOCKSIZE, TRANSFORM, ENTROPY]",4.516,0,0,0
true,"[FORCE, TRANSFORM, VERBOSE, LEVEL]",61.581,0,0,0
true,"[FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",4.593,0,0,0
true,"[CHECKSUM, BLOCKSIZE, ENTROPY]",4.577,0,0,0
true,"[CHECKSUM, BLOCKSIZE]",4.391,0,0,0
true,"[CHECKSUM, VERBOSE, LEVEL, ENTROPY]",63.59,0,0,0
true,"[BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",62.545,0,0,0
true,"[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE]",4.453,0,0,0
true,"[TRANSFORM, VERBOSE, LEVEL]",61.824,0,0,0
