measured,configuration,performance,std
false,"[CHECKSUM, FORCE, TRANSFORM, VERBOSE, LEVEL]",61.624,0.0
true,"[]",4.775,0.0
false,"[CHECKSUM]",5.061,0.0
false,"[FORCE, TRANSFORM, VERBOSE, LEVEL]",61.851,0.0
false,"[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.796,0.0
false,"[BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.842,0.0
true,"[FORCE, BLOCKSIZE, LEVEL, ENTROPY]",61.863,0.0
true,"[CHECKSUM, TRANSFORM, LEVEL, ENTROPY]",61.751,0.0
false,"[CHECKSUM, FORCE, VERBOSE, LEVEL, ENTROPY]",61.738,0.0
false,"[VERBOSE, ENTROPY]",4.812,0.0
false,"[FORCE, VERBOSE, LEVEL, ENTROPY]",61.704,0.0
true,"[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, ENTROPY]",61.763,0.0
true,"[TRANSFORM, LEVEL, ENTROPY]",61.554,0.0
false,"[CHECKSUM, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",62.359,0.0
true,"[CHECKSUM, FORCE, BLOCKSIZE, ENTROPY]",4.213,0.0
false,"[BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",62.084,0.0
false,"[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.174,0.0
true,"[FORCE, BLOCKSIZE, ENTROPY]",4.104,0.0
false,"[CHECKSUM, VERBOSE, ENTROPY]",4.857,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.194,0.0
false,"[TRANSFORM, VERBOSE]",4.847,0.0
false,"[CHECKSUM, TRANSFORM, VERBOSE]",4.83,0.0
true,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",61.905,0.0
true,"[CHECKSUM, BLOCKSIZE, LEVEL]",62.265,0.0
true,"[BLOCKSIZE, LEVEL]",61.59,0.0
true,"[FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",61.942,0.0
false,"[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE]",4.241,0.0
false,"[CHECKSUM, FORCE, VERBOSE, ENTROPY]",4.865,0.0
false,"[BLOCKSIZE, TRANSFORM, VERBOSE]",4.156,0.0
true,"[LEVEL]",61.343,0.0
true,"[BLOCKSIZE, ENTROPY]",4.154,0.0
true,"[FORCE]",4.746,0.0
true,"[CHECKSUM, LEVEL]",61.796,0.0
false,"[CHECKSUM, VERBOSE, LEVEL]",61.807,0.0
true,"[CHECKSUM, BLOCKSIZE, TRANSFORM]",4.229,0.0
true,"[CHECKSUM, BLOCKSIZE, LEVEL, ENTROPY]",62.348,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.909,0.0
false,"[BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.178,0.0
true,"[CHECKSUM, FORCE, TRANSFORM]",4.863,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",61.767,0.0
true,"[CHECKSUM, FORCE]",4.851,0.0
true,"[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",61.985,0.0
false,"[FORCE, BLOCKSIZE, VERBOSE, LEVEL]",62.302,0.0
true,"[CHECKSUM, BLOCKSIZE]",4.192,0.0
true,"[TRANSFORM, ENTROPY]",4.852,0.0
true,"[CHECKSUM, FORCE, TRANSFORM, LEVEL, ENTROPY]",61.822,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",4.217,0.0
true,"[FORCE, TRANSFORM, LEVEL]",61.847,0.0
true,"[CHECKSUM, VERBOSE]",5.073,0.0
true,"[FORCE, LEVEL]",62.097,0.0
true,"[BLOCKSIZE, TRANSFORM, ENTROPY]",4.166,0.0
false,"[CHECKSUM, VERBOSE, LEVEL, ENTROPY]",61.618,0.0
true,"[FORCE, BLOCKSIZE, LEVEL]",62.298,0.0
true,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",61.686,0.0
false,"[BLOCKSIZE, VERBOSE, ENTROPY]",4.166,0.0
false,"[CHECKSUM, FORCE, TRANSFORM, VERBOSE]",4.866,0.0
true,"[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL]",61.785,0.0
true,"[CHECKSUM, FORCE, ENTROPY]",4.862,0.0
false,"[CHECKSUM, TRANSFORM, VERBOSE, LEVEL]",61.7,0.0
true,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM]",4.214,0.0
true,"[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE]",4.216,0.0
false,"[CHECKSUM, FORCE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",61.826,0.0
true,"[FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",62.027,0.0
false,"[TRANSFORM, VERBOSE, ENTROPY]",4.864,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",61.682,0.0
true,"[CHECKSUM, LEVEL, ENTROPY]",61.607,0.0
false,"[CHECKSUM, BLOCKSIZE, VERBOSE, LEVEL]",62.276,0.0
false,"[LEVEL, ENTROPY]",61.712,0.0
false,"[CHECKSUM, FORCE, VERBOSE]",4.854,0.0
false,"[BLOCKSIZE, VERBOSE]",4.154,0.0
true,"[CHECKSUM, TRANSFORM, LEVEL]",61.689,0.0
false,"[FORCE, VERBOSE]",4.749,0.0
true,"[TRANSFORM, LEVEL]",61.868,0.0
true,"[CHECKSUM, TRANSFORM]",4.818,0.0
false,"[FORCE, VERBOSE, LEVEL]",62.101,0.0
true,"[TRANSFORM]",4.835,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE]",4.213,0.0
false,"[BLOCKSIZE, VERBOSE, LEVEL]",61.601,0.0
false,"[CHECKSUM, FORCE, VERBOSE, LEVEL]",62.069,0.0
true,"[FORCE, BLOCKSIZE]",4.106,0.0
false,"[FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",4.107,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",4.216,0.0
false,"[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",61.996,0.0
false,"[BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.141,0.0
false,"[CHECKSUM, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",61.762,0.0
true,"[FORCE, TRANSFORM, ENTROPY]",4.818,0.0
true,"[CHECKSUM, FORCE, TRANSFORM, ENTROPY]",4.885,0.0
false,"[TRANSFORM, VERBOSE, LEVEL, ENTROPY]",61.565,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, LEVEL]",61.644,0.0
false,"[CHECKSUM, BLOCKSIZE, VERBOSE]",4.204,0.0
false,"[CHECKSUM, FORCE, TRANSFORM, VERBOSE, ENTROPY]",4.888,0.0
true,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",4.191,0.0
false,"[FORCE, TRANSFORM, VERBOSE, ENTROPY]",4.821,0.0
true,"[CHECKSUM, ENTROPY]",4.845,0.0
true,"[FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",4.171,0.0
true,"[FORCE, LEVEL, ENTROPY]",61.7,0.0
true,"[CHECKSUM, FORCE, LEVEL, ENTROPY]",61.734,0.0
true,"[ENTROPY]",4.8,0.0
true,"[FORCE, TRANSFORM]",4.811,0.0
false,"[FORCE, BLOCKSIZE, VERBOSE]",4.109,0.0
true,"[BLOCKSIZE, TRANSFORM]",4.144,0.0
true,"[BLOCKSIZE, LEVEL, ENTROPY]",62.073,0.0
true,"[BLOCKSIZE]",4.142,0.0
false,"[TRANSFORM, VERBOSE, LEVEL]",61.879,0.0
false,"[FORCE, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",61.867,0.0
false,"[VERBOSE, LEVEL]",61.354,0.0
false,"[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.946,0.0
true,"[BLOCKSIZE, TRANSFORM, LEVEL]",61.831,0.0
false,"[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",4.157,0.0
true,"[CHECKSUM, BLOCKSIZE, ENTROPY]",4.208,0.0
true,"[BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",62.13,0.0
false,"[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.242,0.0
true,"[CHECKSUM, FORCE, BLOCKSIZE, LEVEL]",61.64,0.0
false,"[FORCE, VERBOSE, ENTROPY]",4.785,0.0
true,"[CHECKSUM, FORCE, TRANSFORM, LEVEL]",61.62,0.0
false,"[VERBOSE]",4.787,0.0
true,"[FORCE, TRANSFORM, LEVEL, ENTROPY]",61.68,0.0
true,"[VERBOSE, LEVEL, ENTROPY]",61.723,0.0
true,"[CHECKSUM, FORCE, LEVEL]",62.065,0.0
true,"[CHECKSUM, BLOCKSIZE, TRANSFORM, ENTROPY]",4.23,0.0
false,"[FORCE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",61.684,0.0
