measured,configuration,performance,std
true,"[]",0.229,0.004
false,"[FORCE, TRANSFORM]",0.229,0.004
false,"[FORCE, ENTROPY]",0.229,0.004
false,"[FORCE]",0.229,0.004
false,"[TRANSFORM, ENTROPY]",0.229,0.004
false,"[TRANSFORM]",0.229,0.004
false,"[FORCE, TRANSFORM, ENTROPY]",0.229,0.004
false,"[ENTROPY]",0.229,0.004
true,"[CHECKSUM, LEVEL, VERBOSE]",58.34,0.236
false,"[CHECKSUM, FORCE, TRANSFORM, LEVEL, VERBOSE]",58.34,0.236
false,"[CHECKSUM, FORCE, LEVEL, VERBOSE, ENTROPY]",58.34,0.236
false,"[CHECKSUM, LEVEL, VERBOSE, ENTROPY]",58.34,0.236
false,"[CHECKSUM, TRANSFORM, LEVEL, VERBOSE]",58.34,0.236
false,"[CHECKSUM, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",58.34,0.236
false,"[CHECKSUM, FORCE, LEVEL, VERBOSE]",58.34,0.236
false,"[CHECKSUM, FORCE, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",58.34,0.236
true,"[CHECKSUM]",0.29,0.005
false,"[CHECKSUM, FORCE, ENTROPY]",0.29,0.005
false,"[CHECKSUM, TRANSFORM, ENTROPY]",0.29,0.005
false,"[CHECKSUM, TRANSFORM]",0.29,0.005
false,"[CHECKSUM, ENTROPY]",0.29,0.005
false,"[CHECKSUM, FORCE, TRANSFORM]",0.29,0.005
false,"[CHECKSUM, FORCE]",0.29,0.005
false,"[CHECKSUM, FORCE, TRANSFORM, ENTROPY]",0.29,0.005
true,"[CHECKSUM, BLOCKSIZE, LEVEL]",58.114,0.483
false,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",58.114,0.483
false,"[CHECKSUM, BLOCKSIZE, LEVEL, ENTROPY]",58.114,0.483
false,"[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, ENTROPY]",58.114,0.483
false,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",58.114,0.483
false,"[CHECKSUM, FORCE, BLOCKSIZE, LEVEL]",58.114,0.483
false,"[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",58.114,0.483
false,"[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL]",58.114,0.483
true,"[BLOCKSIZE, LEVEL]",58.083,0.825
false,"[FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",58.083,0.825
false,"[BLOCKSIZE, TRANSFORM, LEVEL]",58.083,0.825
false,"[FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",58.083,0.825
false,"[BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",58.083,0.825
false,"[BLOCKSIZE, LEVEL, ENTROPY]",58.083,0.825
false,"[FORCE, BLOCKSIZE, LEVEL]",58.083,0.825
false,"[FORCE, BLOCKSIZE, LEVEL, ENTROPY]",58.083,0.825
true,"[CHECKSUM, BLOCKSIZE, LEVEL, VERBOSE]",59.524,0.096
