measured,configuration,performance,std
true,"[]",4.484,0
false,"[FORCE]",4.484,0
true,"[CHECKSUM]",4.432,0
false,"[CHECKSUM, FORCE]",4.432,0
true,"[TRANSFORM, VERBOSE, ENTROPY]",4.634,0
false,"[FORCE, TRANSFORM, VERBOSE, ENTROPY]",4.634,0
true,"[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",61.77,0
false,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",61.77,0
true,"[BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",62.545,0
false,"[FORCE, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",62.545,0
true,"[CHECKSUM, BLOCKSIZE, LEVEL, VERBOSE]",62.073,0
false,"[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, VERBOSE]",62.073,0
true,"[CHECKSUM, LEVEL, ENTROPY]",60.794,0
false,"[CHECKSUM, FORCE, LEVEL, ENTROPY]",60.794,0
true,"[LEVEL, ENTROPY]",61.562,0
false,"[FORCE, LEVEL, ENTROPY]",61.562,0
true,"[BLOCKSIZE, VERBOSE]",4.333,0
false,"[FORCE, BLOCKSIZE, VERBOSE]",4.333,0
true,"[CHECKSUM, TRANSFORM, LEVEL, ENTROPY]",60.812,0
false,"[CHECKSUM, FORCE, TRANSFORM, LEVEL, ENTROPY]",60.812,0
true,"[VERBOSE, ENTROPY]",4.569,0
false,"[FORCE, VERBOSE, ENTROPY]",4.569,0
true,"[CHECKSUM, TRANSFORM, LEVEL]",61.233,0
false,"[CHECKSUM, FORCE, TRANSFORM, LEVEL]",61.233,0
true,"[TRANSFORM, LEVEL, ENTROPY]",61.605,0
false,"[FORCE, TRANSFORM, LEVEL, ENTROPY]",61.605,0
true,"[CHECKSUM, BLOCKSIZE, LEVEL, VERBOSE, ENTROPY]",63.321,0
false,"[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, VERBOSE, ENTROPY]",63.321,0
true,"[TRANSFORM, LEVEL]",61.061,0
false,"[FORCE, TRANSFORM, LEVEL]",61.061,0
true,"[CHECKSUM, TRANSFORM]",4.556,0
