measured,configuration,performance,std,minci,maxci
true,"[USE_COMPOUND_FILE, CODEC]",13.767,0.178,13.484,14.05
true,"[CODEC, CREATE, RAM_BUFFER_SIZE]",11.362,0.269,10.934,11.791
true,"[MAX_BUFFERED_DOCS, CODEC, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH]",14.837,0.44,14.137,15.537
true,"[USE_COMPOUND_FILE, CREATE, RAM_BUFFER_SIZE]",18.426,0.297,17.953,18.899
true,"[CODEC, CREATE, MERGE_POLICY]",11.18,0.291,10.717,11.642
true,"[MAX_BUFFERED_DOCS, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH, MERGE_POLICY]",13.445,0.469,12.698,14.192
true,"[USE_COMPOUND_FILE, MAX_TOKEN_LENGTH]",17.843,0.253,17.441,18.245
true,"[RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH, MERGE_POLICY]",11.658,0.297,11.185,12.131
true,"[USE_COMPOUND_FILE]",18.386,0.548,17.514,19.259
true,"[CREATE, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH]",12.22,0.276,11.782,12.659
true,"[USE_COMPOUND_FILE, CODEC, MAX_TOKEN_LENGTH]",18.523,0.595,17.577,19.47
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE, CREATE, MERGE_POLICY]",15.216,0.146,14.984,15.448
true,"[MAX_BUFFERED_DOCS, CREATE, MAX_TOKEN_LENGTH, MERGE_POLICY]",14.662,0.614,13.686,15.638
true,"[USE_COMPOUND_FILE, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH]",18.298,0.877,16.903,19.694
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE, CODEC, CREATE, RAM_BUFFER_SIZE, MERGE_POLICY]",13.598,0.112,13.419,13.777
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE, CODEC, CREATE, RAM_BUFFER_SIZE]",13.889,0.103,13.726,14.052
true,"[USE_COMPOUND_FILE, CODEC, CREATE, MAX_TOKEN_LENGTH]",18.545,0.231,18.178,18.912
true,"[USE_COMPOUND_FILE, CODEC, CREATE, RAM_BUFFER_SIZE]",13.805,0.254,13.401,14.209
true,"[MAX_BUFFERED_DOCS, CODEC, CREATE, MAX_TOKEN_LENGTH]",15.018,0.591,14.079,15.958
true,"[MAX_BUFFERED_DOCS, CODEC, CREATE, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH, MERGE_POLICY]",14.419,0.276,13.979,14.859
true,"[MAX_BUFFERED_DOCS, CREATE, RAM_BUFFER_SIZE]",11.967,0.339,11.427,12.507
true,"[USE_COMPOUND_FILE, CREATE]",18.168,0.548,17.295,19.041
true,"[CREATE]",12.013,0.365,11.433,12.593
true,"[USE_COMPOUND_FILE, CODEC, CREATE, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH]",18.453,0.298,17.978,18.928
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE, CODEC, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH, MERGE_POLICY]",36.905,0.944,35.403,38.408
true,"[RAM_BUFFER_SIZE]",12.041,0.312,11.544,12.538
true,"[CODEC, MERGE_POLICY]",11.135,0.128,10.931,11.339
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE]",18.761,0.623,17.769,19.753
true,"[MAX_TOKEN_LENGTH, MERGE_POLICY]",11.588,0.341,11.045,12.131
true,"[USE_COMPOUND_FILE, RAM_BUFFER_SIZE]",18.283,0.562,17.389,19.177
true,"[CODEC, RAM_BUFFER_SIZE]",11.155,0.25,10.757,11.552
true,"[USE_COMPOUND_FILE, CODEC, CREATE, MERGE_POLICY]",13.592,0.08,13.465,13.72
true,"[RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH]",12.382,0.302,11.902,12.862
true,"[USE_COMPOUND_FILE, CODEC, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH]",18.299,0.388,17.681,18.917
true,"[MAX_BUFFERED_DOCS, CODEC, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH, MERGE_POLICY]",14.942,0.548,14.07,15.815
true,"[MAX_BUFFERED_DOCS, CODEC, MERGE_POLICY]",11.002,0.28,10.557,11.448
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE, CREATE, MAX_TOKEN_LENGTH, MERGE_POLICY]",33.12,0.833,31.794,34.445
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE, CODEC]",13.846,0.168,13.578,14.113
true,"[USE_COMPOUND_FILE, CREATE, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH]",17.959,0.231,17.592,18.326
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE, CREATE, RAM_BUFFER_SIZE]",18.392,0.553,17.513,19.271
true,"[MAX_BUFFERED_DOCS, MAX_TOKEN_LENGTH, MERGE_POLICY]",13.582,0.745,12.396,14.768
