measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.54,0.0,5.404,0.068,0.136,0.025,0.018
"true","[]",5.471,0.0,5.462,0.14,0.009,0.002,0
"false","[FREQTHRESHOLD, TIMEOUT]",5.38,0.0,5.463,0.062,0.083,0.015,0.007
"false","[FREQTHRESHOLD]",5.471,0.0,5.4,0.045,0.071,0.013,0.005
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT]",5.38,0.0,5.482,0.163,0.102,0.019,0.01
"false","[TIMEOUT, LOGLEVEL, MINALPHA]",5.54,0.0,5.505,0.073,0.035,0.006,0.001
"false","[DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.54,0.0,5.464,0.103,0.076,0.014,0.006
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.54,0.0,5.403,0.027,0.137,0.025,0.019
"false","[DISTTHRESHOLD]",5.471,0.0,5.501,0.048,0.03,0.005,0.001
"false","[DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.485,0.0,5.462,0.153,0.023,0.004,0.001
"true","[DISTTHRESHOLD, TIMEOUT]",5.38,0.0,5.4,0.037,0.02,0.004,0
"true","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.485,0.0,5.491,0.137,0.006,0.001,0
"false","[DISTTHRESHOLD, MINALPHA]",5.459,0.0,5.468,0.129,0.009,0.002,0
"false","[FREQTHRESHOLD, MINALPHA]",5.459,0.0,5.485,0.055,0.026,0.005,0.001
"false","[TIMEOUT, LOGLEVEL]",5.406,0.0,5.441,0.035,0.035,0.006,0.001
"false","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL]",5.497,0.0,5.382,0.113,0.115,0.021,0.013
"false","[LOGLEVEL, MINALPHA]",5.485,0.0,5.408,0.116,0.077,0.014,0.006
"false","[LOGLEVEL]",5.497,0.0,5.442,0.11,0.055,0.01,0.003
"false","[TIMEOUT, MINALPHA]",5.514,0.0,5.412,0.112,0.102,0.019,0.01
"false","[FREQTHRESHOLD, LOGLEVEL]",5.497,0.0,5.447,0.093,0.05,0.009,0.002
"false","[DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",5.406,0.0,5.461,0.149,0.055,0.01,0.003
"false","[FREQTHRESHOLD, TIMEOUT, MINALPHA]",5.514,0.0,5.461,0.12,0.053,0.01,0.003
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",5.406,0.0,5.415,0.095,0.009,0.002,0
"false","[DISTTHRESHOLD, LOGLEVEL]",5.497,0.0,5.452,0.148,0.045,0.008,0.002
"false","[DISTTHRESHOLD, TIMEOUT, MINALPHA]",5.514,0.0,5.403,0.099,0.111,0.021,0.012
"false","[FREQTHRESHOLD, DISTTHRESHOLD, MINALPHA]",5.459,0.0,5.528,0.118,0.069,0.012,0.005
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, MINALPHA]",5.514,0.0,5.512,0.138,0.002,0,0
"false","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL]",5.406,0.0,5.363,0.026,0.043,0.008,0.002
"false","[FREQTHRESHOLD, LOGLEVEL, MINALPHA]",5.485,0.0,5.587,0.02,0.102,0.018,0.01
"false","[TIMEOUT]",5.38,0.0,5.442,0.031,0.062,0.011,0.004
"false","[FREQTHRESHOLD, DISTTHRESHOLD]",5.471,0.0,5.47,0.082,0.001,0,0
"false","[MINALPHA]",5.459,0.0,5.355,0.04,0.104,0.019,0.011

MSE: 0.005
RMSE: 0.07
MAPE: 1.104
