measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.43,0.0,5.317,0.068,0.113,0.021,0.013
"false","[]",5.43,0.0,5.401,0.14,0.029,0.005,0.001
"false","[FREQTHRESHOLD, TIMEOUT]",5.43,0.0,5.453,0.062,0.023,0.004,0.001
"true","[FREQTHRESHOLD]",5.43,0.0,5.419,0.045,0.011,0.002,0
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT]",5.43,0.0,5.394,0.163,0.036,0.007,0.001
"false","[TIMEOUT, LOGLEVEL, MINALPHA]",5.43,0.0,5.571,0.073,0.141,0.025,0.02
"false","[DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.43,0.0,5.296,0.103,0.134,0.025,0.018
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.43,0.0,5.385,0.027,0.045,0.008,0.002
"true","[DISTTHRESHOLD]",5.43,0.0,5.456,0.048,0.026,0.005,0.001
"false","[DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.43,0.0,5.46,0.153,0.03,0.005,0.001
"false","[DISTTHRESHOLD, TIMEOUT]",5.43,0.0,5.337,0.037,0.093,0.017,0.009
"false","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.43,0.0,5.358,0.137,0.072,0.013,0.005
"false","[DISTTHRESHOLD, MINALPHA]",5.43,0.0,5.37,0.129,0.06,0.011,0.004
"false","[FREQTHRESHOLD, MINALPHA]",5.43,0.0,5.397,0.055,0.033,0.006,0.001
"false","[TIMEOUT, LOGLEVEL]",5.43,0.0,5.453,0.035,0.023,0.004,0.001
"false","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL]",5.43,0.0,5.255,0.113,0.175,0.033,0.031
"false","[LOGLEVEL, MINALPHA]",5.43,0.0,5.24,0.116,0.19,0.036,0.036
"true","[LOGLEVEL]",5.43,0.0,5.273,0.11,0.157,0.03,0.025
"false","[TIMEOUT, MINALPHA]",5.43,0.0,5.262,0.112,0.168,0.032,0.028
"false","[FREQTHRESHOLD, LOGLEVEL]",5.43,0.0,5.3,0.093,0.13,0.025,0.017
"false","[DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",5.43,0.0,5.525,0.149,0.095,0.017,0.009
"false","[FREQTHRESHOLD, TIMEOUT, MINALPHA]",5.43,0.0,5.326,0.12,0.104,0.02,0.011
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",5.43,0.0,5.283,0.095,0.147,0.028,0.022
"false","[DISTTHRESHOLD, LOGLEVEL]",5.43,0.0,5.375,0.148,0.055,0.01,0.003
"false","[DISTTHRESHOLD, TIMEOUT, MINALPHA]",5.43,0.0,5.272,0.099,0.158,0.03,0.025
"false","[FREQTHRESHOLD, DISTTHRESHOLD, MINALPHA]",5.43,0.0,5.466,0.118,0.036,0.007,0.001
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, MINALPHA]",5.43,0.0,5.562,0.138,0.132,0.024,0.017
"false","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL]",5.43,0.0,5.406,0.026,0.024,0.004,0.001
"false","[FREQTHRESHOLD, LOGLEVEL, MINALPHA]",5.43,0.0,5.62,0.02,0.19,0.034,0.036
"true","[TIMEOUT]",5.43,0.0,5.451,0.031,0.021,0.004,0
"false","[FREQTHRESHOLD, DISTTHRESHOLD]",5.43,0.0,5.497,0.082,0.067,0.012,0.004
"true","[MINALPHA]",5.43,0.0,5.294,0.04,0.136,0.026,0.018

MSE: 0.012
RMSE: 0.108
MAPE: 1.725
