measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.51,0.0,5.404,0.078,5.279,5.528,true,0.106,0.02,0.011
"true","[]",5.39,0.0,5.462,0.161,5.205,5.718,true,0.072,0.013,0.005
"true","[FREQTHRESHOLD, TIMEOUT]",5.51,0.0,5.463,0.071,5.349,5.576,true,0.047,0.009,0.002
"true","[FREQTHRESHOLD]",5.51,0.0,5.4,0.052,5.318,5.482,false,0.11,0.02,0.012
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT]",5.32,0.0,5.482,0.188,5.183,5.781,true,0.162,0.03,0.026
"false","[TIMEOUT, LOGLEVEL, MINALPHA]",5.39,0.0,5.505,0.084,5.371,5.638,true,0.115,0.021,0.013
"false","[DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.39,0.0,5.464,0.119,5.274,5.654,true,0.074,0.014,0.005
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.32,0.0,5.403,0.031,5.354,5.452,false,0.083,0.015,0.007
"true","[DISTTHRESHOLD]",5.39,0.0,5.501,0.056,5.412,5.589,false,0.111,0.02,0.012
"false","[DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.39,0.0,5.462,0.177,5.18,5.743,true,0.072,0.013,0.005
"true","[DISTTHRESHOLD, TIMEOUT]",5.39,0.0,5.4,0.043,5.333,5.468,true,0.01,0.002,0
"false","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.32,0.0,5.491,0.158,5.24,5.743,true,0.171,0.031,0.029
"true","[DISTTHRESHOLD, MINALPHA]",5.39,0.0,5.468,0.148,5.231,5.704,true,0.078,0.014,0.006
"true","[FREQTHRESHOLD, MINALPHA]",5.51,0.0,5.485,0.063,5.384,5.585,true,0.025,0.005,0.001
"true","[TIMEOUT, LOGLEVEL]",5.39,0.0,5.441,0.04,5.378,5.505,true,0.051,0.009,0.003
"false","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL]",5.32,0.0,5.382,0.13,5.174,5.589,true,0.062,0.012,0.004
"true","[LOGLEVEL, MINALPHA]",5.39,0.0,5.408,0.134,5.194,5.621,true,0.018,0.003,0
"true","[LOGLEVEL]",5.39,0.0,5.442,0.127,5.24,5.645,true,0.052,0.01,0.003
"true","[TIMEOUT, MINALPHA]",5.39,0.0,5.412,0.13,5.206,5.618,true,0.022,0.004,0
"true","[FREQTHRESHOLD, LOGLEVEL]",5.51,0.0,5.447,0.107,5.277,5.618,true,0.063,0.012,0.004
"false","[DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",5.39,0.0,5.461,0.172,5.188,5.734,true,0.071,0.013,0.005
"false","[FREQTHRESHOLD, TIMEOUT, MINALPHA]",5.51,0.0,5.461,0.139,5.24,5.682,true,0.049,0.009,0.002
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",5.32,0.0,5.415,0.109,5.241,5.589,true,0.095,0.018,0.009
"true","[DISTTHRESHOLD, LOGLEVEL]",5.39,0.0,5.452,0.171,5.18,5.724,true,0.062,0.011,0.004
"false","[DISTTHRESHOLD, TIMEOUT, MINALPHA]",5.39,0.0,5.403,0.114,5.221,5.585,true,0.013,0.002,0
"false","[FREQTHRESHOLD, DISTTHRESHOLD, MINALPHA]",5.32,0.0,5.528,0.136,5.311,5.745,true,0.208,0.038,0.043
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, MINALPHA]",5.32,0.0,5.512,0.16,5.258,5.766,true,0.192,0.035,0.037
"false","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL]",5.51,0.0,5.363,0.03,5.316,5.41,false,0.147,0.027,0.022
"false","[FREQTHRESHOLD, LOGLEVEL, MINALPHA]",5.51,0.0,5.587,0.023,5.551,5.624,false,0.077,0.014,0.006
"true","[TIMEOUT]",5.39,0.0,5.442,0.035,5.386,5.498,true,0.052,0.01,0.003
"true","[FREQTHRESHOLD, DISTTHRESHOLD]",5.32,0.0,5.47,0.095,5.32,5.621,true,0.15,0.027,0.022
"true","[MINALPHA]",5.39,0.0,5.355,0.046,5.282,5.428,true,0.035,0.007,0.001

Total: 32
MSE: 0.014
RMSE: 0.119
MAPE: 1.94
Measured within ci: 14
Measured outside ci: 2
Predicted within ci: 13
Predicted outside ci: 3
