measured,configuration,performance,std,minci,maxci
true,"[DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.671,0,0,0
true,"[FREQTHRESHOLD, TIMEOUT, LOGLEVEL]",5.451,0,0,0
true,"[FREQTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.379,0,0,0
true,"[DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.388,0,0,0
true,"[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL]",5.495,0,0,0
true,"[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",5.492,0,0,0
true,"[MINALPHA]",5.524,0,0,0
true,"[FREQTHRESHOLD, DISTTHRESHOLD]",5.374,0,0,0
true,"[TIMEOUT, LOGLEVEL, MINALPHA]",5.403,0,0,0
true,"[DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",5.527,0,0,0
true,"[TIMEOUT, MINALPHA]",5.406,0,0,0
true,"[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.427,0,0,0
true,"[TIMEOUT, LOGLEVEL]",5.328,0,0,0
true,"[TIMEOUT]",5.347,0,0,0
true,"[FREQTHRESHOLD, DISTTHRESHOLD, MINALPHA]",5.527,0,0,0
true,"[FREQTHRESHOLD, LOGLEVEL]",5.534,0,0,0
true,"[DISTTHRESHOLD, LOGLEVEL]",5.524,0,0,0
true,"[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, MINALPHA]",5.502,0,0,0
true,"[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.536,0,0,0
true,"[FREQTHRESHOLD]",5.476,0,0,0
true,"[DISTTHRESHOLD, MINALPHA]",5.333,0,0,0
true,"[FREQTHRESHOLD, LOGLEVEL, MINALPHA]",5.464,0,0,0
true,"[DISTTHRESHOLD, TIMEOUT]",5.493,0,0,0
true,"[DISTTHRESHOLD]",5.429,0,0,0
true,"[LOGLEVEL, MINALPHA]",5.371,0,0,0
true,"[LOGLEVEL]",5.378,0,0,0
true,"[DISTTHRESHOLD, TIMEOUT, MINALPHA]",5.601,0,0,0
true,"[FREQTHRESHOLD, TIMEOUT]",5.516,0,0,0
true,"[FREQTHRESHOLD, MINALPHA]",5.5,0,0,0
true,"[FREQTHRESHOLD, TIMEOUT, MINALPHA]",5.476,0,0,0
true,"[]",5.348,0,0,0
true,"[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT]",5.398,0,0,0
