measured,configuration,performance,std
true,"[FREQTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.759,0.0
true,"[]",6.267,0.0
false,"[FREQTHRESHOLD, TIMEOUT]",5.887,0.0
false,"[FREQTHRESHOLD]",6.268,0.0
false,"[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD]",5.94,0.0
false,"[TIMEOUT, LOGLEVEL, MINALPHA]",5.758,0.0
false,"[TIMEOUT, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.811,0.0
false,"[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.812,0.0
false,"[DISTTHRESHOLD]",5.436,0.0
false,"[DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.905,0.0
true,"[TIMEOUT, DISTTHRESHOLD]",5.939,0.0
true,"[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.906,0.0
false,"[DISTTHRESHOLD, MINALPHA]",5.91,0.0
false,"[FREQTHRESHOLD, MINALPHA]",6.742,0.0
false,"[TIMEOUT, LOGLEVEL]",5.882,0.0
false,"[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL]",5.432,0.0
false,"[LOGLEVEL, MINALPHA]",6.736,0.0
false,"[LOGLEVEL]",6.262,0.0
false,"[TIMEOUT, MINALPHA]",5.762,0.0
false,"[FREQTHRESHOLD, LOGLEVEL]",6.263,0.0
false,"[TIMEOUT, DISTTHRESHOLD, LOGLEVEL]",5.935,0.0
false,"[FREQTHRESHOLD, TIMEOUT, MINALPHA]",5.763,0.0
false,"[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, LOGLEVEL]",5.936,0.0
false,"[DISTTHRESHOLD, LOGLEVEL]",5.431,0.0
false,"[TIMEOUT, DISTTHRESHOLD, MINALPHA]",5.815,0.0
false,"[FREQTHRESHOLD, DISTTHRESHOLD, MINALPHA]",5.911,0.0
false,"[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, MINALPHA]",5.816,0.0
false,"[FREQTHRESHOLD, TIMEOUT, LOGLEVEL]",5.883,0.0
false,"[FREQTHRESHOLD, LOGLEVEL, MINALPHA]",6.737,0.0
false,"[TIMEOUT]",5.886,0.0
false,"[FREQTHRESHOLD, DISTTHRESHOLD]",5.437,0.0
false,"[MINALPHA]",6.741,0.0
