measured,configuration,performance,std
false,"[FREQTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",6.057,0.0
false,"[]",5.707,0.0
false,"[FREQTHRESHOLD, TIMEOUT]",5.877,0.0
true,"[FREQTHRESHOLD]",5.989,0.0
false,"[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT]",6.196,0.0
false,"[TIMEOUT, LOGLEVEL, MINALPHA]",5.775,0.0
false,"[DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",6.094,0.0
false,"[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",6.376,0.0
true,"[DISTTHRESHOLD]",6.026,0.0
false,"[DISTTHRESHOLD, LOGLEVEL, MINALPHA]",6.206,0.0
false,"[DISTTHRESHOLD, TIMEOUT]",5.914,0.0
false,"[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",6.488,0.0
false,"[DISTTHRESHOLD, MINALPHA]",6.026,0.0
false,"[FREQTHRESHOLD, MINALPHA]",5.989,0.0
false,"[TIMEOUT, LOGLEVEL]",5.775,0.0
false,"[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL]",6.488,0.0
false,"[LOGLEVEL, MINALPHA]",5.887,0.0
true,"[LOGLEVEL]",5.887,0.0
false,"[TIMEOUT, MINALPHA]",5.595,0.0
false,"[FREQTHRESHOLD, LOGLEVEL]",6.169,0.0
false,"[DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",6.094,0.0
false,"[FREQTHRESHOLD, TIMEOUT, MINALPHA]",5.877,0.0
false,"[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",6.376,0.0
false,"[DISTTHRESHOLD, LOGLEVEL]",6.206,0.0
false,"[DISTTHRESHOLD, TIMEOUT, MINALPHA]",5.914,0.0
false,"[FREQTHRESHOLD, DISTTHRESHOLD, MINALPHA]",6.308,0.0
false,"[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, MINALPHA]",6.196,0.0
false,"[FREQTHRESHOLD, TIMEOUT, LOGLEVEL]",6.057,0.0
false,"[FREQTHRESHOLD, LOGLEVEL, MINALPHA]",6.169,0.0
true,"[TIMEOUT]",5.595,0.0
false,"[FREQTHRESHOLD, DISTTHRESHOLD]",6.308,0.0
true,"[MINALPHA]",5.707,0.0
