measured,configuration,performance,std
true,"[]",5.401,0.133
false,"[FREQTHRESHOLD]",5.401,0.133
true,"[TIMEOUT, MINALPHA]",5.262,0.1
false,"[FREQTHRESHOLD, TIMEOUT, MINALPHA]",5.262,0.1
true,"[TIMEOUT, DISTTHRESHOLD, LOGLEVEL]",5.525,0.136
true,"[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, LOGLEVEL]",5.283,0.09
true,"[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD]",5.394,0.15
true,"[TIMEOUT, LOGLEVEL, MINALPHA]",5.571,0.077
false,"[FREQTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.571,0.077
true,"[TIMEOUT, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.296,0.124
true,"[DISTTHRESHOLD, LOGLEVEL]",5.375,0.136
true,"[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.385,0.058
true,"[DISTTHRESHOLD]",5.456,0.052
true,"[TIMEOUT, DISTTHRESHOLD, MINALPHA]",5.272,0.119
true,"[DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.46,0.14
true,"[TIMEOUT, DISTTHRESHOLD]",5.337,0.05
true,"[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.358,0.125
true,"[DISTTHRESHOLD, MINALPHA]",5.37,0.127
true,"[FREQTHRESHOLD, DISTTHRESHOLD, MINALPHA]",5.466,0.106
true,"[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, MINALPHA]",5.562,0.124
true,"[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL]",5.255,0.111
true,"[TIMEOUT, LOGLEVEL]",5.453,0.055
false,"[FREQTHRESHOLD, TIMEOUT, LOGLEVEL]",5.453,0.055
true,"[TIMEOUT]",5.451,0.047
false,"[FREQTHRESHOLD, TIMEOUT]",5.451,0.047
true,"[FREQTHRESHOLD, DISTTHRESHOLD]",5.497,0.083
true,"[LOGLEVEL, MINALPHA]",5.24,0.105
false,"[FREQTHRESHOLD, LOGLEVEL, MINALPHA]",5.24,0.105
true,"[LOGLEVEL]",5.273,0.102
false,"[FREQTHRESHOLD, LOGLEVEL]",5.273,0.102
true,"[MINALPHA]",5.294,0.077
false,"[FREQTHRESHOLD, MINALPHA]",5.294,0.077
