measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[]",1.893,0,1.887,0.009,1.874,1.901,true,0.006,0.003,0
"true","[LOGLEVEL, COMPRESSIONLEVEL]",7.693,0,7.806,0.105,7.638,7.974,true,0.113,0.014,0.013
"true","[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",84.119,0,83.224,0.756,82.021,84.428,true,0.895,0.011,0.801
"true","[COMPRESSOR, LOGLEVEL]",82.358,0,82.874,1.74,80.105,85.643,true,0.516,0.006,0.266
"true","[COMPRESSOR, COMPRESSIONLEVEL]",84.094,0,83.567,1.249,81.58,85.554,true,0.527,0.006,0.278
"true","[ITERATIONS, REMOVEGAMMA]",1.93,0,1.884,0.005,1.877,1.891,false,0.046,0.024,0.002
"true","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.843,0,7.811,0.215,7.469,8.154,true,0.032,0.004,0.001
"true","[ITERATIONS, LOGLEVEL]",1.904,0,1.909,0.007,1.897,1.921,true,0.005,0.003,0
"true","[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",7.696,0,7.784,0.076,7.662,7.905,true,0.088,0.011,0.008
"true","[ITERATIONS, COMPRESSIONLEVEL]",8.056,0,7.866,0.18,7.58,8.151,true,0.19,0.024,0.036
"true","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",84.284,0,83.753,0.628,82.753,84.753,true,0.531,0.006,0.282
"true","[LOGLEVEL, REMOVEGAMMA]",1.903,0,1.908,0.007,1.897,1.918,true,0.005,0.003,0
"true","[COMPRESSIONLEVEL, REMOVEGAMMA]",7.546,0,7.836,0.084,7.703,7.969,false,0.29,0.037,0.084
"true","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",223.958,0,224.37,1.785,221.53,227.21,true,0.412,0.002,0.17
"true","[COMPRESSOR, ITERATIONS]",220.7,0,221.099,1.557,218.621,223.577,true,0.399,0.002,0.159
"true","[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",221.999,0,221.37,1.963,218.246,224.494,true,0.629,0.003,0.396
"true","[LOGLEVEL]",1.91,0,1.904,0.009,1.89,1.919,true,0.006,0.003,0
"true","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",221.636,0,223.437,2.471,219.505,227.369,true,1.801,0.008,3.244
"true","[COMPRESSIONLEVEL]",7.709,0,7.741,0.277,7.301,8.182,true,0.032,0.004,0.001
"true","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",83.952,0,83.744,0.583,82.816,84.673,true,0.208,0.002,0.043
"true","[COMPRESSOR]",82.819,0,83.499,0.855,82.139,84.86,true,0.68,0.008,0.462
"true","[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",1.902,0,1.91,0.009,1.896,1.924,true,0.008,0.004,0
"true","[COMPRESSOR, REMOVEGAMMA]",84.005,0,83.842,0.795,82.578,85.106,true,0.163,0.002,0.027
"true","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",223.766,0,223.318,0.959,221.792,224.845,true,0.448,0.002,0.201
"true","[ITERATIONS]",1.92,0,1.885,0.009,1.871,1.899,false,0.035,0.019,0.001
"true","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",7.821,0,7.737,0.136,7.52,7.954,true,0.084,0.011,0.007
"true","[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",83.997,0,84.217,0.633,83.21,85.224,true,0.22,0.003,0.048
"true","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",226.871,0,222.583,2.041,219.336,225.831,false,4.288,0.019,18.387
"true","[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.665,0,7.814,0.125,7.615,8.013,true,0.149,0.019,0.022
"true","[REMOVEGAMMA]",1.896,0,1.877,0.01,1.861,1.893,false,0.019,0.01,0
"true","[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",225.413,0,224.548,2.035,221.31,227.786,true,0.865,0.004,0.748
"true","[COMPRESSOR, ITERATIONS, LOGLEVEL]",222.783,0,223.684,2.142,220.276,227.093,true,0.901,0.004,0.812

Total: 32
MSE: 0.828
RMSE: 0.91
MAPE: 0.883
Measured within ci: 0
Measured outside ci: 0
Predicted within ci: 0
Predicted outside ci: 0
Valid configs: 32.0
