measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[LOGLEVEL, COMPRESSIONLEVEL]",7.917,0.0,7.806,0.105,7.638,7.974,true,0.111,0.014,0.012
"true","[]",1.892,0.0,1.887,0.009,1.874,1.901,true,0.005,0.003,0
"false","[COMPRESSOR, LOGLEVEL]",84.699,0.0,82.874,1.74,80.105,85.643,true,1.825,0.022,3.331
"false","[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",84.544,0.0,83.224,0.756,82.021,84.428,false,1.32,0.016,1.742
"true","[COMPRESSOR, COMPRESSIONLEVEL]",84.545,0.0,83.567,1.249,81.58,85.554,true,0.978,0.012,0.956
"true","[ITERATIONS, REMOVEGAMMA]",1.887,0.0,1.884,0.005,1.877,1.891,true,0.003,0.002,0
"false","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.856,0.0,7.811,0.215,7.469,8.154,true,0.045,0.006,0.002
"true","[ITERATIONS, LOGLEVEL]",1.899,0.0,1.909,0.007,1.897,1.921,true,0.01,0.005,0
"true","[ITERATIONS, COMPRESSIONLEVEL]",7.845,0.0,7.866,0.18,7.58,8.151,true,0.021,0.003,0
"false","[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",7.844,0.0,7.784,0.076,7.662,7.905,true,0.06,0.008,0.004
"false","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",84.698,0.0,83.753,0.628,82.753,84.753,true,0.945,0.011,0.893
"false","[LOGLEVEL, REMOVEGAMMA]",1.897,0.0,1.908,0.007,1.897,1.918,true,0.011,0.006,0
"true","[COMPRESSOR, ITERATIONS]",226.422,0.0,221.099,1.557,218.621,223.577,false,5.323,0.024,28.334
"false","[COMPRESSIONLEVEL, REMOVEGAMMA]",7.911,0.0,7.836,0.084,7.703,7.969,true,0.075,0.01,0.006
"true","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",224.911,0.0,224.37,1.785,221.53,227.21,true,0.541,0.002,0.293
"true","[LOGLEVEL]",1.897,0.0,1.904,0.009,1.89,1.919,true,0.007,0.004,0
"false","[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",226.421,0.0,221.37,1.963,218.246,224.494,false,5.051,0.023,25.513
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",224.911,0.0,223.437,2.471,219.505,227.369,true,1.474,0.007,2.173
"true","[COMPRESSIONLEVEL]",7.912,0.0,7.741,0.277,7.301,8.182,true,0.171,0.022,0.029
"false","[COMPRESSOR]",84.546,0.0,83.499,0.855,82.139,84.86,true,1.047,0.013,1.096
"false","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",84.698,0.0,83.744,0.583,82.816,84.673,false,0.954,0.011,0.91
"false","[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",1.899,0.0,1.91,0.009,1.896,1.924,true,0.011,0.006,0
"false","[COMPRESSOR, REMOVEGAMMA]",84.545,0.0,83.842,0.795,82.578,85.106,true,0.703,0.008,0.494
"false","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",226.421,0.0,223.318,0.959,221.792,224.845,false,3.103,0.014,9.629
"false","[ITERATIONS]",1.888,0.0,1.885,0.009,1.871,1.899,true,0.003,0.002,0
"false","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",7.856,0.0,7.737,0.136,7.52,7.954,true,0.119,0.015,0.014
"true","[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",84.699,0.0,84.217,0.633,83.21,85.224,true,0.482,0.006,0.232
"false","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",226.42,0.0,222.583,2.041,219.336,225.831,false,3.837,0.017,14.723
"false","[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.917,0.0,7.814,0.125,7.615,8.013,true,0.103,0.013,0.011
"false","[REMOVEGAMMA]",1.891,0.0,1.877,0.01,1.861,1.893,true,0.014,0.007,0
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL]",224.912,0.0,223.684,2.142,220.276,227.093,true,1.228,0.005,1.508
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",224.912,0.0,224.548,2.035,221.31,227.786,true,0.364,0.002,0.132

Total: 32
MSE: 2.827
RMSE: 1.681
MAPE: 1.071
Measured within ci: 9
Measured outside ci: 1
Predicted within ci: 17
Predicted outside ci: 5
