measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[LOGLEVEL, COMPRESSIONLEVEL]",5.957,0.0,6.073,0.208,0.116,0.019,0.013
"false","[]",0.358,0.0,0.36,0.001,0.002,0.006,0
"false","[COMPRESSOR, LOGLEVEL]",80.899,0.0,80.62,0.382,0.279,0.003,0.078
"false","[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",86.464,0.0,79.955,0.782,6.509,0.081,42.367
"false","[COMPRESSOR, COMPRESSIONLEVEL]",86.464,0.0,79.553,0.735,6.911,0.087,47.762
"false","[ITERATIONS, REMOVEGAMMA]",0.371,0.0,0.351,0.005,0.02,0.057,0
"false","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",5.97,0.0,5.934,0.131,0.036,0.006,0.001
"false","[ITERATIONS, LOGLEVEL]",0.388,0.0,0.373,0.005,0.015,0.04,0
"false","[ITERATIONS, COMPRESSIONLEVEL]",5.953,0.0,6.081,0.113,0.128,0.021,0.016
"false","[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",5.953,0.0,6.024,0.246,0.071,0.012,0.005
"false","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",86.481,0.0,80.794,0.577,5.687,0.07,32.342
"false","[LOGLEVEL, REMOVEGAMMA]",0.375,0.0,0.374,0.003,0.001,0.003,0
"false","[COMPRESSOR, ITERATIONS]",80.895,0.0,215.943,1.825,135.048,0.625,18237.962
"false","[COMPRESSIONLEVEL, REMOVEGAMMA]",5.94,0.0,6.334,0.059,0.394,0.062,0.155
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",86.494,0.0,215.77,0.611,129.276,0.599,16712.284
"true","[LOGLEVEL]",0.375,0.0,0.375,0.004,0,0,0
"false","[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",80.895,0.0,217.878,2.446,136.983,0.629,18764.342
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",86.494,0.0,214.08,2.301,127.586,0.596,16278.187
"true","[COMPRESSIONLEVEL]",5.94,0.0,5.94,0.225,0,0,0
"true","[COMPRESSOR]",80.882,0.0,80.882,1.59,0,0,0
"false","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",86.481,0.0,82.777,0.842,3.704,0.045,13.72
"false","[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",0.388,0.0,0.382,0.017,0.006,0.016,0
"false","[COMPRESSOR, REMOVEGAMMA]",80.882,0.0,80.607,0.721,0.275,0.003,0.076
"false","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",86.477,0.0,214.553,1.455,128.076,0.597,16403.462
"true","[ITERATIONS]",0.371,0.0,0.371,0.009,0,0,0
"false","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",5.97,0.0,6.017,0.23,0.047,0.008,0.002
"false","[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",80.899,0.0,81.051,0.349,0.152,0.002,0.023
"false","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",86.477,0.0,218.036,1.631,131.559,0.603,17307.77
"false","[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",5.957,0.0,6.396,0.089,0.439,0.069,0.193
"true","[REMOVEGAMMA]",0.358,0.0,0.358,0.004,0,0,0
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL]",80.912,0.0,214.758,1.872,133.846,0.623,17914.752
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",80.912,0.0,213.723,1.701,132.811,0.621,17638.762

MSE: 4356.071
RMSE: 66.001
MAPE: 17.2
