measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[LOGLEVEL, COMPRESSIONLEVEL]",7.85,0.0,7.853,0.093,0.003,0,0
"true","[]",1.89,0.0,1.89,0.007,0,0,0
"true","[COMPRESSOR, LOGLEVEL]",80.26,0.0,80.268,1.364,0.008,0,0
"false","[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",81.64,0.0,82.278,0.687,0.638,0.008,0.407
"true","[COMPRESSOR, COMPRESSIONLEVEL]",82.15,0.0,82.162,0.99,0.012,0,0
"true","[ITERATIONS, REMOVEGAMMA]",1.89,0.0,1.881,0.019,0.009,0.005,0
"false","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",8.12,0.0,7.522,0.167,0.598,0.08,0.358
"true","[ITERATIONS, LOGLEVEL]",1.92,0.0,1.917,0.006,0.003,0.002,0
"true","[ITERATIONS, COMPRESSIONLEVEL]",8.04,0.0,8.044,0.159,0.004,0,0
"false","[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",8.06,0.0,7.826,0.069,0.234,0.03,0.055
"false","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",77.78,0.0,83.531,0.531,5.751,0.069,33.074
"true","[LOGLEVEL, REMOVEGAMMA]",1.91,0.0,1.904,0.005,0.006,0.003,0
"true","[COMPRESSOR, ITERATIONS]",222.64,0.0,222.645,1.217,0.005,0,0
"true","[COMPRESSIONLEVEL, REMOVEGAMMA]",7.8,0.0,7.798,0.133,0.002,0,0
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",217.05,0.0,224.229,1.392,7.179,0.032,51.538
"true","[LOGLEVEL]",1.92,0.0,1.918,0.007,0.002,0.001,0
"false","[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",222.11,0.0,221.756,1.542,0.354,0.002,0.125
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",216.53,0.0,223.837,2.045,7.307,0.033,53.392
"true","[COMPRESSIONLEVEL]",7.78,0.0,7.783,0.215,0.003,0,0
"true","[COMPRESSOR]",84.15,0.0,84.154,0.716,0.004,0,0
"false","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",78.3,0.0,84.102,0.46,5.802,0.069,33.663
"false","[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",1.91,0.0,1.92,0.007,0.01,0.005,0
"true","[COMPRESSOR, REMOVEGAMMA]",83.62,0.0,83.616,0.619,0.004,0,0
"false","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",220.9,0.0,224.068,0.764,3.168,0.014,10.036
"true","[ITERATIONS]",1.89,0.0,1.886,0.015,0.004,0.002,0
"false","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",8.11,0.0,7.559,0.111,0.551,0.073,0.304
"false","[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",79.72,0.0,83.81,0.498,4.09,0.049,16.728
"false","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",220.39,0.0,219.698,2.333,0.692,0.003,0.479
"false","[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.86,0.0,7.718,0.114,0.142,0.018,0.02
"true","[REMOVEGAMMA]",1.89,0.0,1.886,0.011,0.004,0.002,0
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL]",218.75,0.0,222.723,1.698,3.973,0.018,15.785
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",218.21,0.0,226.177,1.614,7.967,0.035,63.473

MSE: 17.465
RMSE: 4.179
MAPE: 3.356
