measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[]",0.482,0.015,0.482,0.015,0,0,0
"true","[LOGLEVEL, COMPRESSIONLEVEL]",6.147,0.124,6.147,0.124,0,0,0
"true","[COMPRESSOR, LOGLEVEL]",82.526,0.648,82.526,0.648,0,0,0
"false","[COMPRESSOR, REMOVEGAMMA, COMPRESSIONLEVEL]",82.379,0.771,81.155,0.342,1.224,0.015,1.498
"false","[COMPRESSOR, COMPRESSIONLEVEL]",80.953,0.394,80.619,0.681,0.334,0.004,0.112
"false","[ITERATIONS, REMOVEGAMMA]",0.438,0.006,0.436,0.006,0.002,0.005,0
"false","[ITERATIONS, LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",6.307,0.106,6.299,0.029,0.008,0.001,0
"false","[ITERATIONS, LOGLEVEL]",0.462,0.009,0.466,0.006,0.004,0.009,0
"false","[ITERATIONS, REMOVEGAMMA, COMPRESSIONLEVEL]",6.467,0.107,6.807,0.27,0.34,0.05,0.116
"false","[ITERATIONS, COMPRESSIONLEVEL]",6.104,0.09,6.521,0.161,0.417,0.064,0.174
"false","[COMPRESSOR, LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",81.347,0.775,84.38,1.078,3.033,0.036,9.199
"true","[LOGLEVEL, REMOVEGAMMA]",0.462,0.023,0.462,0.023,0,0,0
"true","[REMOVEGAMMA, COMPRESSIONLEVEL]",6.467,0.107,6.467,0.107,0,0,0
"true","[COMPRESSOR, ITERATIONS]",216.761,2.016,216.761,2.016,0,0,0
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",217.129,1.337,216.803,1.281,0.326,0.002,0.106
"true","[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",214.195,1.056,214.195,1.056,0,0,0
"true","[LOGLEVEL]",0.462,0.009,0.462,0.009,0,0,0
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",212.978,2.703,212.78,1.827,0.198,0.001,0.039
"true","[COMPRESSIONLEVEL]",6.104,0.09,6.104,0.09,0,0,0
"true","[COMPRESSOR]",80.953,0.394,80.953,0.394,0,0,0
"false","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",82.526,0.648,81.83,0.558,0.696,0.009,0.484
"false","[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",0.462,0.023,0.468,0.006,0.006,0.013,0
"true","[COMPRESSOR, REMOVEGAMMA]",82.379,0.771,82.379,0.771,0,0,0
"false","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",216.761,2.016,218.852,1.798,2.091,0.01,4.372
"false","[ITERATIONS]",0.482,0.015,0.461,0.007,0.021,0.046,0
"false","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",6.147,0.124,6.241,0.174,0.094,0.015,0.009
"true","[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",81.347,0.775,81.347,0.775,0,0,0
"false","[COMPRESSOR, ITERATIONS, REMOVEGAMMA, COMPRESSIONLEVEL]",214.195,1.056,213.505,1.541,0.69,0.003,0.476
"true","[LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",6.307,0.106,6.307,0.106,0,0,0
"true","[REMOVEGAMMA]",0.438,0.006,0.438,0.006,0,0,0
"true","[COMPRESSOR, ITERATIONS, LOGLEVEL]",217.129,1.337,217.129,1.337,0,0,0
"true","[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",212.978,2.703,212.978,2.703,0,0,0

MSE: 1.382
RMSE: 1.176
MAPE: 1.743
