measured,configuration,splat,splat_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[]",1.893,0,1.887,0.009,1.874,1.901,true,0.006,0.003,0
"true","[LOGLEVEL, COMPRESSIONLEVEL]",7.693,0,7.806,0.105,7.638,7.974,true,0.113,0.014,0.013
"false","[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",84.005,0,83.224,0.756,82.021,84.428,true,0.781,0.009,0.61
"true","[COMPRESSOR, LOGLEVEL]",82.358,0,82.874,1.74,80.105,85.643,true,0.516,0.006,0.266
"false","[COMPRESSOR, COMPRESSIONLEVEL]",82.819,0,83.567,1.249,81.58,85.554,true,0.748,0.009,0.56
"false","[ITERATIONS, REMOVEGAMMA]",1.896,0,1.884,0.005,1.877,1.891,false,0.012,0.006,0
"false","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.665,0,7.811,0.215,7.469,8.154,true,0.146,0.019,0.021
"false","[ITERATIONS, LOGLEVEL]",1.91,0,1.909,0.007,1.897,1.921,true,0.001,0.001,0
"false","[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",7.546,0,7.784,0.076,7.662,7.905,false,0.238,0.031,0.057
"false","[ITERATIONS, COMPRESSIONLEVEL]",7.709,0,7.866,0.18,7.58,8.151,true,0.157,0.02,0.025
"false","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",83.997,0,83.753,0.628,82.753,84.753,true,0.244,0.003,0.06
"true","[LOGLEVEL, REMOVEGAMMA]",1.903,0,1.908,0.007,1.897,1.918,true,0.005,0.003,0
"true","[COMPRESSIONLEVEL, REMOVEGAMMA]",7.546,0,7.836,0.084,7.703,7.969,false,0.29,0.037,0.084
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",222.783,0,224.37,1.785,221.53,227.21,true,1.587,0.007,2.519
"true","[COMPRESSOR, ITERATIONS]",220.7,0,221.099,1.557,218.621,223.577,true,0.399,0.002,0.159
"true","[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",221.999,0,221.37,1.963,218.246,224.494,true,0.629,0.003,0.396
"true","[LOGLEVEL]",1.91,0,1.904,0.009,1.89,1.919,true,0.006,0.003,0
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",225.413,0,223.437,2.471,219.505,227.369,true,1.976,0.009,3.905
"true","[COMPRESSIONLEVEL]",7.709,0,7.741,0.277,7.301,8.182,true,0.032,0.004,0.001
"false","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",82.358,0,83.744,0.583,82.816,84.673,false,1.386,0.017,1.921
"true","[COMPRESSOR]",82.819,0,83.499,0.855,82.139,84.86,true,0.68,0.008,0.462
"false","[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",1.903,0,1.91,0.009,1.896,1.924,true,0.007,0.004,0
"true","[COMPRESSOR, REMOVEGAMMA]",84.005,0,83.842,0.795,82.578,85.106,true,0.163,0.002,0.027
"false","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",220.7,0,223.318,0.959,221.792,224.845,false,2.618,0.012,6.854
"false","[ITERATIONS]",1.893,0,1.885,0.009,1.871,1.899,true,0.008,0.004,0
"false","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",7.693,0,7.737,0.136,7.52,7.954,true,0.044,0.006,0.002
"true","[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",83.997,0,84.217,0.633,83.21,85.224,true,0.22,0.003,0.048
"false","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",221.999,0,222.583,2.041,219.336,225.831,true,0.584,0.003,0.341
"true","[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.665,0,7.814,0.125,7.615,8.013,true,0.149,0.019,0.022
"true","[REMOVEGAMMA]",1.896,0,1.877,0.01,1.861,1.893,false,0.019,0.01,0
"true","[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",225.413,0,224.548,2.035,221.31,227.786,true,0.865,0.004,0.748
"true","[COMPRESSOR, ITERATIONS, LOGLEVEL]",222.783,0,223.684,2.142,220.276,227.093,true,0.901,0.004,0.812

Total: 32
MSE: 1.055
RMSE: 1.027
MAPE: 0.986
Measured within ci: 14
Measured outside ci: 2
Predicted within ci: 12
Predicted outside ci: 4
Valid configs: 16.0
