measured,configuration,performance,std,minci,maxci
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",221.636,0,0,0
true,"[COMPRESSOR, REMOVEGAMMA]",84.005,0,0,0
true,"[ITERATIONS]",1.92,0,0,0
true,"[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",83.997,0,0,0
true,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",226.871,0,0,0
true,"[ITERATIONS, COMPRESSIONLEVEL]",8.056,0,0,0
true,"[LOGLEVEL, REMOVEGAMMA]",1.903,0,0,0
true,"[LOGLEVEL]",1.91,0,0,0
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",223.958,0,0,0
true,"[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.665,0,0,0
true,"[COMPRESSOR, COMPRESSIONLEVEL]",84.094,0,0,0
true,"[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",84.119,0,0,0
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL]",222.783,0,0,0
true,"[COMPRESSIONLEVEL, REMOVEGAMMA]",7.546,0,0,0
true,"[COMPRESSIONLEVEL]",7.709,0,0,0
true,"[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",221.999,0,0,0
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",225.413,0,0,0
true,"[ITERATIONS, LOGLEVEL]",1.904,0,0,0
true,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",7.821,0,0,0
true,"[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",7.696,0,0,0
true,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",223.766,0,0,0
true,"[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",1.902,0,0,0
true,"[REMOVEGAMMA]",1.896,0,0,0
true,"[COMPRESSOR]",82.819,0,0,0
true,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.843,0,0,0
true,"[LOGLEVEL, COMPRESSIONLEVEL]",7.693,0,0,0
true,"[ITERATIONS, REMOVEGAMMA]",1.93,0,0,0
true,"[]",1.893,0,0,0
true,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",84.284,0,0,0
true,"[COMPRESSOR, ITERATIONS]",220.7,0,0,0
true,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",83.952,0,0,0
true,"[COMPRESSOR, LOGLEVEL]",82.358,0,0,0
